time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/n_updates,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/loss,train/entropy_loss,train/clip_range,train/approx_kl
78,159744,743.05,735,33.0040312,217,0.6398592591285706,770,117.3885660469532,-0.0010051925841253252,0.040380859375,0.0003,133.56573486328125,-0.7257869714871049,0.2,0.007985117
79,161792,738.82,735,33.52031906,220,0.6110768020153046,780,84.02253626734019,-0.0021195400586293545,0.06796875,0.0003,25.499141693115234,-0.7735890651121735,0.2,0.005566533
80,163840,722.9,735,35.57340551,222,0.5460541248321533,790,118.74754178076982,-0.004081178183332668,0.089404296875,0.0003,29.3742618560791,-0.8697337584570051,0.2,0.0058507863
81,165888,720.23,735,37.5482076,225,0.5805136561393738,800,162.27056968957186,-0.0036603441596525952,0.0435546875,0.0003,44.01091003417969,-0.7721949469298124,0.2,0.00524844
82,167936,702.99,736,39.83505475,228,0.5919313430786133,810,109.6777725815773,-0.0031317489920184016,0.0560546875,0.0003,16.108322143554688,-0.666350281983614,0.2,0.0051871417
83,169984,698.21,735,44.80056704,231,0.6686128973960876,820,124.46179510951042,-0.003893236971634906,0.100341796875,0.0003,13.404923439025879,-0.7966640420258045,0.2,0.008747494
84,172032,674.6,736,49.88437153000001,233,0.6909960508346558,830,89.57527299672365,-0.005916148186952341,0.067529296875,0.0003,14.278388023376465,-0.744763950444758,0.2,0.0057497276
85,174080,645.07,738,45.91586080000001,235,0.6273371279239655,840,130.226723498106,-0.0034685807688219937,0.0927734375,0.0003,10.748184204101562,-0.8030512541532516,0.2,0.004034725
86,176128,626.43,739,45.96275736999999,238,0.46720558404922485,850,422.979430270195,-0.0018929948055301793,0.012646484375,0.0003,142.258056640625,-0.7239212868735194,0.2,0.003557993
87,178176,618.42,740,49.254691859999994,240,0.5744483172893524,860,180.5131909161806,-0.0024067002115771173,0.054443359375,0.0003,43.858482360839844,-0.7734696758911014,0.2,0.0030660674
88,180224,595.52,742,49.362844079999995,242,0.6602007746696472,870,113.0200474590063,-0.002543817933474202,0.026416015625,0.0003,629.7350463867188,-0.7707347337156534,0.2,0.0043351967
89,182272,593.99,742,51.92865801000001,245,0.5701875388622284,880,307.7470556855202,-0.0017349820918752812,0.02734375,0.0003,40.7279167175293,-0.7656139077618718,0.2,0.0042889006
90,184320,599.09,743,53.55819782,247,0.6170011758804321,890,113.10583589076995,-0.004994960363546852,0.1146484375,0.0003,25.38994598388672,-0.6088673256337642,0.2,0.010823825
91,186368,582.44,744,56.629502460000005,250,0.6509831547737122,900,91.47031098082661,-0.002935231546871364,0.092236328125,0.0003,7.631530284881592,-0.7386080930009484,0.2,0.0074099647
92,188416,557.54,746,57.50321527,252,0.5658155381679535,910,244.6707507431507,-0.0031476269476115705,0.020068359375,0.0003,38.63361358642578,-0.6959110610187054,0.2,0.0027552787
