rollout/ep_len_mean,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/clip_fraction,train/entropy_loss,train/n_updates,train/std,train/learning_rate,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/clip_range,train/loss
160.3,28672,14,-137.7120223,1113,25,0.03857421875,-2.7918482713401316,130,0.9780444502830505,0.0003,0.0064379927,0.0389026403427124,-0.0069109518226468936,443.12416567802427,0.2,133.34039306640625
175.65,30720,15,-131.82713690999998,1073,28,0.037109375,-2.8023553006350994,140,0.9876781702041626,0.0003,0.004615449,0.00158613920211792,-0.0036444597746594807,378.97875080108645,0.2,169.5740203857422
189.56,32768,16,-132.31427219,1074,30,0.071923828125,-2.814847096055746,150,0.9898450970649719,0.0003,0.0066900444,0.020936429500579834,-0.004751009149185847,607.6661809921264,0.2,159.71165466308594
198.84,34816,17,-131.75552297000002,1072,32,0.0552734375,-2.8152772478759287,160,0.9882234334945679,0.0003,0.0080889175,0.07858258485794067,-0.006858002409717301,341.0898369550705,0.2,119.70654296875
211.09,36864,18,-132.48915246,1065,34,0.03330078125,-2.8188168950378896,170,0.9944180250167847,0.0003,0.005640627,0.28582215309143066,-0.006740176722814795,196.60756587982178,0.2,115.08842468261719
227.22,38912,19,-131.1952992,1027,37,0.03115234375,-2.815711295604706,180,0.9820113778114319,0.0003,0.0058262963,0.443745493888855,-0.006532069713284727,191.79306237697602,0.2,49.675960540771484
238.69,40960,20,-126.67311108999998,959,42,0.0857421875,-2.799786460399628,190,0.9794862270355225,0.0003,0.009401046,0.34000229835510254,-0.011157922646816587,230.320345723629,0.2,74.82079315185547
262.34,43008,21,-122.20954100999998,939,45,0.051220703125,-2.7878051832318307,200,0.9721439480781555,0.0003,0.005970368,0.5555233657360077,-0.005540646809095051,117.72078805565835,0.2,29.629257202148438
279.43,45056,22,-118.46196490999999,897,50,0.041796875,-2.7763069219887258,210,0.9661734700202942,0.0003,0.004596348,0.2821488380432129,-0.005314611340872943,157.65163992643357,0.2,247.84010314941406
297.18,47104,23,-115.39983070999999,865,54,0.1095703125,-2.759143764525652,220,0.9575615525245667,0.0003,0.008224394,0.6331693232059479,-0.009426694545982172,79.13857513070107,0.2,17.15007781982422
312.68,49152,24,-107.38906703,833,58,0.07470703125,-2.755924193561077,230,0.960886538028717,0.0003,0.005717708,0.24213683605194092,-0.005912637885194272,78.94082335829735,0.2,14.313041687011719
330.46,51200,25,-111.39849779000001,795,64,0.0716796875,-2.755742596834898,240,0.9574486017227173,0.0003,0.008015413,0.15338099002838135,-0.005645143608853686,49.59477351903915,0.2,15.51819133758545
347.15,53248,26,-109.03194517000001,784,67,0.233935546875,-2.7537024945020674,250,0.9624459743499756,0.0003,0.018017385,0.21625596284866333,-0.018916014621208888,43.131805181503296,0.2,14.077859878540039
363.63,55296,27,-105.55294752000002,767,72,0.0921875,-2.747253005951643,260,0.9484373927116394,0.0003,0.005370832,0.04476064443588257,-0.006414129860422691,72.6369539320469,0.2,30.429805755615234
380.76,57344,28,-101.34096681,750,76,0.099853515625,-2.7247170761227606,270,0.9426603317260742,0.0003,0.013397513,0.44766247272491455,-0.010496120181051083,26.112657518684863,0.2,10.387516021728516
396.95,59392,29,-100.03597712000001,739,80,0.04033203125,-2.713334821164608,280,0.9365118741989136,0.0003,0.0031170265,0.5624491274356842,-0.0026907586463494225,18.534298533201216,0.2,4.409971714019775
414.48,61440,30,-94.79330639000001,727,84,0.073876953125,-2.6974939569830894,290,0.9279813766479492,0.0003,0.010050275,0.5236102342605591,-0.006628367491066456,29.778008516132832,0.2,5.51428747177124
432.02,63488,31,-92.66561379,725,87,0.08291015625,-2.685030674189329,300,0.927236020565033,0.0003,0.007343344,0.8112259954214096,-0.006838605654775165,31.26564967185259,0.2,5.240228176116943
451.51,65536,32,-87.89329979999998,715,91,0.025,-2.683925738185644,310,0.9233126044273376,0.0003,0.0038183746,0.6166419982910156,-0.0018034411754342728,141.99671398997307,0.2,33.23336410522461
458.48,67584,33,-87.47162112999999,690,97,0.04072265625,-2.6610494516789913,320,0.9077212810516357,0.0003,0.0057322434,0.6409320533275604,-0.0028048543135810178,123.46673280894757,0.2,60.110904693603516
467.02,69632,34,-83.65203062999998,685,101,0.06962890625,-2.643122812360525,330,0.9058518409729004,0.0003,0.007117402,0.8453632742166519,-0.005381394962023478,44.78897947520018,0.2,6.006275177001953
486.42,71680,35,-80.68656089,686,104,0.04482421875,-2.635403671860695,340,0.9037058353424072,0.0003,0.0021430652,0.647626519203186,-0.003732359965943033,110.86599181890487,0.2,175.50674438476562
502.86,73728,36,-78.12734139999999,670,109,0.07177734375,-2.6334278218448164,350,0.9025943875312805,0.0003,0.0070421924,0.6269560754299164,-0.008348028621912817,141.24136739969254,0.2,39.64940643310547
520.33,75776,37,-74.77484129999999,669,113,0.0623046875,-2.6250143885612487,360,0.894233226776123,0.0003,0.005787713,0.9147622808814049,-0.0012160452548414468,33.78768866881728,0.2,3.2571723461151123
532.04,77824,38,-73.38542405,667,116,0.053369140625,-2.616722463816404,370,0.8989272713661194,0.0003,0.0070495857,0.8210118114948273,-0.003380628400918795,66.36881252229213,0.2,63.70817565917969
548.04,79872,39,-70.73497298000001,665,120,0.061376953125,-2.615514037013054,380,0.8893576860427856,0.0003,0.008875543,0.8451238572597504,-0.0061820763075957075,58.831957495212556,0.2,7.785628318786621
571.04,81920,40,-67.30661273,661,123,0.040625,-2.614291497319937,390,0.8986567258834839,0.0003,0.004142479,0.7277412116527557,-0.0033468215700850124,133.1747109413147,0.2,38.586326599121094
581.58,83968,41,-64.76423387999999,658,127,0.074169921875,-2.612207095324993,400,0.8899863362312317,0.0003,0.0070437603,0.7993492931127548,-0.0029550015191489366,80.18922696560621,0.2,60.568946838378906
597.52,86016,42,-61.226271579999995,649,132,0.055908203125,-2.605589133501053,410,0.889757513999939,0.0003,0.0075502973,0.8322284072637558,-0.004436354373319773,57.46366707235575,0.2,54.111454010009766
614.55,88064,43,-58.071830049999996,647,136,0.062109375,-2.5927218653261663,420,0.8795086741447449,0.0003,0.00531682,0.834056630730629,-0.0027009128512872848,48.44617524370551,0.2,2.49912428855896
627.48,90112,44,-46.90523496000001,648,138,0.06162109375,-2.5780795231461524,430,0.8770848512649536,0.0003,0.008502429,0.8575630038976669,-0.002371417641552398,36.53013978973031,0.2,5.536736488342285
640.92,92160,45,-43.94675526,640,143,0.03232421875,-2.5745532028377056,440,0.8738421201705933,0.0003,0.004884108,0.49142932891845703,-0.0036336323028081097,213.3050332903862,0.2,37.511653900146484
644.46,94208,46,-45.487594230000006,638,147,0.05615234375,-2.567778155952692,450,0.8704761266708374,0.0003,0.003097541,0.823739692568779,-0.0006589342214283533,39.00946381725371,0.2,2.5873913764953613
653.44,96256,47,-38.3764722,636,151,0.083935546875,-2.543965068459511,460,0.8563327789306641,0.0003,0.006351749,0.6844021081924438,-0.004215693387959618,78.3954718068242,0.2,61.427978515625
663.74,98304,48,-37.928383329999996,631,155,0.04912109375,-2.5307616621255873,470,0.8587908744812012,0.0003,0.005593292,0.6001793742179871,-0.0021531344806135166,165.74512899518012,0.2,29.406200408935547
680.97,100352,49,-34.99905602,624,160,0.05771484375,-2.522052136063576,480,0.8478225469589233,0.0003,0.0073155183,0.41390711069107056,-0.0039643092051846905,111.4599667608738,0.2,94.17809295654297
699.04,102400,50,-27.916706689999998,617,165,0.082177734375,-2.49674960821867,490,0.8368189334869385,0.0003,0.008146701,0.7845486104488373,-0.002408235985058127,27.949769547581674,0.2,98.34037017822266
715.94,104448,51,-23.662987199999996,617,169,0.0767578125,-2.4667770348489286,500,0.8244059085845947,0.0003,0.0088756075,0.6914671659469604,-0.005606557073770091,89.43003426492214,0.2,4.177633762359619
729.75,106496,52,-21.089759450000003,616,172,0.072607421875,-2.445118840038776,510,0.8210175037384033,0.0003,0.0076817237,0.6213423907756805,-0.0033226367901079356,108.99894352704287,0.2,63.08048629760742
745.79,108544,53,-17.523720590000003,615,176,0.083740234375,-2.438591067492962,520,0.815093994140625,0.0003,0.0084636565,0.8723195493221283,-0.002550211919879075,26.94409455563873,0.2,1.6053870916366577
757.07,110592,54,-11.931528090000002,612,180,0.081005859375,-2.424065428972244,530,0.81104975938797,0.0003,0.006832766,0.7246637642383575,-0.0031887077981082256,49.500691099464895,0.2,353.73590087890625
768.97,112640,55,-8.08217624,608,185,0.0587890625,-2.4208976194262504,540,0.8121026158332825,0.0003,0.0059870905,0.5570536255836487,-0.003815052280697273,126.42535577118397,0.2,18.389066696166992
782.43,114688,56,-5.087144260000001,608,188,0.0693359375,-2.416806344687939,550,0.8080025315284729,0.0003,0.008221472,0.7415675818920135,-0.00020447287170100026,47.55540937669575,0.2,33.450687408447266
792.14,116736,57,-1.62237578,607,192,0.04892578125,-2.412261901050806,560,0.8093505501747131,0.0003,0.0061979927,0.5553287863731384,-0.005281342980379122,171.98009440600873,0.2,242.90762329101562
790.64,118784,58,6.99987515,604,196,0.044189453125,-2.4153743907809258,570,0.8092789053916931,0.0003,0.006025736,0.6548828780651093,-0.0032588286328973483,148.69083671718835,0.2,87.78411102294922
791.17,120832,59,5.9164286000000015,603,200,0.033056640625,-2.4092714875936507,580,0.8037576675415039,0.0003,0.0040239533,0.6428733766078949,-0.0015339150300860637,135.75995098352433,0.2,255.12049865722656
791.61,122880,60,7.349518250000001,603,203,0.064697265625,-2.3921984128654,590,0.7939454913139343,0.0003,0.0046209176,0.801579549908638,-0.0016933898041315842,59.820351442694665,0.2,10.95350456237793
786.82,124928,61,8.566594860000002,603,207,0.067236328125,-2.3715977407991886,600,0.7887077331542969,0.0003,0.0055956305,0.6868759989738464,-0.0017383862286806107,106.58712306395174,0.2,3.1691269874572754
770.9,126976,62,12.01832495,601,211,0.089990234375,-2.3596450686454773,610,0.7862541675567627,0.0003,0.009038769,0.739861249923706,-0.00034516668201831633,79.07632894814014,0.2,3.363786458969116
760.59,129024,63,16.697067689999997,599,215,0.056689453125,-2.3609135419130327,620,0.7891832590103149,0.0003,0.007679275,0.6719639897346497,-0.0027860030728334094,111.52742590308189,0.2,98.71334075927734
760.59,131072,64,15.75106763,598,218,0.088916015625,-2.346282281726599,630,0.7743901014328003,0.0003,0.010980627,0.6738710105419159,-0.001096386949211592,94.1265693180263,0.2,40.41613006591797
741.51,133120,65,13.429456850000001,597,222,0.098583984375,-2.3467334888875486,640,0.7869582176208496,0.0003,0.00848656,0.7541624903678894,-0.0013280336526804604,40.46765747833997,0.2,0.7784131765365601
727.04,135168,66,15.701686709999997,598,225,0.057861328125,-2.358194196969271,650,0.785682737827301,0.0003,0.0056718877,0.6969452500343323,-0.0031087530111108207,151.18699741214513,0.2,33.76896286010742
730.47,137216,67,14.03402715,598,229,0.07724609375,-2.350961722433567,660,0.7811195850372314,0.0003,0.005930365,0.6239133179187775,-0.005898690485628322,150.50343462973834,0.2,5.446764945983887
728.72,139264,68,15.614850749999999,599,232,0.08369140625,-2.3586973369121553,670,0.7881141901016235,0.0003,0.00636355,0.8606807887554169,0.00014509765314869584,35.72714793635532,0.2,0.5023715496063232
725.12,141312,69,16.26150588,596,236,0.066455078125,-2.3592652305960655,680,0.7865455150604248,0.0003,0.005962558,0.7315409779548645,-0.00023405413885484448,58.01101865693927,0.2,4.7296671867370605
731.25,143360,70,16.551750350000002,596,240,0.070166015625,-2.3584628947079183,690,0.7870088815689087,0.0003,0.0057818806,0.7628027200698853,-0.0017286233807681129,95.45610851757229,0.2,0.9197629690170288
741.15,145408,71,18.859704750000002,596,243,0.0943359375,-2.3367735892534256,700,0.7683397531509399,0.0003,0.0050072605,0.7856740355491638,-0.0033169720823934767,83.5263542868197,0.2,13.325496673583984
729.74,147456,72,21.225215239999997,597,246,0.06396484375,-2.3158919632434847,710,0.7725092172622681,0.0003,0.007263894,0.8735830932855606,0.0005820039965328761,38.26767895547673,0.2,0.47112590074539185
728.71,149504,73,21.640572589999998,598,249,0.045849609375,-2.3149611443281173,720,0.7666084170341492,0.0003,0.0036533906,0.7610682547092438,-0.001821842952631414,90.9447657123208,0.2,21.30137825012207
723.66,151552,74,23.669312879999996,597,253,0.01943359375,-2.306573860347271,730,0.767112135887146,0.0003,0.0022210632,0.6924533247947693,-0.003080258642876288,132.14560039937496,0.2,28.33016586303711
716.68,153600,75,24.782309800000007,597,256,0.080859375,-2.301110877096653,740,0.7609314918518066,0.0003,0.0038458272,0.8787408769130707,-0.0028116311339545065,42.519094462692735,0.2,3.3855948448181152
713.66,155648,76,24.33313344,599,259,0.046337890625,-2.289032997190952,750,0.7597752809524536,0.0003,0.0045081987,0.7049341201782227,-0.0024292632151627913,176.68652477562426,0.2,11.499998092651367
713.66,157696,77,23.942627319999996,597,264,0.082373046875,-2.288542079180479,760,0.7615261673927307,0.0003,0.0123750735,0.7629815936088562,-0.0072594806140841685,93.41925156340002,0.2,30.66804313659668
708.04,159744,78,24.31843386,598,266,0.106787109375,-2.288987013697624,770,0.7566181421279907,0.0003,0.0062717153,0.9337957426905632,-0.0005169975542230531,23.99296231921762,0.2,0.5450100302696228
697.57,161792,79,21.244704149999997,599,269,0.05400390625,-2.273889318853617,780,0.7517036199569702,0.0003,0.005706317,0.7417046129703522,-0.003033157211029902,105.02331542596221,0.2,22.206506729125977
679.31,163840,80,18.372790950000002,602,272,0.020703125,-2.263904494792223,790,0.749214768409729,0.0003,0.0030970168,0.646618127822876,-0.002987035792466486,256.0782722786069,0.2,72.6534423828125
682.89,165888,81,17.985242770000003,601,275,0.023388671875,-2.260763993114233,800,0.7496825456619263,0.0003,0.003915028,0.5793463289737701,-0.004541709536715644,395.78294215798377,0.2,475.94708251953125
