time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/clip_fraction,train/n_updates,train/loss,train/entropy_loss,train/approx_kl,train/value_loss,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/explained_variance
22528,16,1355,122.45,-144.59504585000002,11,0.0857421875,100,199.04078674316406,-1.1899186119437217,0.008672582,490.30211906433107,0.2,-0.005107786710868823,0.0003,-8.189678192138672e-05
24576,18,1353,128.39,-139.32850403999998,12,0.02412109375,110,485.0723876953125,-1.1473184071481228,0.0048785117,1006.3431295394897,0.2,-0.0038095899457402994,0.0003,-0.001037001609802246
26624,20,1279,139.31,-136.40751038,13,0.05859375,120,443.88616943359375,-1.1421253252774477,0.009734625,467.0163419723511,0.2,-0.005086309555190382,0.0003,-0.00030612945556640625
28672,22,1274,145.21,-131.63313689999998,14,0.0404296875,130,187.21409606933594,-1.2294716954231262,0.007312594,440.9021010875702,0.2,-0.008676779542292934,0.0003,0.002468883991241455
30720,25,1184,163.42,-130.58639158999998,15,0.05224609375,140,318.9692077636719,-1.103128058463335,0.00699135,599.5945676803589,0.2,-0.005716607678186847,0.0003,-0.01106727123260498
32768,28,1141,174.93,-128.97379647000002,16,0.0462890625,150,44.797035217285156,-1.2547982152551413,0.009278642,163.681955742836,0.2,-0.005614176674134797,0.0003,0.045692384243011475
34816,31,1104,187.04,-127.09505311000001,17,0.051318359375,160,166.54541015625,-1.1913058266043663,0.0076119937,402.23831543922427,0.2,-0.004613118481211131,0.0003,0.05370020866394043
36864,34,1078,207.46,-122.37167141000002,18,0.013916015625,170,123.35147857666016,-1.1535634368658065,0.0046869917,308.0555896759033,0.2,-0.005019659520621644,0.0003,0.1714128851890564
38912,36,1059,219.81,-120.11407788999999,19,0.049267578125,180,25.317920684814453,-1.2462996646761895,0.008818742,108.45929961800576,0.2,-0.0037636804710928116,0.0003,0.36014604568481445
40960,39,1036,239.71,-117.47286147999999,20,0.041259765625,190,72.718505859375,-1.1957728650420905,0.004809454,213.7637620806694,0.2,-0.00601436744327657,0.0003,0.29357391595840454
43008,42,1004,252.42,-112.26367233,21,0.03740234375,200,161.75430297851562,-1.2107189115136863,0.007858097,272.9703880608082,0.2,-0.0036716034279379527,0.0003,-0.16653656959533691
45056,45,999,260.45,-112.38900913999998,22,0.02705078125,210,271.6141662597656,-1.1563770312815904,0.006489088,338.1623424768448,0.2,-0.004430113299895311,0.0003,0.13518506288528442
47104,47,983,280.94,-110.22645109999999,23,0.022802734375,220,102.3224105834961,-1.0602764304727317,0.004691992,397.9945242643356,0.2,-0.00531970712763723,0.0003,-0.02577531337738037
49152,49,987,289.58,-108.17417098,24,0.03623046875,230,88.09362030029297,-1.1060445245355368,0.007580503,174.8021869301796,0.2,-0.005302460970415268,0.0003,0.4371294379234314
51200,52,974,306.62,-105.16243384999999,25,0.026513671875,240,58.31232833862305,-1.0399304196238517,0.007968424,301.8956974029541,0.2,-0.004886452185746748,0.0003,0.12881648540496826
53248,54,973,321.85,-105.59002570000003,26,0.095458984375,250,22.145448684692383,-1.1238453723490238,0.0134879025,127.26635619997978,0.2,-0.005231900655417121,0.0003,0.6076118648052216
55296,57,967,333.05,-104.15873476000003,27,0.03603515625,260,70.5469970703125,-1.0769227728247643,0.005581215,253.0379464149475,0.2,-0.005451005716895452,0.0003,0.4696078300476074
57344,59,957,349.98,-104.14286021,28,0.0671875,270,237.8335418701172,-1.065266350656748,0.009814156,117.7132728755474,0.2,-0.009851190164044964,0.0003,0.54920893907547
59392,62,944,364.9,-101.70104935,29,0.039599609375,280,60.506874084472656,-1.0367343945428729,0.0058044065,87.12587693929672,0.2,-0.006980844169447664,0.0003,0.7645123600959778
61440,65,936,385.71,-98.93906568,30,0.061279296875,290,94.28363800048828,-1.1005362831056118,0.006533743,137.21744385957717,0.2,-0.0030283650194178335,0.0003,0.27248483896255493
63488,68,929,399.08,-96.87526967000002,31,0.079052734375,300,41.9164924621582,-1.0189600737765432,0.0068283086,121.75884101390838,0.2,-0.005138844922475983,0.0003,0.21395766735076904
65536,71,922,416.47,-93.55598999000001,32,0.062109375,310,27.881397247314453,-1.0231409393250943,0.007765161,139.16907852888107,0.2,-0.0051974117988720534,0.0003,0.4058135747909546
67584,74,907,433.64,-91.66910663000003,33,0.059814453125,320,31.96702766418457,-0.9422606397420168,0.009971274,128.91137657761573,0.2,-0.004986815228039632,0.0003,0.5386226177215576
69632,78,889,451.2,-90.89373427000001,34,0.07822265625,330,16.665714263916016,-1.028581728413701,0.013159656,55.63153785467148,0.2,-0.007859622035175562,0.0003,0.816956639289856
71680,81,875,466.7,-88.03412328999998,35,0.151708984375,340,21.943220138549805,-1.016680238954723,0.009908198,65.78215092420578,0.2,-0.01573941863607615,0.0003,0.7401924729347229
73728,85,863,490.74,-84.94021373000001,36,0.076513671875,350,33.16847229003906,-0.9283537531271577,0.0060744896,58.57198956012726,0.2,-0.009043082405696623,0.0003,0.627502053976059
75776,88,860,498.97,-83.51158019,37,0.03916015625,360,31.388769149780273,-0.9755613915622234,0.007943852,136.68294242024422,0.2,-0.0058442451743758285,0.0003,0.4973188638687134
77824,91,851,516.3,-79.21747443,38,0.039794921875,370,11.166446685791016,-0.9343112392351032,0.0068387063,65.91895316839218,0.2,-0.004915593285113573,0.0003,0.6613636016845703
79872,95,835,533.7,-78.78589962,39,0.056640625,380,4.845704555511475,-0.938778948970139,0.006958775,38.65931678712368,0.2,-0.004035842435405357,0.0003,0.744024783372879
81920,99,826,551.49,-75.14519044000001,40,0.0935546875,390,10.251896858215332,-0.8931551204994321,0.008651317,47.40170046687126,0.2,-0.0056170827148889655,0.0003,0.7076806128025055
83968,102,820,568.15,-69.4274248,41,0.112548828125,400,4.2993083000183105,-0.9248125331476331,0.015012264,29.819201271981,0.2,-0.008474042001034831,0.0003,0.6785304248332977
86016,106,806,586.08,-64.17711114,42,0.03203125,410,68.39750671386719,-0.874927643314004,0.010569689,129.4952448233962,0.2,-0.009669822154501162,0.0003,0.45059525966644287
88064,109,804,600.89,-60.025410810000004,43,0.034033203125,420,66.67921447753906,-0.8660001104697586,0.0059626354,140.7303249001503,0.2,-0.004305441799078835,0.0003,0.234632670879364
90112,112,803,620.0,-59.305306689999995,44,0.052587890625,430,56.360496520996094,-0.8561097273603082,0.006395597,80.55385531187058,0.2,-0.0053013244520116135,0.0003,0.39392125606536865
92160,115,801,630.01,-56.119611320000004,45,0.01591796875,440,7.5171918869018555,-1.0210867509245873,0.0036315946,122.58932253420353,0.2,-0.0013675110148142267,0.0003,0.5006544888019562
94208,118,796,631.97,-52.88138721,46,0.025146484375,450,23.218799591064453,-0.9429174639284611,0.0050807763,135.1435293763876,0.2,-0.0034480273265216966,0.0003,0.4849509596824646
96256,121,793,647.04,-46.67223215999999,47,0.02353515625,460,5.328845977783203,-0.9563329435884953,0.006617439,109.21376188248396,0.2,-0.0017321603969321585,0.0003,0.1641344428062439
98304,123,795,640.59,-51.91683504,48,0.022216796875,470,312.1521301269531,-0.855214542336762,0.004494891,163.3729187965393,0.2,-0.0032793060381663963,0.0003,0.284135103225708
100352,126,791,660.83,-42.11254613000001,49,0.0296875,480,19.03232765197754,-0.9468849994242191,0.0057619894,192.77131965756416,0.2,-0.005286330072704004,0.0003,0.41552799940109253
102400,129,791,653.94,-40.34377374,50,0.035546875,490,50.70309066772461,-0.8235895441845059,0.0033620293,165.357406771183,0.2,-0.0033838504015875513,0.0003,0.21446406841278076
104448,132,789,669.89,-31.662389160000004,51,0.03330078125,500,49.736270904541016,-0.9192332113161683,0.004988482,203.65209006369113,0.2,-0.0036331456249172334,0.0003,0.3026846647262573
106496,135,788,657.47,-30.896355370000002,52,0.02705078125,510,35.043392181396484,-0.7857627686113119,0.004018455,173.25623681545258,0.2,-0.002508036292056204,0.0003,0.3714977502822876
108544,138,783,672.11,-27.00302726,53,0.048583984375,520,24.568967819213867,-0.9390585558488965,0.003825122,136.47467318624257,0.2,-0.0019346362169017084,0.0003,0.4263715147972107
110592,141,782,675.81,-21.32707512,54,0.054638671875,530,32.77397918701172,-0.9655365943908691,0.006276405,167.8979579538107,0.2,-0.002759988022444304,0.0003,0.1980394721031189
112640,143,784,685.86,-18.275031229999996,55,0.034228515625,540,55.41337585449219,-0.9049125120043755,0.0060181064,173.9687262237072,0.2,-0.0031316090651671404,0.0003,0.6021454036235809
114688,146,781,689.94,-11.237744910000002,56,0.066455078125,550,86.86463928222656,-0.9555055845528841,0.004778372,205.58733897805214,0.2,-0.005114828456135001,0.0003,0.280642569065094
116736,150,778,692.55,-9.06117828,57,0.01513671875,560,29.317964553833008,-0.8573476780205965,0.0029372205,116.21592358648778,0.2,-0.001626906827368657,0.0003,0.3743821978569031
118784,152,778,705.1,-2.487245449999999,58,0.035498046875,570,11.294615745544434,-0.9050220271572471,0.002954673,163.5010061889887,0.2,-0.00403864049440017,0.0003,0.331537127494812
120832,155,776,713.52,3.807460050000001,59,0.027880859375,580,85.54876708984375,-0.8318912141025067,0.0049775233,219.74641122221948,0.2,-0.0012963464672793635,0.0003,0.4563317894935608
122880,158,774,713.09,7.347217240000001,60,0.064794921875,590,37.394935607910156,-0.931091401912272,0.005108417,119.79704776406288,0.2,-0.0024035356924287043,0.0003,0.5159964561462402
124928,161,774,717.37,16.420557709999997,61,0.06572265625,600,53.49086380004883,-0.8605827940627933,0.011894562,88.94695728719235,0.2,-0.007477121686679311,0.0003,0.5468302667140961
126976,164,772,720.69,20.6904444,62,0.043798828125,610,132.58453369140625,-0.8523722887039185,0.0068977857,234.89792172312735,0.2,-0.004964886441666749,0.0003,0.3988865613937378
129024,166,773,712.89,24.714756909999995,63,0.050634765625,620,15.162211418151855,-0.9034261776134371,0.007052554,82.32112893313169,0.2,-0.0017986502600251697,0.0003,0.5091193318367004
131072,169,774,701.2,29.068736059999992,64,0.0650390625,630,28.954431533813477,-0.9516806242987513,0.0067034718,115.75387022495269,0.2,-0.0032439385053294246,0.0003,0.4908475875854492
133120,171,775,692.0,29.6074823,65,0.05712890625,640,272.970947265625,-0.9147019414231181,0.0066172704,174.3503746598959,0.2,-0.004317709635506617,0.0003,0.4597410559654236
135168,173,777,670.76,26.41962183,66,0.003857421875,650,82.87427520751953,-0.9145006474107504,0.003121164,447.505688560009,0.2,-0.0015017720877949614,0.0003,0.17421889305114746
137216,176,777,653.35,27.717742409999996,67,0.016650390625,660,252.25289916992188,-0.9646960528567433,0.002744357,292.2632408618927,0.2,-0.004843208360398421,0.0003,0.31506556272506714
139264,179,777,635.9,33.227013449999994,68,0.01650390625,670,17.269027709960938,-0.7947734562680125,0.0028846452,260.35949392914773,0.2,-0.0012002695455521461,0.0003,0.638510137796402
141312,181,778,606.01,32.45016869,69,0.03798828125,680,268.48651123046875,-0.7674998722970485,0.0036886996,156.3476840853691,0.2,-0.0020505135355051605,0.0003,0.6947289407253265
143360,184,777,605.78,32.65484221,70,0.044482421875,690,347.20880126953125,-0.8378588987514377,0.0056194756,279.1772089719772,0.2,-0.003523958291771123,0.0003,0.5474724173545837
145408,186,779,592.59,33.32619149999999,71,0.171875,700,14.525809288024902,-0.7568860618397594,0.014385682,209.5177999138832,0.2,-0.005539034786488628,0.0003,0.6237145662307739
147456,188,781,572.32,32.63684275,72,0.013427734375,710,54.85224914550781,-0.8401632532477379,0.001967874,186.07684386968612,0.2,-0.001565315307379933,0.0003,0.42159736156463623
149504,191,782,556.14,29.85868011,73,0.0638671875,720,111.56089782714844,-0.8532211793586612,0.0051003173,379.8377103447914,0.2,-0.0047921012937877094,0.0003,0.41397953033447266
151552,193,783,544.05,37.67472723,74,0.042236328125,730,45.41905975341797,-0.8798946406692266,0.004130551,252.2148965984583,0.2,-0.003939220107713482,0.0003,0.5272973775863647
153600,195,785,532.08,31.56179879,75,0.02685546875,740,272.36749267578125,-0.7878352928906679,0.0029482949,175.3033573269844,0.2,-0.0021876785351196302,0.0003,0.4314435124397278
155648,197,786,522.12,26.877155639999998,76,0.020556640625,750,141.43606567382812,-0.9255904136225581,0.0031093636,296.4056600272655,0.2,-0.002982367766526295,0.0003,0.5226064324378967
157696,200,787,520.64,29.803693049999993,77,0.0310546875,760,209.5405731201172,-0.8479555660858751,0.0056156777,282.92158045768736,0.2,-0.0037518163091590393,0.0003,0.5417366921901703
