time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,time/total_timesteps,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/n_updates,train/entropy_loss,train/approx_kl,train/value_loss,train/explained_variance,train/loss,train/learning_rate
178,767.4,14.68311741,755,66,135168,0.0595703125,-0.01024668179670698,0.2,650,-0.8225931828841567,0.0071822973,111.26098263710738,0.6456305086612701,82.07498168945312,0.0003
181,762.15,15.890949549999995,754,67,137216,0.066650390625,-0.0018476265897334088,0.2,660,-0.8405141388997436,0.007533196,89.75980321168899,0.4620147943496704,62.29349136352539,0.0003
184,752.73,20.16211459,753,68,139264,0.05615234375,-0.0045195514252554855,0.2,670,-0.9085968542844057,0.0051292595,141.59566987454892,0.3614097237586975,69.1108627319336,0.0003
188,742.04,24.178034269999998,750,69,141312,0.041357421875,-0.003117406302771997,0.2,680,-0.774622418731451,0.0051886607,116.25464320778846,0.6502203345298767,21.335037231445312,0.0003
191,727.22,23.360894119999998,750,70,143360,0.030712890625,-0.00236245292435342,0.2,690,-0.8858123730868102,0.004584945,159.42835674881934,0.5222969353199005,31.415733337402344,0.0003
194,720.88,22.45541424,748,71,145408,0.044482421875,-0.002783079378059483,0.2,700,-0.8493061857298017,0.007985524,198.6395847529173,0.3753712773323059,15.02987289428711,0.0003
197,717.14,25.84080471,746,72,147456,0.042578125,-0.002664380945498124,0.2,710,-0.820486188493669,0.0051863706,121.04912404716015,0.4249773621559143,8.563225746154785,0.0003
200,715.53,29.934219030000005,746,73,149504,0.069677734375,-0.00962506939249579,0.2,720,-0.7767888691276312,0.0060352515,134.31398031413556,0.4926886558532715,28.779497146606445,0.0003
202,707.83,28.9547072,747,74,151552,0.04599609375,-0.002040875455713831,0.2,730,-0.825338294915855,0.004395726,86.97999035418033,0.7451408207416534,32.334129333496094,0.0003
205,698.27,30.808734550000004,745,75,153600,0.1056640625,-0.0048020815913332624,0.2,740,-0.7424413211643696,0.0051765237,97.35194928497076,0.6214897930622101,112.55355072021484,0.0003
208,697.56,32.4286417,745,76,155648,0.0248046875,-0.003138275719174999,0.2,750,-0.7631412772461772,0.0039504385,112.1866888076067,0.5844526588916779,7.1118364334106445,0.0003
211,696.86,34.3294271,745,77,157696,0.104052734375,-0.0013230523400125094,0.2,760,-0.8099189322441817,0.0045666657,90.70582304745912,0.5275746583938599,12.927037239074707,0.0003
214,697.3,35.266887260000004,746,78,159744,0.048193359375,-0.0016254560872766889,0.2,770,-0.8223348509520292,0.007937894,122.1590355142951,0.521504282951355,244.36309814453125,0.0003
217,691.08,36.6027308,744,79,161792,0.0771484375,-0.002460851573414402,0.2,780,-0.7509821424260735,0.007276736,49.32148415856064,0.6204215288162231,17.038450241088867,0.0003
219,683.15,39.65358785,744,80,163840,0.09345703125,-0.00472530139159062,0.2,790,-0.8529972262680531,0.006942994,87.66301873326302,0.7157052159309387,14.441289901733398,0.0003
222,676.94,35.14716107000001,746,81,165888,0.099462890625,-0.0022884146361320744,0.2,800,-0.7868527693673968,0.0118536465,168.5545935586095,0.6199608743190765,77.87615203857422,0.0003
224,676.02,41.93836987,746,82,167936,0.07421875,-0.0013886497952626086,0.2,810,-0.6741124859079719,0.005116349,85.00377093330026,0.7612182050943375,3.082871437072754,0.0003
227,669.85,42.15808864,746,83,169984,0.0375,-0.0018023205546342069,0.2,820,-0.66868133880198,0.0033408732,83.39861969351769,0.7410962879657745,8.217225074768066,0.0003
229,663.48,44.82498997,747,84,172032,0.041943359375,-0.00078453598471242,0.2,830,-0.721019984036684,0.005571223,131.24592295885085,0.6112509369850159,34.46026611328125,0.0003
232,657.7,41.88093817000001,747,85,174080,0.071240234375,-0.0017122416178608547,0.2,840,-0.7196593398228288,0.0057859337,104.36125545203686,0.7259716093540192,8.32906723022461,0.0003
235,642.19,46.168789299999986,748,86,176128,0.060009765625,-0.004567460007820046,0.2,850,-0.7565290274098515,0.0054326565,197.0710387259722,0.522886335849762,28.97991943359375,0.0003
238,642.42,51.31217368000001,748,87,178176,0.03916015625,-0.002556329306389671,0.2,860,-0.7130145456641912,0.0041262396,103.28544024229049,0.6523342430591583,241.98670959472656,0.0003
240,641.62,49.97085814,748,88,180224,0.0416015625,-0.002591916359233437,0.2,870,-0.6327221376821399,0.0044456506,81.88893243670464,0.7744594067335129,7.0149335861206055,0.0003
243,643.02,52.35527645,747,89,182272,0.058984375,-0.001356596831101342,0.2,880,-0.6040905246511101,0.007987361,59.40608248487115,0.7907336950302124,24.339937210083008,0.0003
246,632.17,47.2179367,748,90,184320,0.05810546875,-0.0016265177735476754,0.2,890,-0.7311506101861596,0.0072874995,44.37588523998856,0.7138369083404541,2.765256643295288,0.0003
248,623.97,45.184845429999996,749,91,186368,0.036962890625,-0.0024543640935007715,0.2,900,-0.7527880119159818,0.0049502673,239.1788039237261,0.45374631881713867,58.804344177246094,0.0003
251,605.62,39.347379729999986,749,92,188416,0.05,-0.005334517452865839,0.2,910,-0.7810007408261299,0.006740054,222.59792796373367,0.3664243221282959,25.36374855041504,0.0003
253,595.56,41.284855289999996,751,93,190464,0.05859375,-0.005572826863499358,0.2,920,-0.7539496071636677,0.0061870306,267.8096241950989,0.4760606288909912,17.597013473510742,0.0003
256,602.26,42.80316377,751,94,192512,0.08740234375,-0.00616954613578855,0.2,930,-0.8330355791375041,0.0069934507,171.77767068743705,0.6542789936065674,267.9116516113281,0.0003
258,590.22,40.412951750000005,752,95,194560,0.07138671875,-0.003666200400766684,0.2,940,-0.653360128775239,0.0055553494,142.48324410319327,0.5644999146461487,128.36207580566406,0.0003
261,587.07,42.80947725000001,752,96,196608,0.037060546875,-0.004704603496065829,0.2,950,-0.7904092710465193,0.004059355,190.3095389291644,0.6143743693828583,43.639041900634766,0.0003
263,590.47,41.330804089999994,753,97,198656,0.04697265625,-0.002522588095962419,0.2,960,-0.6910672657191753,0.0044079013,128.0291507869959,0.6253491640090942,30.48915672302246,0.0003
266,583.15,41.13468831000001,754,98,200704,0.135791015625,-0.003329748294345336,0.2,970,-0.7184071004390716,0.010458361,84.56242737919092,0.7137984931468964,9.647000312805176,0.0003
268,577.55,46.81299032,754,99,202752,0.052099609375,-0.005455766506929649,0.2,980,-0.7000051593407989,0.008527192,200.60127347707748,0.6280461847782135,153.3074188232422,0.0003
270,568.58,44.37392194000001,755,100,204800,0.03701171875,-0.001764289423590526,0.2,990,-0.6720820840448141,0.0042655524,126.041184091568,0.7488572895526886,24.831193923950195,0.0003
273,557.82,42.86068416999999,756,101,206848,0.044677734375,-0.003854257588318433,0.2,1000,-0.6858542758971453,0.005696833,159.07144270539283,0.6721210479736328,13.899413108825684,0.0003
276,563.59,44.64122918,755,102,208896,0.066552734375,-0.002958713049883954,0.2,1010,-0.6769349034875631,0.009499177,132.69257759451867,0.6813786625862122,10.106657028198242,0.0003
278,554.59,40.20448966000001,756,103,210944,0.045556640625,-0.0030459375215286856,0.2,1020,-0.6094135227613151,0.0058635715,99.44538626968861,0.7809342443943024,52.903926849365234,0.0003
281,541.22,37.73243559,757,104,212992,0.073291015625,-0.0019205822405638172,0.2,1030,-0.7273431796580553,0.004876083,180.80555726885797,0.5935942828655243,123.67510223388672,0.0003
283,531.38,36.26722156000001,758,105,215040,0.04423828125,-0.002007296322699403,0.2,1040,-0.7198785465210676,0.008059008,227.90164019465448,0.669635683298111,7.98313045501709,0.0003
285,521.54,35.146549050000004,759,106,217088,0.036279296875,-0.0021749331204773624,0.2,1050,-0.7070633746683598,0.0025694626,144.20674363970755,0.7543881386518478,13.466787338256836,0.0003
288,526.47,36.78656774,760,107,219136,0.061083984375,-0.002840132352866931,0.2,1060,-0.696606919914484,0.006920308,186.36836290955543,0.7541429251432419,158.92393493652344,0.0003
290,522.13,37.17012795000001,760,108,221184,0.07275390625,-0.005398533242987469,0.2,1070,-0.7077026611194015,0.009625519,103.2871158093214,0.7700313776731491,34.11699676513672,0.0003
293,520.68,40.375395270000006,760,109,223232,0.06953125,-0.004740010150271701,0.2,1080,-0.6831305520609021,0.006103787,105.57692095637321,0.7475433647632599,23.4438419342041,0.0003
295,516.53,42.96543795,762,110,225280,0.039013671875,-0.0029603686405607734,0.2,1090,-0.5992555567994714,0.005487376,164.61911895275117,0.6457983553409576,119.15343475341797,0.0003
