rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/loss,train/clip_range,train/approx_kl,train/entropy_loss,train/value_loss,train/clip_fraction,train/explained_variance
-72.21595171000001,114688,56,128,889,619.31,550,0.0003,-0.0030584166903281584,6.275871276855469,0.2,0.0066884505,-0.9502445744350553,26.493198949098588,0.03671875,0.7740451097488403
-73.24321937,116736,57,133,874,619.31,560,0.0003,-0.005116910113429185,13.366856575012207,0.2,0.006812221,-0.9889021877199411,90.99663867652416,0.051611328125,0.536591649055481
-73.18102013,118784,58,136,870,619.31,570,0.0003,-0.007709012684063055,4.6220269203186035,0.2,0.00928482,-0.9955081216990948,23.881586197018624,0.109619140625,0.770460844039917
-68.13544813,120832,59,138,869,633.84,580,0.0003,-0.004953430795285385,7.847097873687744,0.2,0.0060150865,-0.8902671005576849,28.458902360498904,0.07958984375,0.7229775488376617
-67.06431961,122880,60,142,862,643.36,590,0.0003,-0.0024541568836866645,39.21759796142578,0.2,0.007123709,-0.9182556888088584,93.47929558008909,0.052001953125,0.5171788334846497
-64.30354449000001,124928,61,146,854,659.1,600,0.0003,-0.001944022952375235,11.195225715637207,0.2,0.0041386453,-0.9156920989975333,68.8210764348507,0.024560546875,0.7227160036563873
-63.480832330000005,126976,62,149,847,664.4,610,0.0003,-0.0050102711546060165,88.8226547241211,0.2,0.00870687,-0.8779706170782446,145.14978430867194,0.052783203125,0.5338917672634125
-61.794975510000015,129024,63,153,839,679.01,620,0.0003,-0.004793454242462758,4.323618412017822,0.2,0.004237841,-0.9628290409222245,35.21858564764261,0.064599609375,0.7326502203941345
-58.63549261000002,131072,64,157,830,693.63,630,0.0003,-0.0030624496372183784,2.699307441711426,0.2,0.0051917816,-0.8726841373369097,24.433673955500126,0.05966796875,0.8160364925861359
-56.079679340000006,133120,65,160,826,709.03,640,0.0003,-0.0012661308166570962,6.037768363952637,0.2,0.004905529,-0.9095322761684657,51.47227954417467,0.0634765625,0.6267205476760864
-56.201756620000005,135168,66,164,822,717.02,650,0.0003,-0.004873058057273738,9.918158531188965,0.2,0.006327432,-0.8975200874730944,39.95231981575489,0.071826171875,0.6338697969913483
-54.92704953000001,137216,67,167,817,725.07,660,0.0003,-0.0052888595455442555,5.158696174621582,0.2,0.005789972,-0.8964735079556704,30.91863286420703,0.058837890625,0.7548794150352478
-54.780421270000005,139264,68,170,814,732.18,670,0.0003,-0.004140181145339738,3.180060863494873,0.2,0.006689327,-0.8897561848163604,27.345045385509728,0.085986328125,0.7021908760070801
-50.32295131,141312,69,174,809,744.99,680,0.0003,-0.0011151501661515796,5.004469871520996,0.2,0.0059825834,-0.8945472810417414,26.668086725473405,0.048291015625,0.6738165318965912
-49.960226240000004,143360,70,178,804,758.55,690,0.0003,-0.001844902298762463,2.4480512142181396,0.2,0.0062634796,-0.906788888014853,30.640107046067715,0.06171875,0.7215851545333862
-47.10694556000001,145408,71,181,800,769.11,700,0.0003,-0.005699858407024294,6.073609828948975,0.2,0.005382189,-0.868045168556273,72.64742797613144,0.05400390625,0.5659769773483276
-45.111282200000005,147456,72,185,796,782.44,710,0.0003,-0.001594985229166923,84.88568115234375,0.2,0.0057098744,-0.8325095484033227,81.96568441316485,0.02626953125,0.6860024929046631
-41.693638009999994,149504,73,188,792,794.23,720,0.0003,-0.005369019164209021,2.735072612762451,0.2,0.010025026,-0.7940072193741798,37.46024405471981,0.11865234375,0.8063388764858246
-38.06833335,151552,74,191,789,812.68,730,0.0003,-0.009774743072193814,2.4436893463134766,0.2,0.00468501,-0.8778094852343201,70.22286846041679,0.062451171875,0.5462385714054108
-38.22709583000001,153600,75,195,787,819.35,740,0.0003,-0.002441356009512674,10.750826835632324,0.2,0.00416586,-0.8700078276917338,57.22751237601042,0.07763671875,0.5981906950473785
-37.20107765,155648,76,198,782,826.23,750,0.0003,-0.0008187330720829777,5.71962308883667,0.2,0.0034468868,-0.8996361887082458,48.52618360072374,0.038525390625,0.7109692394733429
-34.35244056,157696,77,202,778,840.08,760,0.0003,-0.00548737101998995,5.207633018493652,0.2,0.009461687,-0.8855485897511244,32.90348155945539,0.0890625,0.6866737306118011
-32.79414767,159744,78,206,775,849.55,770,0.0003,-0.0031105372225283647,3.4433839321136475,0.2,0.0062123006,-0.9154847156256437,39.963380329310894,0.054638671875,0.6528475880622864
-30.004653459999997,161792,79,209,773,853.36,780,0.0003,-0.0015641621423128527,5.377979278564453,0.2,0.0040622856,-0.9144444596022367,21.14044435098767,0.049365234375,0.7346968650817871
-30.30190742,163840,80,212,771,853.36,790,0.0003,-0.002156224002101226,63.52467727661133,0.2,0.0052905264,-0.8533568134531379,52.9696709536016,0.057861328125,0.48910874128341675
-27.207254060000004,165888,81,214,773,862.74,800,0.0003,-0.0015803415037225932,2.5678365230560303,0.2,0.0036353413,-0.8607325730845332,40.77417630404234,0.034765625,0.6682664752006531
-27.316905909999996,167936,82,217,773,863.48,810,0.0003,-0.001208748174030916,26.455156326293945,0.2,0.0065876516,-0.8663971569389105,138.69185520261527,0.0197265625,0.44506192207336426
-24.48416244,169984,83,220,771,870.25,820,0.0003,-0.002328778258379316,55.15236282348633,0.2,0.004345713,-0.881562658585608,64.92219159305095,0.058642578125,0.4968520402908325
-22.202741590000002,172032,84,224,766,884.03,830,0.0003,-0.0015647119507775642,3.8605499267578125,0.2,0.0060620843,-0.8962120847776532,44.41856760233641,0.0408203125,0.6010387539863586
-20.721825059999997,174080,85,228,760,895.16,840,0.0003,-0.0016777974597061984,2.783179759979248,0.2,0.005736665,-0.9106242392212153,11.88548199981451,0.064599609375,0.8239751905202866
-18.78807201,176128,86,232,757,902.96,850,0.0003,-0.0006024670801707543,3.8361639976501465,0.2,0.0035085555,-0.8800852444022894,34.17514110580087,0.05810546875,0.6874679923057556
-16.46317356,178176,87,235,756,916.43,860,0.0003,-0.005039855091308709,3.113399028778076,0.2,0.0065550595,-0.92552704885602,34.273170449584725,0.078955078125,0.7508879452943802
-11.273194530000001,180224,88,238,754,930.69,870,0.0003,-0.0037654378793376964,3.8510220050811768,0.2,0.0054006497,-0.9034993277862668,27.978702943772078,0.03837890625,0.8408820331096649
-8.826469800000002,182272,89,241,754,939.53,880,0.0003,-0.0006052387674571946,151.35301208496094,0.2,0.00450974,-0.8030979162082076,146.37189408838748,0.033544921875,0.5710979402065277
-6.620276310000001,184320,90,245,751,940.61,890,0.0003,-0.0020390393015986773,2.505524158477783,0.2,0.0091892,-0.9350581502541899,39.613573209941386,0.100634765625,0.7047253251075745
-5.755614540000003,186368,91,248,750,941.71,900,0.0003,-0.0029407923684630077,8.479133605957031,0.2,0.0048265276,-0.9074910596013069,61.71294072493911,0.047900390625,0.43360477685928345
-3.3112078500000024,188416,92,252,746,943.42,910,0.0003,-0.009545893417089247,1.7923824787139893,0.2,0.007590594,-0.9464275985956192,32.05853928625584,0.094921875,0.668862372636795
0.30519398999999736,190464,93,255,746,940.5,920,0.0003,-0.0038951873415498995,3.788867235183716,0.2,0.010158945,-0.9075881972908973,71.42844232320786,0.116650390625,0.4532482624053955
2.2725794199999982,192512,94,258,744,938.36,930,0.0003,-0.0017112727924541104,10.403749465942383,0.2,0.0059259627,-0.8215830517932773,131.9231036156416,0.03251953125,0.22954118251800537
2.2182470699999985,194560,95,262,742,938.36,940,0.0003,-0.002293440732319141,4.334497451782227,0.2,0.006772373,-0.8973232885822654,74.17209413796664,0.05068359375,0.45423102378845215
2.0287477199999984,196608,96,266,738,938.36,950,0.0003,-0.00137523312587291,8.858234405517578,0.2,0.0099030845,-0.8458130799233914,47.59703391417861,0.085107421875,0.6229461431503296
2.449616569999997,198656,97,270,734,936.28,960,0.0003,-0.003034429342369549,4.182168483734131,0.2,0.007627503,-0.8721925720572472,35.375559935718776,0.087548828125,0.6487441956996918
1.3923929899999996,200704,98,274,731,933.86,970,0.0003,-0.0017395326918631326,55.65935516357422,0.2,0.0033299974,-0.8919157851487398,120.84151412621141,0.03671875,0.3012402057647705
2.4928406599999993,202752,99,278,727,932.66,980,0.0003,-0.00235206800598462,9.835424423217773,0.2,0.009043996,-0.8557764554396272,93.75331679806114,0.06015625,0.485908567905426
3.9695026799999984,204800,100,283,721,934.79,990,0.0003,-0.0016258605908660683,5.680122375488281,0.2,0.002969289,-0.7404353650286793,67.2564093619585,0.036376953125,0.452161967754364
4.363187589999997,206848,101,286,720,932.14,1000,0.0003,-0.000844018748466624,2.677905321121216,0.2,0.0056528985,-0.8211231004446745,37.774486874789,0.061669921875,0.6456786096096039
7.159082419999997,208896,102,290,719,939.93,1010,0.0003,-0.002123964362181141,3.2732629776000977,0.2,0.0071177795,-0.8558528281748294,78.75033767744898,0.079345703125,0.40590983629226685
7.765092669999998,210944,103,293,718,936.61,1020,0.0003,-0.003739493995817611,3.415508508682251,0.2,0.007205313,-0.9028088280931115,61.660361701250075,0.07685546875,0.5907915532588959
8.365540289999998,212992,104,297,716,936.61,1030,0.0003,-0.001803710057720309,2.582495927810669,0.2,0.0043178415,-0.8471776079386473,68.04057791903615,0.035693359375,0.5336055159568787
