time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,train/clip_fraction,train/loss,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/explained_variance,train/approx_kl,train/value_loss,train/n_updates,train/learning_rate
104,9.2551007,799.32,309,689,212992,0.049853515625,28.936254501342773,-0.002781890256301267,-0.7684391116723418,0.2,0.6130969226360321,0.005028623,190.12005606889724,1030,0.0003
105,4.57889544,799.29,312,688,215040,0.04248046875,6.747569561004639,-0.00027891572208318396,-0.8803530059754848,0.2,0.5019131898880005,0.0071034553,91.10735921114683,1040,0.0003
106,6.838755550000001,794.77,315,687,217088,0.128515625,6.1893086433410645,-0.0008991945287561975,-0.7982135044410825,0.2,0.5128307044506073,0.0052424865,99.80974280238152,1050,0.0003
107,5.511193970000001,776.18,318,687,219136,0.1109375,25.474620819091797,-0.002692395550548099,-0.8954832453280688,0.2,0.5113542079925537,0.008292617,72.24890599697828,1060,0.0003
108,7.478223260000001,776.18,322,686,221184,0.033349609375,89.85807800292969,-0.0009812123898882419,-0.779610619135201,0.2,0.545692503452301,0.0044278083,171.21438530385495,1070,0.0003
109,6.36616111,755.54,324,687,223232,0.169921875,1.6650253534317017,0.0007697239823755808,-0.934274660050869,0.2,0.6764302551746368,0.011814736,47.95719020329416,1080,0.0003
110,3.3532900099999985,742.99,327,687,225280,0.027880859375,429.55401611328125,-0.002265592387630022,-0.7877320881932974,0.2,0.516167551279068,0.0033749966,209.97057304382324,1090,0.0003
111,6.168893140000002,737.91,332,684,227328,0.020654296875,97.1921157836914,-0.0014088449810515159,-0.8336586998775601,0.2,0.41655850410461426,0.0037422949,196.96485353708266,1100,0.0003
112,6.93251362,725.9,335,684,229376,0.076904296875,5.630605697631836,-0.0006500925373984501,-0.9291186777874827,0.2,0.6708633303642273,0.0055641946,68.04759664274752,1110,0.0003
113,7.934895400000001,725.85,338,683,231424,0.04853515625,9.849786758422852,-0.0026180589353316463,-0.7140739979222417,0.2,0.48617273569107056,0.003625717,153.25441972315312,1120,0.0003
114,7.628582009999999,704.55,340,685,233472,0.15888671875,15.897027015686035,-0.002261457652639365,-0.8557268535718322,0.2,0.6998561322689056,0.0135310255,78.02504317611456,1130,0.0003
115,5.62794817,698.34,343,685,235520,0.042724609375,101.86568450927734,-0.0028887434433272573,-0.79669044110924,0.2,0.48871755599975586,0.0051826783,229.31963050365448,1140,0.0003
116,4.236813159999998,683.1,346,686,237568,0.10673828125,2.635986089706421,-0.00046199876596801913,-0.9103852298110724,0.2,0.6485439240932465,0.009532055,70.32880393490196,1150,0.0003
117,3.8755279,674.44,349,686,239616,0.054345703125,66.01888275146484,-0.00018708854368014726,-0.7939932353794574,0.2,0.6678189039230347,0.0071816603,158.37117476165295,1160,0.0003
118,3.9451949899999987,676.87,352,685,241664,0.0509765625,11.027815818786621,-0.0012045965020661242,-0.8132910121232271,0.2,0.6963604390621185,0.0038531553,93.33931455165148,1170,0.0003
119,3.7560939799999975,676.87,356,684,243712,0.12978515625,381.3514709472656,-0.00043515360011951997,-0.9340475082397461,0.2,0.6920889317989349,0.009326398,65.17180390506982,1180,0.0003
120,1.8312075099999976,677.74,359,683,245760,0.10458984375,1.9346920251846313,-0.0033033796869858635,-0.853313741646707,0.2,0.7302856147289276,0.0093991775,47.21893492825329,1190,0.0003
121,3.566231449999998,684.57,363,682,247808,0.068994140625,27.436559677124023,-0.0031074767417521797,-0.8044777363538742,0.2,0.7348017394542694,0.0030878696,82.49914231337607,1200,0.0003
122,5.143825959999998,671.06,365,682,249856,0.158935546875,1.9905189275741577,-0.0021523955729207955,-0.9185382012277842,0.2,0.8788204938173294,0.00950657,25.45811226852238,1210,0.0003
123,2.6517339299999994,681.55,369,681,251904,0.037548828125,18.289493560791016,-0.0024445089788059705,-0.6970718963071704,0.2,0.6400279104709625,0.0036591175,94.05817437916994,1220,0.0003
1,-274.9875,370.0,1,1050,2048,0.051953125,298.58673095703125,-2.0515366850304416e-05,-0.9005423182621598,0.2,0.687732994556427,0.0046335254,72.40689252801239,1230,0.0003
2,-338.1571428571429,555.8571428571429,5,813,4096,0.016552734375,102.91663360595703,-0.001302413229132071,-0.6129009093157947,0.2,0.5118796527385712,0.0042066155,140.33701016902924,1240,0.0003
3,-431.0444444444445,654.5555555555555,7,812,6144,0.024951171875,5.284700870513916,-0.00018292831518920138,-0.592576018255204,0.2,0.5391049683094025,0.002728127,78.71391148492694,1250,0.0003
4,-407.4269230769231,616.0,10,780,8192,0.131201171875,0.6773400902748108,-0.0002658133613294922,-0.8915683420374989,0.2,0.8511378616094589,0.014636174,25.912528340518474,1260,0.0003
5,-367.07187500000003,578.125,13,742,10240,0.042333984375,6.963161468505859,-0.0011929074054933154,-0.7458173839375377,0.2,0.6792770326137543,0.0031427534,62.00579798296094,1270,0.0003
6,-354.5404761904762,574.4761904761905,17,720,12288,0.0306640625,77.2262954711914,-0.0018940851790830494,-0.8002192301675677,0.2,0.7568452209234238,0.006402757,132.54267438650132,1280,0.0003
7,-358.6608695652174,611.4782608695652,20,706,14336,0.02685546875,67.89505004882812,-0.002011661160941003,-0.8151227703318,0.2,0.8794331178069115,0.0051562185,63.933827912807466,1290,0.0003
8,-369.538,642.56,23,688,16384,0.08720703125,0.3848752975463867,-0.0025648120121331886,-0.896862742677331,0.2,0.9774202406406403,0.010379876,4.2708746459335085,1300,0.0003
9,-370.75000000000006,659.4444444444445,26,685,18432,0.08896484375,0.20389729738235474,-0.0022336473310133444,-0.8053467655554414,0.2,0.9914678996428847,0.024432074,2.3547049003653227,1310,0.0003
10,-375.0383333333333,681.0666666666667,29,683,20480,0.0509765625,11.911482810974121,-0.005181459888990503,-0.7363499442115427,0.2,0.9674828052520752,0.006548077,32.201337010785934,1320,0.0003
11,-366.630303030303,672.6060606060606,32,691,22528,0.10869140625,56.447845458984375,-0.0049698903843818695,-0.7218128480017185,0.2,0.9210507273674011,0.016141118,77.46980649754406,1330,0.0003
12,-355.6675675675675,655.0540540540541,35,695,24576,0.0787109375,52.59895324707031,-0.0019766879546295967,-0.7692038156092167,0.2,0.9343170672655106,0.0077985106,70.57099262103438,1340,0.0003
13,-350.615,663.325,37,700,26624,0.0328125,73.04253387451172,-0.0019420372882450465,-0.6782786214724184,0.2,0.9141106531023979,0.004524369,110.43889721632004,1350,0.0003
