time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/clip_range,train/n_updates,train/entropy_loss,train/clip_fraction,train/loss,train/approx_kl,train/value_loss,train/explained_variance,train/learning_rate
116736,679,769.49,57,171,-35.66177714,-0.0017443408243707382,0.2,560,-0.8789918957278132,0.04541015625,4.681619644165039,0.005122282,29.251011487841605,0.7516217678785324,0.0003
118784,678,785.65,58,175,-32.91756972999999,-0.00487237868073862,0.2,570,-0.863781207986176,0.10576171875,7.259524345397949,0.010173007,72.83277054429054,0.4902461767196655,0.0003
120832,671,799.08,59,179,-29.761642739999992,-0.0009844449828960932,0.2,580,-0.7798986863344908,0.022119140625,12.714314460754395,0.0050903223,175.4956749767065,0.2567388415336609,0.0003
122880,670,815.42,60,183,-25.709715489999997,-0.0018045999211608432,0.2,590,-0.9003454770892858,0.053662109375,7.923557281494141,0.0067485445,56.64801040515304,0.5056610405445099,0.0003
124928,667,826.84,61,187,-23.374572969999996,-0.004542418172786711,0.2,600,-0.825387853756547,0.081201171875,46.29633712768555,0.005714464,118.81697266250849,0.3698657155036926,0.0003
126976,664,841.31,62,190,-21.66705901,-0.006165832129772753,0.2,610,-0.8525183787569404,0.064208984375,5.080359935760498,0.007447517,49.34397196322679,0.5347573757171631,0.0003
129024,663,846.21,63,194,-20.46580292,-0.008177295178757048,0.2,620,-0.9080332309007645,0.11103515625,3.4143905639648438,0.01370802,42.28444904014468,0.5478561520576477,0.0003
131072,662,858.33,64,197,-17.31762462,-0.0007896533414168516,0.2,630,-0.838203608803451,0.02421875,5.231256484985352,0.0026863494,105.42572994083166,0.3326425552368164,0.0003
133120,659,870.81,65,201,-15.775666069999998,-0.0033866002719150855,0.2,640,-0.8295580418780446,0.064990234375,4.743298530578613,0.012115562,55.941341545432806,0.6936370432376862,0.0003
135168,657,881.45,66,205,-11.038270980000002,-0.00484585524245631,0.2,650,-0.8833643523976207,0.13447265625,28.838640213012695,0.01215167,63.779226057231426,0.39485663175582886,0.0003
137216,655,893.02,67,209,-12.675909980000002,-0.003309704247658374,0.2,660,-0.7718932503834367,0.059423828125,14.651174545288086,0.01079406,59.76200661957264,0.5482790768146515,0.0003
139264,655,896.47,68,212,-8.72955474,-0.0015005192795797483,0.2,670,-0.8517187461256981,0.023974609375,48.61815643310547,0.004094344,108.48588574826718,0.5870795249938965,0.0003
141312,655,904.23,69,215,-6.33132351,-0.0008282793256512378,0.2,680,-0.7850758330896497,0.03671875,7.873854160308838,0.0026785196,61.20186135619879,0.4638482928276062,0.0003
143360,655,907.69,70,218,-5.11588607,-0.001693773789156694,0.2,690,-0.8360465308651328,0.0267578125,5.628374099731445,0.007855147,122.40399102419615,0.45636188983917236,0.0003
145408,655,903.45,71,221,-4.4601451999999995,-0.0007505593035602942,0.2,700,-0.8404750496149063,0.026708984375,17.689250946044922,0.005615606,95.88333637416363,0.6721851527690887,0.0003
147456,653,914.12,72,225,-2.170509019999998,-0.0027155965559359173,0.2,710,-0.8508194835856557,0.0529296875,37.91059494018555,0.0069243447,118.41679495722056,0.6173373758792877,0.0003
149504,653,915.3,73,228,-3.375241199999999,-0.005127492440806236,0.2,720,-0.9504658306017518,0.16611328125,237.24769592285156,0.00899887,68.86192871928215,0.6244527101516724,0.0003
