time/fps,time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/loss,train/explained_variance,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/clip_fraction,train/value_loss,train/clip_range,train/entropy_loss
918,63488,31,-99.15901784000002,390.65,69,62.43544387817383,0.8558612316846848,0.01255836,0.0003,-0.011018329017679207,300,0.133349609375,69.41607514023781,0.2,-1.02318399772048
906,65536,32,-95.50322597999998,406.3,72,21.218685150146484,0.8450826704502106,0.008361438,0.0003,-0.009194886017940006,310,0.09794921875,66.87556264400482,0.2,-0.9691408539190889
892,67584,33,-89.81465766999997,432.12,75,120.94721221923828,0.6521269679069519,0.0068413476,0.0003,-0.006959531225948013,320,0.053173828125,100.75923336744309,0.2,-1.0099445957690478
884,69632,34,-87.75013393999998,447.74,78,3.901343822479248,0.5934717059135437,0.009569449,0.0003,-0.006668381093186326,330,0.1078125,40.305151203274725,0.2,-1.067605954222381
872,71680,35,-85.49389094999998,462.78,82,122.57490539550781,0.6952685117721558,0.0049338453,0.0003,-0.0024455239406961484,340,0.0341796875,100.51649084985256,0.2,-0.9903969747945667
869,73728,36,-84.43506774000001,476.37,84,6.917543411254883,0.748987078666687,0.0060630837,0.0003,-0.004646404323284514,350,0.072509765625,30.478285509347916,0.2,-1.034036927111447
847,75776,37,-81.48619387999999,491.35,89,10.489062309265137,0.9093597233295441,0.005347386,0.0003,-0.005895776733450475,360,0.078515625,33.39701298475266,0.2,-1.0376930782571434
841,77824,38,-78.21612067999999,506.21,92,2.49589467048645,0.6388014256954193,0.0051556625,0.0003,-0.004826002930349205,370,0.070361328125,31.226243065297602,0.2,-1.023324147798121
830,79872,39,-76.00340234,522.26,96,5.688775062561035,0.9167642518877983,0.0059234323,0.0003,-0.005243101457017474,380,0.072265625,41.601538699865344,0.2,-0.9268807346001268
817,81920,40,-77.16136705,536.98,100,52.37897872924805,0.9067272171378136,0.009490468,0.0003,-0.006411975279479521,390,0.1291015625,22.575174307823183,0.2,-1.0316331423819065
809,83968,41,-74.10172566,552.51,103,4.685089588165283,0.768829956650734,0.0026981586,0.0003,-0.0023904921683424616,400,0.040869140625,51.4063736513257,0.2,-0.9613409223034978
794,86016,42,-71.5140074,565.23,108,12.126192092895508,0.9255820661783218,0.009534926,0.0003,-0.006759171096928185,410,0.126318359375,33.14483158141375,0.2,-0.9434528151527047
788,88064,43,-67.97188485,581.73,111,8.766422271728516,0.4544617533683777,0.005502085,0.0003,-0.0017186779165058396,420,0.053271484375,61.8887244284153,0.2,-0.9852509342133999
773,90112,44,-64.99670944,599.22,116,1.7347283363342285,0.6714509129524231,0.0038228023,0.0003,-0.0010569302248768508,430,0.046826171875,28.328999451547862,0.2,-0.9358742302283645
765,92160,45,-63.56737826,616.09,120,250.2217559814453,0.6129183173179626,0.005822448,0.0003,-0.007473128873971291,440,0.129833984375,36.47785943299532,0.2,-0.99300249312073
764,94208,46,-62.19474039999999,632.68,123,5.0076584815979,0.6705885529518127,0.0060218587,0.0003,-0.005140196947468212,450,0.062255859375,41.562863206863405,0.2,-0.9594169212505221
763,96256,47,-60.045456920000014,647.24,126,1.9003727436065674,0.8138881474733353,0.008682823,0.0003,-0.0053905762513750234,460,0.083935546875,25.474784238636495,0.2,-0.9659863714128732
755,98304,48,-56.681187740000006,671.85,130,27.373241424560547,0.578342467546463,0.0074383905,0.0003,-0.00283909816898813,470,0.063525390625,71.5001862615347,0.2,-1.0030570916831494
755,100352,49,-53.44095209,688.75,132,136.05458068847656,0.6310203373432159,0.006669321,0.0003,-0.004220630106283351,480,0.07607421875,43.71053112745285,0.2,-0.9541115364059806
