rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,train/n_updates,train/entropy_loss,train/clip_fraction,train/value_loss,train/loss,train/explained_variance,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/approx_kl
995.3,237,155648,0.25801167999999974,656,76,750,-0.721732335165143,0.06806640625,22.101828560233116,1.9746392965316772,0.639337033033371,0.0003,0.2,-0.0009756216350069735,0.004838557
1000.0,242,157696,-0.7350401700000002,650,77,760,-0.720917135849595,0.07900390625,9.384524504467844,2.2208797931671143,0.6839790940284729,0.0003,0.2,-0.0007349649014940951,0.0042721354
1000.0,246,159744,0.6500195399999998,648,78,770,-0.7321234809234738,0.087255859375,18.116364668495955,107.03438568115234,0.6376615762710571,0.0003,0.2,-0.0026017861411673946,0.006427896
1000.0,250,161792,-0.4509767700000002,645,79,780,-0.7042793763801456,0.052587890625,15.662242658995092,0.9237842559814453,0.6285438239574432,0.0003,0.2,-0.002737195106601575,0.004517366
1000.0,254,163840,-0.28273371,644,80,790,-0.7028632832691073,0.0638671875,19.80422935411334,1.3438400030136108,0.6434738636016846,0.0003,0.2,-0.0017160577233880758,0.0075282203
1000.0,258,165888,0.36592487000000007,640,81,800,-0.7323328075930476,0.106201171875,11.694443330913781,2.443493366241455,0.7377080917358398,0.0003,0.2,-0.0017748416015820113,0.008375508
1000.0,262,167936,0.51754601,639,82,810,-0.7161949148401618,0.06123046875,17.333611090108754,0.8593255281448364,0.6592573821544647,0.0003,0.2,-0.00039457044476876035,0.004143564
1000.0,265,169984,0.5032799500000001,639,83,820,-0.7171820962801576,0.082763671875,13.224578251875936,0.7838675379753113,0.663857489824295,0.0003,0.2,-0.0007617760362336412,0.0069052675
1000.0,268,172032,0.17704245000000043,640,84,830,-0.6956150924786926,0.055908203125,20.888747303932906,1.208837628364563,0.6971308887004852,0.0003,0.2,-0.0012726907276373821,0.007243105
1000.0,272,174080,0.5031249800000005,639,85,840,-0.703625544346869,0.06865234375,23.157613955065607,3.4663822650909424,0.6862290799617767,0.0003,0.2,-0.002028736267675413,0.0044359528
1000.0,275,176128,0.08709999000000045,638,86,850,-0.7190932016819715,0.06630859375,23.109817974083125,0.4325968027114868,0.6436838507652283,0.0003,0.2,-0.0005869598709978164,0.0044316878
1000.0,280,178176,0.4919689500000004,636,87,860,-0.6814540695399046,0.11640625,16.091087453439833,1.2867213487625122,0.7652198225259781,0.0003,0.2,-0.005493625110102584,0.009734841
1000.0,284,180224,0.49351481999999997,634,88,870,-0.7043449247255922,0.05595703125,17.483854776620866,0.9676235914230347,0.634030818939209,0.0003,0.2,0.0001239631928910967,0.0047732326
1000.0,288,182272,0.26796505999999987,632,89,880,-0.6927096659317613,0.055322265625,10.713394725136459,110.3672103881836,0.8227584511041641,0.0003,0.2,-1.2772217451129108e-05,0.0026748131
1000.0,292,184320,0.5444922299999999,630,90,890,-0.7038267508149147,0.056787109375,13.548280276730656,0.5073093175888062,0.6975902915000916,0.0003,0.2,-0.002833410339371767,0.005303666
1000.0,295,186368,-0.07269567000000011,629,91,900,-0.649993895739317,0.09541015625,12.950125225447119,0.48941120505332947,0.7256906926631927,0.0003,0.2,-0.002859254078066442,0.0064232
1000.0,300,188416,0.23798374000000005,627,92,910,-0.6916873440146446,0.06669921875,12.641218546405435,0.5603692531585693,0.6568842828273773,0.0003,0.2,-0.0008077132137259468,0.0051269545
1000.0,304,190464,0.1687592400000001,625,93,920,-0.6863166896626354,0.057177734375,11.810765261668712,0.32330381870269775,0.6488392353057861,0.0003,0.2,-0.0004862037232669536,0.005077917
1000.0,307,192512,-0.20260548000000017,626,94,930,-0.705769425816834,0.096435546875,22.543154166080058,0.524952232837677,0.7049520611763,0.0003,0.2,-0.003551532394340029,0.011958513
1000.0,310,194560,0.20018038999999985,627,95,940,-0.648001586087048,0.064990234375,19.04326982293278,0.4858350157737732,0.7283044755458832,0.0003,0.2,0.00023295996579690835,0.004277054
1000.0,313,196608,0.6100577999999998,627,96,950,-0.7011795381084085,0.09228515625,22.70081783439964,2.4386749267578125,0.6909635365009308,0.0003,0.2,-0.0006297627456660848,0.0054019885
1000.0,316,198656,0.4931929299999996,626,97,960,-0.7082141548395157,0.058935546875,26.54224207047373,231.2236328125,0.7203474640846252,0.0003,0.2,1.2482205056585371e-05,0.003133118
1000.0,321,200704,0.3261635699999998,624,98,970,-0.6918134311214089,0.053076171875,21.623344965744764,0.25822708010673523,0.6347689032554626,0.0003,0.2,-0.001813054725062102,0.004579015
1000.0,325,202752,0.14881065999999976,622,99,980,-0.7251632820814848,0.07119140625,25.826599094085395,269.5538635253906,0.6014104187488556,0.0003,0.2,-0.0016466683307953644,0.007208987
1000.0,328,204800,0.48071314,623,100,990,-0.7409375132992864,0.091259765625,20.10507805477828,0.7469761967658997,0.6558440923690796,0.0003,0.2,-0.002665978146251291,0.007037692
1000.0,331,206848,0.7428596500000002,623,101,1000,-0.706849317997694,0.075,27.592426367662846,1.4637895822525024,0.6926466822624207,0.0003,0.2,-0.001470620276813861,0.0066327527
1000.0,334,208896,0.17828519000000007,623,102,1010,-0.7303096806630492,0.08330078125,19.912274384312333,0.8505324125289917,0.6446650326251984,0.0003,0.2,-0.0015664692720747553,0.005301003
999.99,337,210944,-0.6757440800000001,624,103,1020,-0.7200307548046112,0.060205078125,19.651911324821413,1.2579759359359741,0.49890345335006714,0.0003,0.2,-0.0015296261422918177,0.00427337
999.99,341,212992,-0.7741802400000001,624,104,1030,-0.7042958034202457,0.058203125,59.007071456313135,4.845005035400391,0.48151761293411255,0.0003,0.2,-0.0020192781754303723,0.0025076587
999.99,344,215040,-0.9863681100000001,623,105,1040,-0.7300331223756075,0.13291015625,23.79061535708606,0.5309311747550964,0.6753570437431335,0.0003,0.2,-0.003776966860095854,0.011029156
999.99,347,217088,-0.90400307,624,106,1050,-0.6426374620757997,0.098095703125,25.937712247669698,0.7976797223091125,0.772964671254158,0.0003,0.2,-0.004253125142713543,0.008170658
999.99,352,219136,-1.1042611199999997,621,107,1060,-0.6306220569647849,0.0447265625,25.200352429412305,0.5941562652587891,0.8019758313894272,0.0003,0.2,0.00015006884350441397,0.0031557097
999.99,355,221184,-0.8009217999999998,621,108,1070,-0.7232777029275894,0.107275390625,23.648286812379958,0.743748664855957,0.6930940747261047,0.0003,0.2,-0.0019490724080242217,0.012501897
999.99,361,223232,-0.5778537500000003,618,109,1080,-0.6711884899064898,0.062646484375,14.479459447227418,0.5126854181289673,0.8389908224344254,0.0003,0.2,0.0009555089534842409,0.0052833366
999.99,365,225280,-0.38821814000000027,616,110,1090,-0.6698570419102907,0.056201171875,20.152290672063828,0.3517279326915741,0.3320316672325134,0.0003,0.2,-0.0001833869857364334,0.003254617
997.37,368,227328,-1.7464004400000004,616,111,1100,-0.6872367547824979,0.065625,26.224087734054773,0.7866072058677673,0.6013372838497162,0.0003,0.2,-0.000360493464540923,0.006370764
997.37,371,229376,-1.77128657,616,112,1110,-0.6983494836837053,0.077783203125,57.06230754628778,5.830967426300049,0.506843090057373,0.0003,0.2,-0.004032499174354598,0.0055569
997.37,375,231424,-2.08169457,616,113,1120,-0.6725259831175208,0.047509765625,20.878792225196957,0.3893577754497528,0.7349130511283875,0.0003,0.2,-0.0009568437686539255,0.0046225404
997.37,379,233472,-1.74318521,615,114,1130,-0.6644556934013963,0.069140625,15.637753810361028,1.036493182182312,0.5880971848964691,0.0003,0.2,-0.001754645000619348,0.0042466433
997.37,382,235520,-1.75752129,615,115,1140,-0.6769149156287313,0.06171875,22.340792640391737,0.3622070550918579,0.682778537273407,0.0003,0.2,-7.257974721142091e-05,0.0047800173
997.37,386,237568,-1.8952128100000005,615,116,1150,-0.6586127109825611,0.0837890625,35.42805184740573,0.4578535854816437,0.7130156755447388,0.0003,0.2,-0.001893707636918407,0.007982732
997.37,389,239616,-1.8427903200000002,614,117,1160,-0.6583733083680272,0.06650390625,17.94959589242935,0.24172702431678772,0.5615553557872772,0.0003,0.2,0.0007043560413876549,0.010284746
997.37,393,241664,-1.83173922,614,118,1170,-0.6846154421567917,0.082763671875,23.230576028209178,0.2537807822227478,0.5335041880607605,0.0003,0.2,-0.0034420194861013442,0.0074259685
997.37,397,243712,-1.8621006800000004,613,119,1180,-0.662871140241623,0.046728515625,23.105293504241853,0.5693444609642029,0.7619532197713852,0.0003,0.2,-0.0007612321773194708,0.0052807066
996.61,400,245760,-0.9384322200000008,613,120,1190,-0.6125663671642542,0.062744140625,24.44919124422595,0.5855339765548706,0.7922714650630951,0.0003,0.2,-0.0010893596299865749,0.0059100846
996.61,403,247808,-0.8891511500000007,614,121,1200,-0.665115874260664,0.066259765625,44.949611311778426,93.90274810791016,0.4082781672477722,0.0003,0.2,-0.0017397349140082952,0.0047779
996.23,407,249856,-1.697875770000001,612,122,1210,-0.6694977760314942,0.051025390625,39.01884937081486,1.109989881515503,0.6485433578491211,0.0003,0.2,-0.0003133830658043735,0.007555815
996.23,411,251904,-1.6926358100000005,612,123,1220,-0.6699156139045954,0.0521484375,43.648695597797634,235.8529815673828,0.5166439116001129,0.0003,0.2,-0.001853824632416945,0.005021835
1000.0,2,2048,-851.85,776,1,1230,-0.6617592815309763,0.07412109375,28.18014474064112,0.3773472309112549,0.5628284215927124,0.0003,0.2,-0.0008754626142035704,0.007570358
981.0,6,4096,-781.7,611,2,1240,-0.6520563062280417,0.105859375,45.2897621255368,1.85391366481781,0.4073454737663269,0.0003,0.2,0.0023514648739364928,0.0061929403
975.0,10,6144,-810.0250000000001,593,3,1250,-0.5984642002731562,0.01806640625,60.15542906075716,2.7351560592651367,0.261810302734375,0.0003,0.2,-0.002028531783435028,0.0037391363
