rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/approx_kl,train/entropy_loss,train/explained_variance,train/value_loss,train/n_updates,train/learning_rate,train/loss,train/clip_range,train/clip_fraction,train/policy_gradient_loss
558.39,103,827,42,-78.34101801999999,86016,0.0052623022,-1.039239895157516,0.7602079808712006,68.04349148571491,410,0.0003,12.843221664428711,0.2,0.074658203125,-0.005416379117377801
574.01,107,817,43,-75.19574032999999,88064,0.008875041,-1.0246065013110637,0.8511713892221451,25.233259974420072,420,0.0003,6.147192478179932,0.2,0.088916015625,-0.0049168244542670434
590.88,110,814,44,-73.68264817,90112,0.0042665815,-1.025691863335669,0.8555087894201279,45.58525166362524,430,0.0003,8.12562370300293,0.2,0.037158203125,-0.0026325956903747285
608.27,113,813,45,-71.22529334000001,92160,0.007150966,-1.0195196826010942,0.8120130151510239,32.2515521876514,440,0.0003,2.8414297103881836,0.2,0.0703125,-0.0047448852317756975
624.63,116,811,46,-68.31385322,94208,0.012645006,-1.0397040892392397,0.8174720704555511,33.211833487451074,450,0.0003,4.070738792419434,0.2,0.12734375,-0.00811982486047782
640.53,120,800,47,-63.88031959999999,96256,0.007014219,-0.9743910901248455,0.8697116523981094,23.084484397619963,460,0.0003,101.2822494506836,0.2,0.059228515625,-0.006122293074440677
656.06,123,793,48,-64.37228488999999,98304,0.0037818886,-0.9255880249664188,0.8453607261180878,25.121865510195494,470,0.0003,1.7111221551895142,0.2,0.041845703125,-0.0060822581333923155
667.75,127,784,49,-63.35189036,100352,0.005436174,-0.9507241383194923,0.6217592358589172,62.934385219961406,480,0.0003,2.295203924179077,0.2,0.04453125,-0.004449032273623743
678.98,131,778,50,-58.73653769,102400,0.0026891977,-0.9544999234378337,0.7510456740856171,90.85507096946239,490,0.0003,6.119662284851074,0.2,0.032763671875,-0.0025579410961654504
686.04,134,775,51,-59.78264168999999,104448,0.0068869386,-0.9138509994372725,0.8496964275836945,40.303921963274476,500,0.0003,4.1317362785339355,0.2,0.078271484375,-0.005818896659184248
699.29,138,766,52,-55.66939439000001,106496,0.0034370725,-0.9315085876733065,0.49059951305389404,85.26607038155198,510,0.0003,339.9713439941406,0.2,0.02177734375,-0.0003562926583981607
715.02,142,759,53,-51.981665109999994,108544,0.0053474205,-0.9915052510797977,0.840361937880516,18.504297941178084,520,0.0003,1.297242522239685,0.2,0.07021484375,-0.0012725525855785235
728.62,146,756,54,-49.89965594,110592,0.0074570505,-0.9634984500706196,0.7034054696559906,41.79302005171776,530,0.0003,142.83494567871094,0.2,0.07685546875,-0.006166554502851795
744.4,150,750,55,-49.474488140000005,112640,0.0072994335,-1.0201256414875388,0.693420022726059,32.603702425956726,540,0.0003,1.719258427619934,0.2,0.10458984375,-0.00764374507489265
759.28,153,747,56,-47.07697905999999,114688,0.0033043325,-0.888168858550489,0.8058230727910995,23.71641932502389,550,0.0003,2.065197229385376,0.2,0.02998046875,-0.003133900331886252
775.48,157,742,57,-44.70838168,116736,0.0036927168,-0.9187030822038651,0.745603621006012,62.77381191775203,560,0.0003,4.434124946594238,0.2,0.05029296875,-0.0018076107517117634
791.54,162,732,58,-41.484846,118784,0.0053596236,-0.9360583640635014,0.814312532544136,35.094257889688016,570,0.0003,1.1728379726409912,0.2,0.04560546875,-0.0010431704169604928
798.11,166,726,59,-41.25843168999999,120832,0.005989436,-0.8928851565346122,0.7489382326602936,43.40362250395119,580,0.0003,2.3023641109466553,0.2,0.07724609375,-0.004223692130472046
808.74,170,722,60,-38.09569043,122880,0.0050682123,-0.9053352253511548,0.773604080080986,34.98715943656862,590,0.0003,1.0363610982894897,0.2,0.049609375,-0.004287507742992603
823.68,174,717,61,-37.24843689999999,124928,0.0084403325,-0.9179711004719138,0.706305593252182,47.06892518363893,600,0.0003,3.992119073867798,0.2,0.10302734375,-0.0036676997053291414
835.5,178,712,62,-31.394750149999997,126976,0.006440457,-0.9401602974161506,0.7528328895568848,32.185117019712926,610,0.0003,2.772634506225586,0.2,0.09599609375,-0.004370613514038268
841.25,181,711,63,-30.630105559999993,129024,0.0096902065,-0.8541006665676832,0.7121784090995789,45.55868108570576,620,0.0003,3.2020092010498047,0.2,0.10615234375,-0.006531198952870909
856.68,184,709,64,-30.282749559999992,131072,0.009454052,-0.8842806482687593,0.7006111741065979,42.374800991266966,630,0.0003,0.58059161901474,0.2,0.07421875,-0.004062456045357976
868.65,189,702,65,-28.040394610000003,133120,0.007259527,-0.9005205549299717,0.4491162896156311,130.88641401007771,640,0.0003,4.828154563903809,0.2,0.038916015625,-0.0006618175313633401
872.52,193,699,66,-26.204536050000005,135168,0.0043704147,-0.8650082439184189,0.7717291712760925,34.065671215206386,650,0.0003,1.592574119567871,0.2,0.039306640625,-0.0007343219942413271
884.67,196,698,67,-22.754232620000003,137216,0.017904943,-0.8665540099143982,0.4788745045661926,71.40302053503692,660,0.0003,23.998321533203125,0.2,0.07158203125,-0.00408972697914578
