time/time_elapsed,time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/value_loss,train/n_updates,train/learning_rate,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/approx_kl,train/loss
81,38,465.54,77824,-77.46465978,957,46.66461414992809,370,0.0003,0.3115503787994385,-1.0587131589651109,-0.0042275668994989244,0.04501953125,0.2,0.006707943,8.687864303588867
85,39,480.76,79872,-76.66088402,938,60.03588740229607,380,0.0003,0.38835954666137695,-1.0164043873548507,-0.005763987565296702,0.068359375,0.2,0.008164968,7.862739086151123
88,40,496.1,81920,-74.36589853000001,925,48.80764218568802,390,0.0003,0.5058785974979401,-1.037040963768959,-0.009662604025652399,0.15263671875,0.2,0.012046561,7.589164733886719
92,41,513.67,83968,-71.82532882000001,907,48.757778185606,400,0.0003,0.6354422569274902,-0.9173829931765795,-0.005682898906889023,0.066064453125,0.2,0.006842638,6.396538257598877
95,42,530.31,86016,-65.60288695999999,898,152.93728656470776,410,0.0003,0.3162893056869507,-0.9905851550400258,-0.0027704663181793874,0.036376953125,0.2,0.00502991,135.34735107421875
99,43,546.16,88064,-64.3700649,888,41.98218685388565,420,0.0003,0.6918958723545074,-1.0422620864585042,-0.004514162767736707,0.0609375,0.2,0.0073406715,3.701383590698242
102,44,562.29,90112,-63.93455363,879,36.87654424086213,430,0.0003,0.714028924703598,-0.9582760170102119,-0.005707141832681372,0.07412109375,0.2,0.012257699,93.59976959228516
106,45,562.29,92160,-64.43068448999999,864,118.00084685087204,440,0.0003,0.4711465835571289,-1.0123888147994875,-0.0024534594584110893,0.0458984375,0.2,0.0073518865,52.27650833129883
109,46,577.57,94208,-59.85070677999999,859,56.06759813427925,450,0.0003,0.6762129962444305,-1.0303156971931458,-0.004379898906336166,0.089697265625,0.2,0.010251923,7.158822059631348
113,47,593.39,96256,-58.082986469999994,846,45.38397959768772,460,0.0003,0.7457126975059509,-1.0453412471339107,-0.001311493178945966,0.05908203125,0.2,0.0055553876,5.947531700134277
