time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/clip_range,train/n_updates,train/clip_fraction,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/loss,train/entropy_loss
69632,858,81,463.84,34,-81.30213017999999,0.2,330,0.05263671875,92.76795854866505,0.006932362,-0.004298868101614062,0.5679757595062256,0.0003,111.57351684570312,-0.9973978973925114
71680,849,84,480.28,35,-81.31146539000001,0.2,340,0.0876953125,52.71052794754505,0.008447979,-0.006567304878262803,0.7506955713033676,0.0003,3.0311944484710693,-0.9986335769295692
73728,827,89,497.53,36,-78.35400137,0.2,350,0.12802734375,30.2145794339478,0.010664229,-0.010611608368344605,0.8697686642408371,0.0003,9.802910804748535,-0.8823978155851364
75776,808,93,515.29,37,-74.31178444,0.2,360,0.064306640625,41.37364835217595,0.0047212075,-0.004028486386232544,0.7923841327428818,0.0003,4.024688243865967,-0.942695041000843
77824,799,97,540.11,38,-68.86095082,0.2,370,0.119921875,44.580046608299014,0.008829618,-0.006825339101487771,0.7928723394870758,0.0003,0.7833002209663391,-0.945373441465199
79872,795,100,555.87,39,-67.81801813,0.2,380,0.103515625,59.61687623299658,0.008862329,-0.009757700869522523,0.7340603172779083,0.0003,0.9934036731719971,-0.9019744772464037
81920,792,103,566.74,40,-67.96235198000001,0.2,390,0.021142578125,155.7983611702919,0.0057437783,-0.0013181676233216422,0.4661574959754944,0.0003,10.740213394165039,-0.9315714467316866
83968,786,106,583.53,41,-63.76792151000001,0.2,400,0.0140625,99.50635487511754,0.0049731294,-0.0030263605556683617,0.639585554599762,0.0003,418.00518798828125,-0.8903095949441194
86016,788,109,603.35,42,-59.031213580000006,0.2,410,0.087060546875,34.40740569680929,0.006564142,-0.005966054970485857,0.8662717193365097,0.0003,2.736003875732422,-0.8026463104411959
88064,779,112,619.61,43,-57.81346476000001,0.2,420,0.0326171875,88.30331573113799,0.0061730766,-0.002266409893127275,0.7879050523042679,0.0003,10.057835578918457,-0.7865051018074155
90112,779,115,632.04,44,-55.785868840000006,0.2,430,0.168017578125,49.1784643445164,0.011786897,-0.006542981998063624,0.8617029190063477,0.0003,2.961721181869507,-0.852837429381907
92160,776,118,651.75,45,-53.13667790999999,0.2,440,0.0056640625,130.40921252965927,0.0030940655,-0.0025841632326773834,0.6198223829269409,0.0003,39.46979522705078,-0.8898624667897821
94208,773,121,659.45,46,-52.70201071000001,0.2,450,0.036376953125,102.23687588348984,0.0043638563,-0.0033003450957039605,0.7261387705802917,0.0003,6.593626976013184,-0.8882115168496967
96256,769,125,672.99,47,-46.64400761000001,0.2,460,0.1671875,43.619600125029685,0.02194329,-0.009851528464059811,0.9192520007491112,0.0003,4.038699150085449,-0.7931656172499061
98304,766,128,675.48,48,-45.673135789999996,0.2,470,0.04404296875,60.643638238310814,0.0036740727,-0.0013893264815123985,0.7253332138061523,0.0003,2.0674002170562744,-0.8886317851021885
100352,759,132,692.16,49,-41.48202213,0.2,480,0.147802734375,76.12951849922538,0.009412908,-0.004414091294165701,0.7594410330057144,0.0003,11.69267463684082,-0.8527279686182737
102400,752,136,709.31,50,-40.416356390000004,0.2,490,0.054296875,34.86879196465016,0.006680673,-0.001756614191981498,0.8955093696713448,0.0003,6.180449485778809,-0.8818474354222416
104448,747,139,719.79,51,-38.49589185,0.2,500,0.026416015625,91.6743927128613,0.0017069492,-0.002551663191843545,0.7945931851863861,0.0003,38.376373291015625,-0.9027899987995625
106496,742,143,734.11,52,-34.83693214,0.2,510,0.087841796875,70.7660935074091,0.012299972,-0.0016771653790783603,0.739420473575592,0.0003,38.09501647949219,-0.9130192887037992
108544,743,146,743.27,53,-35.57960306,0.2,520,0.106298828125,35.26749818790704,0.0070417547,-0.0044457577401772145,0.8702300935983658,0.0003,0.7182126641273499,-0.9481064479798078
110592,740,149,759.49,54,-32.34829256,0.2,530,0.02744140625,104.74919172376394,0.003825753,-0.0012158456309407483,0.7157202959060669,0.0003,16.01478385925293,-0.7913750002160669
112640,742,151,763.59,55,-32.612787780000005,0.2,540,0.095703125,29.467518679052592,0.008059439,-0.004371509960037656,0.8776387199759483,0.0003,3.6771488189697266,-0.950912425853312
114688,738,155,773.2,56,-26.287995300000002,0.2,550,0.0236328125,171.4435293138027,0.00527212,-0.0012953385568835075,0.6036317646503448,0.0003,43.50468826293945,-0.9172040311619639
116736,731,159,791.22,57,-24.41629156,0.2,560,0.156640625,70.96994182094932,0.018271731,-0.00924423579708673,0.6903933584690094,0.0003,3.328941822052002,-0.9106700731441378
118784,731,162,785.24,58,-19.049143639999997,0.2,570,0.1,62.02663808502257,0.008292489,-0.0016559907351620495,0.8131923377513885,0.0003,31.298656463623047,-0.9067639298737049
120832,732,164,790.61,59,-13.554767419999997,0.2,580,0.03818359375,131.02789503932,0.00623045,-0.00413799180641945,0.6268366277217865,0.0003,61.50760269165039,-0.7682014683261513
122880,732,167,794.48,60,-11.838550559999998,0.2,590,0.0900390625,108.53131993860006,0.018414978,-0.004716949534486048,0.6925536394119263,0.0003,10.527426719665527,-0.8976186068728567
124928,730,171,800.36,61,-10.294994549999997,0.2,600,0.04501953125,150.10437165349722,0.004599185,-0.0017081504738598596,0.5392050743103027,0.0003,475.6905212402344,-0.9105167753994465
126976,729,174,802.83,62,-10.796526859999995,0.2,610,0.01513671875,98.39505427777767,0.0038148903,-0.0008501549800712382,0.8082688301801682,0.0003,284.1466064453125,-0.8966481072828174
129024,727,177,808.43,63,-6.543826419999995,0.2,620,0.048974609375,146.03907968103886,0.0048659956,-0.0022724200222000944,0.6250150203704834,0.0003,31.513294219970703,-0.979442798346281
