time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,train/clip_range,train/explained_variance,train/loss,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/entropy_loss,train/n_updates,train/value_loss,train/approx_kl
229376,112,-0.8063847500000005,982.35,672,340,0.2,0.8773800134658813,1.9302361011505127,0.0003,-0.0003340847986692097,0.06083984375,-0.7611168250441551,1110,30.64040799885988,0.0047323243
231424,113,-3.227950620000001,981.36,671,344,0.2,0.8742997348308563,3.644921064376831,0.0003,-0.004627188126323745,0.068505859375,-0.7001868065446615,1120,29.586791054531933,0.011710482
233472,114,-2.0744576800000014,981.36,669,348,0.2,0.7001607418060303,29.796001434326172,0.0003,-0.002480104698042851,0.046875,-0.7875700380653143,1130,59.97821769937873,0.003674285
235520,115,-1.9394280500000014,981.36,670,351,0.2,0.8462459146976471,0.7776583433151245,0.0003,-0.0015867354290094227,0.066357421875,-0.7893542949110269,1140,34.9400272462517,0.004832657
237568,116,-1.9766001500000012,981.36,669,354,0.2,0.8247709572315216,1.7348815202713013,0.0003,-0.0021820737747475505,0.095068359375,-0.7844428604468703,1150,34.610744785144924,0.010783684
239616,117,-0.544697940000001,982.16,669,357,0.2,0.8622132539749146,1.3866257667541504,0.0003,-0.005769542383495719,0.0935546875,-0.7608590837568044,1160,15.558507073298097,0.006208718
241664,118,-0.8407819400000008,982.16,668,361,0.2,0.8655333667993546,1.700811743736267,0.0003,-0.0026331705739721656,0.076123046875,-0.7973198741674423,1170,22.806158680468798,0.005235351
243712,119,-1.597343770000001,982.16,669,364,0.2,0.836346834897995,0.7909030914306641,0.0003,-0.003398270838079043,0.0525390625,-0.7759338786825538,1180,19.124295050650836,0.0030100425
245760,120,-1.1055052000000007,982.16,668,367,0.2,0.8140012919902802,0.9980953335762024,0.0003,0.0008546849523554557,0.064599609375,-0.7814723392948508,1190,24.96036117747426,0.0064188414
247808,121,-1.3225062000000003,982.16,664,372,0.2,0.852489560842514,0.7727112174034119,0.0003,-0.0039001163488137534,0.06142578125,-0.7600156787782908,1200,28.490030737407505,0.006244576
249856,122,-1.1399974700000002,982.16,662,377,0.2,0.850430890917778,0.43073540925979614,0.0003,-0.0017064339539501817,0.05419921875,-0.7621105818077922,1210,19.84884406449273,0.0038333344
251904,123,-1.6942394999999992,982.16,661,381,0.2,0.8220636397600174,1.118161916732788,0.0003,-0.0026668882579542696,0.05595703125,-0.7727611778303981,1220,24.65140068642795,0.0056466577
2048,1,-920.7750000000001,1000.0,516,3,0.2,0.9000987261533737,1.5359572172164917,0.0003,-0.004158578534406843,0.12705078125,-0.8019152116030455,1230,31.73834952712059,0.010354526
4096,2,-914.625,1000.0,547,7,0.2,0.8108508884906769,2.0179519653320312,0.0003,-0.002509333795751445,0.059765625,-0.7820925857871771,1240,47.06343944184482,0.0080814585
6144,3,-875.8333333333334,989.8333333333334,610,10,0.2,0.8423317074775696,0.9753715395927429,0.0003,-0.00013170430829632097,0.056396484375,-0.7674302231520415,1250,29.21066587306559,0.005848808
8192,4,-876.79375,992.375,610,13,0.2,-0.0063599348068237305,16.565229415893555,0.0003,4.474089619179722e-05,0.02529296875,-0.7304689634591341,1260,89.20741985961794,0.0032683718
10240,5,-884.0150000000001,993.9,615,16,0.2,0.7759944945573807,4.876043796539307,0.0003,-0.0001994475009269081,0.046728515625,-0.7409457070752978,1270,14.47901742067188,0.0060604233
12288,6,-887.6541666666668,994.9166666666666,606,20,0.2,0.846187099814415,0.5455008149147034,0.0003,0.0019899963575880975,0.0814453125,-0.7935505505651236,1280,10.381793637759984,0.012314099
14336,7,-887.057142857143,985.8571428571429,594,24,0.2,0.7017091810703278,0.49515509605407715,0.0003,-0.0028133967221947386,0.0767578125,-0.7556883407756686,1290,6.998476903699339,0.0077597816
16384,8,-890.240625,987.625,589,27,0.2,0.39729857444763184,0.4820076823234558,0.0003,-0.003180752234038664,0.09501953125,-0.7778895005583764,1300,8.805767557397484,0.010625127
18432,9,-890.6416666666668,989.0,591,31,0.2,0.6061849296092987,0.4974023997783661,0.0003,-0.0009299538360210136,0.0583984375,-0.7800837747752667,1310,3.8059290604665876,0.007758268
20480,10,-890.2650000000001,990.1,577,35,0.2,0.7173154354095459,0.46490079164505005,0.0003,-0.0037391847858089023,0.094482421875,-0.838725327141583,1320,2.4281676298938693,0.008520433
22528,11,-889.4727272727273,991.0,572,39,0.2,0.7478560209274292,0.4230175316333771,0.0003,-0.001875616739562247,0.045068359375,-0.7934152210131288,1330,1.9176195351406933,0.004175648
24576,12,-889.0437499999999,991.75,561,43,0.2,0.7853273451328278,0.5003844499588013,0.0003,-0.0030285442553577013,0.067138671875,-0.784411889500916,1340,1.4970607444643975,0.0069578364
26624,13,-876.9370370370372,974.5555555555555,569,46,0.2,0.84061099588871,0.2910868525505066,0.0003,-0.0033277287147939205,0.077294921875,-0.8021503118798137,1350,1.0469780919142067,0.008002193
