time/fps,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/entropy_loss,train/clip_fraction,train/clip_range,train/value_loss,train/loss,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/n_updates
883,83,36,73728,465.87,-80.46182263,0.011042385,-0.9826536832377315,0.079443359375,0.2,87.07369275093079,60.572017669677734,0.38336437940597534,-0.014684391039190814,0.0003,350
873,86,37,75776,477.69,-79.26361643999999,0.0077125477,-0.9948707262054086,0.100244140625,0.2,44.14454673677683,11.105908393859863,0.6289049685001373,-0.007006765781261493,0.0003,360
867,89,38,77824,490.01,-78.1838357,0.0041108015,-1.0275892112404108,0.028955078125,0.2,105.02820778489112,13.910688400268555,0.3129761815071106,-0.003074471694708336,0.0003,370
854,93,39,79872,509.13,-72.72088118,0.006237158,-0.9486818052828312,0.04248046875,0.2,76.7979195266962,15.539471626281738,0.5874780118465424,-0.004319013204076327,0.0003,380
841,97,40,81920,526.71,-70.09191724,0.011175658,-0.8955108925700188,0.049462890625,0.2,98.28986092507839,59.53385543823242,0.46507394313812256,-0.0019506803811964347,0.0003,390
834,100,41,83968,540.63,-69.14701979000002,0.0049495203,-0.8933084102347493,0.016162109375,0.2,134.40215313136576,17.816591262817383,0.42519545555114746,-0.0035616558900073867,0.0003,400
822,104,42,86016,557.49,-66.18909780000001,0.009335579,-0.9295172393321991,0.157470703125,0.2,27.541137716174127,4.628330230712891,0.8431598097085953,-0.00808410867175553,0.0003,410
820,107,43,88064,570.46,-63.352260460000004,0.0060419603,-0.9591023975983262,0.061474609375,0.2,40.95008100271225,4.901710033416748,0.7328023016452789,-0.002832127833971754,0.0003,420
814,110,44,90112,586.3,-63.639116359999996,0.011054931,-0.9351182494312524,0.086865234375,0.2,63.34238419532776,27.5049991607666,0.7329652309417725,-0.0036131894070422278,0.0003,430
810,113,45,92160,602.22,-59.746190299999995,0.009432742,-0.8778073512017727,0.099267578125,0.2,26.47648719102144,4.684966564178467,0.8846927508711815,-0.0052484747749986125,0.0003,440
804,117,46,94208,616.92,-57.178175040000006,0.003897281,-0.8640860663726926,0.023193359375,0.2,129.53717370629312,31.921709060668945,0.5527485311031342,-0.0012017958593787625,0.0003,450
803,119,47,96256,629.27,-56.33760227,0.01459074,-0.8118296884000301,0.1185546875,0.2,79.80025282055139,9.5400390625,0.7567985951900482,-0.0065225448328419585,0.0003,460
804,122,48,98304,642.6,-49.24494599,0.011046061,-0.7920803345739842,0.07314453125,0.2,198.86300048232079,31.024608612060547,0.4695221185684204,-0.005231748502410483,0.0003,470
801,125,49,100352,653.38,-47.023093639999985,0.0073976284,-0.9055352041497826,0.04423828125,0.2,130.88638944923878,47.60485076904297,0.5710255801677704,-0.0031654339345550397,0.0003,480
799,128,50,102400,658.26,-46.43621779999999,0.007621371,-0.8593220287933946,0.119384765625,0.2,73.56868246942759,15.559550285339355,0.690617710351944,-0.004980135142614017,0.0003,490
796,131,51,104448,677.95,-40.076607949999996,0.0036455402,-0.7807498265057802,0.0388671875,0.2,182.82975791990756,393.5916442871094,0.47217386960983276,-0.0020585189486155286,0.0003,500
795,133,52,106496,690.28,-35.20132599999999,0.0043600677,-0.8082688204944134,0.053369140625,0.2,91.49736746400595,3.764305353164673,0.4143063426017761,-0.0018580350806587376,0.0003,510
792,136,53,108544,700.23,-33.72831352,0.004739575,-0.7828321158885956,0.058984375,0.2,61.39520528614521,177.7591094970703,0.5277475416660309,-0.0016673839498253073,0.0003,520
791,139,54,110592,710.24,-36.026135939999996,0.0034404788,-0.7354335578158497,0.031396484375,0.2,110.18597457408904,10.516020774841309,0.5514490604400635,-0.004213180152146378,0.0003,530
789,142,55,112640,723.75,-31.198118900000004,0.0075178654,-0.8849455980584026,0.067529296875,0.2,125.50839427709579,26.79414176940918,0.6212430596351624,-0.0032525294340302936,0.0003,540
788,145,56,114688,729.56,-25.508618999999996,0.011365643,-0.84083495978266,0.10283203125,0.2,105.29343675523997,16.418651580810547,0.5307757556438446,-0.002429987909999909,0.0003,550
785,148,57,116736,735.8,-21.081517000000005,0.0072529605,-0.8057955026626586,0.071142578125,0.2,131.9511082649231,13.292537689208984,0.46670395135879517,-0.0040534601004765134,0.0003,560
787,150,58,118784,726.08,-14.09915734,0.0084594255,-0.733953234553337,0.10126953125,0.2,98.47031216174364,12.508026123046875,0.6942306160926819,-0.0024661109200678766,0.0003,570
787,153,59,120832,728.76,-13.322761220000002,0.0039529577,-0.847630550339818,0.027587890625,0.2,268.46343792676925,58.18448257446289,0.2927141785621643,-0.001902333005273249,0.0003,580
783,156,60,122880,739.62,-6.39175917,0.020674083,-0.7436316508799792,0.136279296875,0.2,53.636586003005505,7.668694496154785,0.4926813840866089,-0.005986179380852263,0.0003,590
785,159,61,124928,748.34,-6.207412339999999,0.0033688257,-0.5897987082600593,0.0275390625,0.2,95.83271707445383,27.046092987060547,0.3275730609893799,-0.0022664634539978578,0.0003,600
784,161,62,126976,758.72,-1.3210697700000005,0.004370895,-0.8149593822658062,0.028662109375,0.2,195.47570933401585,115.99820709228516,0.4509701132774353,-0.003650781490432564,0.0003,610
782,164,63,129024,757.46,-0.2495500700000005,0.006064879,-0.6329584104940296,0.025390625,0.2,160.80715780854226,28.49078369140625,0.6080133616924286,-0.0034142601674830076,0.0003,620
783,167,64,131072,752.39,2.0971201299999986,0.003951432,-0.8334150416776538,0.04326171875,0.2,149.4576489970088,41.80643844604492,0.5557949244976044,-0.0003541971880622441,0.0003,630
782,170,65,133120,753.41,7.732908199999998,0.0057678223,-0.866300792992115,0.02880859375,0.2,207.0819605767727,63.45585632324219,0.4940713047981262,-0.003544517431873828,0.0003,640
780,173,66,135168,748.56,10.43968571,0.0050429637,-0.8119183059781789,0.0388671875,0.2,143.7644700050354,68.41439819335938,0.6177111864089966,-0.00294318808009848,0.0003,650
781,175,67,137216,743.73,9.443026279999996,0.0088167265,-0.8154552206397057,0.1029296875,0.2,96.51024270802736,36.82796859741211,0.3804279565811157,-0.002373329071997432,0.0003,660
781,178,68,139264,739.7,9.868935480000001,0.0065947333,-0.7379277786239982,0.046630859375,0.2,123.19716843664646,131.76405334472656,0.5732508599758148,-0.003451892369776033,0.0003,670
780,181,69,141312,724.47,8.7184444,0.005855809,-0.8454851685091853,0.0900390625,0.2,122.4139969304204,9.435273170471191,0.3321254253387451,-0.0028164991941594052,0.0003,680
779,183,70,143360,712.35,8.944452159999999,0.0016854551,-0.838463114015758,0.04912109375,0.2,196.8475464373827,286.5039367675781,0.5092324912548065,-0.0030946272250730543,0.0003,690
776,187,71,145408,700.34,11.815221709999998,0.0068864664,-0.8551874013617635,0.048583984375,0.2,132.51730234324933,93.78646850585938,0.4869374632835388,-0.003254069130343851,0.0003,700
778,189,72,147456,692.74,15.859137969999999,0.0054817917,-0.752067930623889,0.04033203125,0.2,94.53309504687786,15.40681266784668,0.6268810033798218,-0.0016582412623392883,0.0003,710
778,191,73,149504,680.9,13.795258790000002,0.005327629,-0.7858848864212632,0.066650390625,0.2,164.02212564945222,79.0385513305664,0.5384844839572906,-0.003095443435086054,0.0003,720
779,194,74,151552,663.1,13.956099770000002,0.005589412,-0.8657428512349725,0.0666015625,0.2,225.755580419302,92.2734603881836,0.44679659605026245,-0.004300639175926335,0.0003,730
