time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/fps,time/total_timesteps,rollout/ep_len_mean,train/entropy_loss,train/explained_variance,train/loss,train/learning_rate,train/clip_fraction,train/value_loss,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/n_updates
51,-99.26272723,25,997,51200,335.71,-0.9972963251173497,0.04291224479675293,45.344661712646484,0.0003,0.087744140625,155.33180065751077,0.2,-0.0063405260909348725,0.011715267,240
54,-96.46722974000001,26,971,53248,356.32,-0.9976249458268285,0.5854490697383881,17.386898040771484,0.0003,0.068310546875,73.71704014241695,0.2,-0.008046114656463033,0.009364349,250
57,-97.44095762000002,27,956,55296,370.19,-1.0046257011592388,0.4608018398284912,13.502140045166016,0.0003,0.09013671875,85.38686622977256,0.2,-0.00687299405617523,0.010625366,260
61,-92.98394883000003,28,938,57344,387.8,-0.939716812223196,0.597194105386734,36.10866165161133,0.0003,0.083251953125,122.66126067638398,0.2,-0.005409893552132417,0.009092862,270
65,-90.09490516,29,909,59392,404.69,-1.0207504069432616,0.5224901437759399,22.912504196166992,0.0003,0.09677734375,61.422683691978456,0.2,-0.007478605857613729,0.0119887795,280
69,-88.28275647000001,30,884,61440,421.02,-1.0884522488340735,0.21011507511138916,8.817319869995117,0.0003,0.1017578125,34.03209997713566,0.2,-0.006435046774276998,0.009294046,290
73,-85.63645890999999,31,862,63488,437.57,-1.0247551463544369,0.03149479627609253,13.676149368286133,0.0003,0.067431640625,33.52178181409836,0.2,-0.0036429208754270802,0.006888175,300
78,-82.62606463999998,32,838,65536,455.6,-1.0832780919969083,0.05682373046875,8.460860252380371,0.0003,0.07646484375,28.678327506780626,0.2,-0.006577284520608373,0.005187651,310
80,-80.55518473,33,834,67584,473.05,-1.049376086331904,0.06701332330703735,11.012248992919922,0.0003,0.0513671875,27.91812829375267,0.2,-0.008132628344901605,0.0069471495,320
84,-77.66191346999999,34,822,69632,490.09,-0.9934109987691044,0.12670373916625977,6.706301212310791,0.0003,0.04052734375,34.59866022467613,0.2,-0.0025731912581250073,0.0068803197,330
87,-75.88438749999999,35,815,71680,505.85,-1.0012736026197673,0.34844154119491577,6.790084362030029,0.0003,0.081298828125,27.719183775782586,0.2,-0.007017241441644728,0.0059208176,340
92,-73.17358822,36,799,73728,523.6,-1.045621601678431,0.12633472681045532,11.442581176757812,0.0003,0.094482421875,28.959326662123203,0.2,-0.005706219674902968,0.0071843984,350
95,-70.97938701000001,37,791,75776,539.25,-0.9729433372616768,0.1251446008682251,9.267861366271973,0.0003,0.0865234375,26.601417845487596,0.2,-0.006060944590717554,0.007219648,360
98,-67.86513132,38,786,77824,554.09,-0.9930469213053584,0.21625816822052002,8.08779525756836,0.0003,0.0640625,22.847694255411625,0.2,-0.002803369644243503,0.0071179867,370
102,-64.22784078000001,39,778,79872,576.98,-0.984707149490714,0.2886962294578552,6.2677435874938965,0.0003,0.025244140625,23.024952115118502,0.2,-0.0009904055346851236,0.0037410608,380
105,-60.59871213,40,777,81920,593.91,-0.9326037175953388,0.37418872117996216,5.4485344886779785,0.0003,0.04560546875,21.029242452979087,0.2,-0.002086372837948147,0.0045007206,390
109,-55.46885721,41,768,83968,609.78,-0.9674895750358701,0.7023077011108398,7.104526042938232,0.0003,0.033251953125,23.213008661568164,0.2,-0.00042621185129974035,0.003944122,400
113,-56.89871015999999,42,759,86016,617.69,-1.0128201914951205,0.1314488649368286,6.0553202629089355,0.0003,0.062939453125,22.878478361666204,0.2,-0.0008670007302498562,0.004764853,410
116,-55.70199498000001,43,757,88064,631.52,-0.9242951447144151,0.36265385150909424,3.9782283306121826,0.0003,0.060400390625,14.432712899148465,0.2,-0.003911121629789705,0.0068113054,420
119,-55.114922560000004,44,751,90112,648.81,-0.9905283860862255,0.6235754489898682,14.812843322753906,0.0003,0.10224609375,55.49563402086496,0.2,-0.004219075597939081,0.00946888,430
124,-53.35247952999999,45,742,92160,664.24,-0.9427134452387691,0.3548715114593506,4.434267997741699,0.0003,0.04169921875,15.402106615900994,0.2,-0.0012587454017193521,0.0039933966,440
127,-50.9994611,46,738,94208,679.54,-0.9625708069652319,0.23928630352020264,2.69960355758667,0.0003,0.05947265625,16.640923112630844,0.2,-0.0013208019663579762,0.0038670218,450
130,-49.45800586,47,735,96256,695.0,-0.9285661976784467,0.14590805768966675,5.774277687072754,0.0003,0.0484375,70.98169096261263,0.2,-0.0009139886416960508,0.0032742876,460
135,-47.36291155999999,48,728,98304,711.04,-0.8992879688739777,0.5531439781188965,10.36913013458252,0.0003,0.1037109375,19.749662479758264,0.2,-0.004867930311593227,0.009048527,470
139,-46.527314610000005,49,721,100352,718.63,-0.9381538292393088,0.5408065021038055,4.529357433319092,0.0003,0.066943359375,21.75236225426197,0.2,-0.005303236226609442,0.0054954155,480
142,-42.00134888,50,716,102400,732.01,-0.9415270231664181,0.7536038011312485,5.442312240600586,0.0003,0.097021484375,26.178613218665124,0.2,-0.003918080823495984,0.005828211,490
147,-38.487677360000006,51,708,104448,747.56,-0.8891830606386065,0.5285444855690002,7.721741676330566,0.0003,0.027685546875,28.30769963860512,0.2,-0.0016388859803555533,0.0048484616,500
151,-38.37549133,52,705,106496,755.84,-0.9480186812579632,0.6966565549373627,5.938938140869141,0.0003,0.055517578125,23.62272035330534,0.2,-0.002466376085067168,0.009808521,510
155,-37.04719858000001,53,698,108544,771.12,-0.9433374902233481,0.7509357780218124,5.230669975280762,0.0003,0.0609375,18.111618284881114,0.2,-0.0033229402950382793,0.0044650193,520
159,-34.028653909999996,54,694,110592,794.9,-0.9221875850111246,0.6023699641227722,3.8257129192352295,0.0003,0.0705078125,23.7760826446116,0.2,-0.003995580892660655,0.009077742,530
163,-30.602024859999997,55,687,112640,810.7,-0.9286430748179555,0.5467585325241089,4.977509498596191,0.0003,0.0662109375,30.637328436970712,0.2,-0.003279678766557481,0.004136661,540
166,-28.698618009999997,56,689,114688,824.83,-0.9191965777426958,0.6865020394325256,2.1420159339904785,0.0003,0.028076171875,42.53096471577883,0.2,-0.00034173480817116796,0.004667964,550
169,-30.11277843,57,687,116736,831.71,-0.8890389297157526,0.6663348376750946,3.4876296520233154,0.0003,0.046240234375,39.681417097896336,0.2,-0.0001279081465327181,0.0049375226,560
174,-26.843068580000004,58,681,118784,847.53,-0.9122126361355185,0.833218589425087,3.3966426849365234,0.0003,0.036962890625,21.30714348256588,0.2,-0.001823249970766483,0.005860583,570
178,-25.597884580000006,59,678,120832,855.11,-0.9233236627653241,0.7098764777183533,2.031939744949341,0.0003,0.039794921875,26.365859457850455,0.2,-0.0018207510700449347,0.004379766,580
181,-24.970631810000004,60,676,122880,868.67,-0.8555595634505153,0.6648705303668976,52.418983459472656,0.0003,0.018603515625,52.830617451667784,0.2,-0.0009410614155058283,0.0053723985,590
184,-25.582489289999994,61,675,124928,868.67,-0.9015464274212718,0.8126926869153976,2.156259775161743,0.0003,0.04228515625,34.131830503046515,0.2,-0.0016467924084281548,0.0038790093,600
189,-21.78417991,62,669,126976,882.29,-0.8899039221927524,0.8940017819404602,117.92338562011719,0.0003,0.031005859375,17.852243147790432,0.2,-0.0034626770415343345,0.004480646,610
193,-19.09735654,63,667,129024,897.05,-0.9196344766765833,0.7065268158912659,3.775932788848877,0.0003,0.044287109375,34.68914154395461,0.2,-0.0017831790530181025,0.0033396224,620
197,-16.617178779999996,64,662,131072,911.15,-0.8622700560837984,0.7317532896995544,2.3369412422180176,0.0003,0.03828125,32.908042303472754,0.2,-0.004131798505841289,0.0042816577,630
201,-16.549582909999998,65,659,133120,924.47,-0.9039185805246234,0.8603280782699585,1.0045769214630127,0.0003,0.057861328125,19.8189947783947,0.2,-0.0014380842156242579,0.003711984,640
206,-14.30922035,66,655,135168,939.15,-0.893268583342433,0.6937732100486755,15.807995796203613,0.0003,0.027197265625,59.670838540047406,0.2,-0.0017613058385904878,0.004016776,650
209,-12.98453694,67,654,137216,946.91,-0.853706338070333,0.8587203919887543,2.1566009521484375,0.0003,0.04228515625,24.920883966982366,0.2,-0.002360771359235514,0.007465245,660
213,-12.186574130000002,68,652,139264,953.73,-0.859834547713399,0.7675654590129852,1.8959412574768066,0.0003,0.0392578125,38.920431663095954,0.2,-5.483933491632342e-05,0.0038558901,670
216,-10.662189310000004,69,653,141312,965.68,-0.8510189080610872,0.8907396271824837,1.40309739112854,0.0003,0.070361328125,21.010289593040945,0.2,-0.0041454178106505426,0.006912899,680
218,-9.19234909,70,654,143360,973.27,-0.8507050115615129,0.8583841472864151,2.633955717086792,0.0003,0.071044921875,45.43014317676425,0.2,-0.004310576492571272,0.008875799,690
222,-7.33176507,71,652,145408,980.88,-0.7217395748943091,0.8661236613988876,5.072402000427246,0.0003,0.064111328125,46.28947474956512,0.2,-0.002778945739555638,0.005399937,700
225,-7.48041235,72,654,147456,984.59,-0.8600975383073092,0.09204447269439697,12.319995880126953,0.0003,0.03544921875,63.16230331733823,0.2,3.912383908755146e-05,0.003486806,710
227,-7.7940414,73,655,149504,984.59,-0.8909303674474358,0.5792690217494965,3.685394763946533,0.0003,0.075048828125,62.97227245569229,0.2,-0.004486593426554464,0.005714062,720
231,-6.27611975,74,655,151552,990.93,-0.8417701542377471,0.8398473709821701,2.9332849979400635,0.0003,0.083154296875,34.89653816409409,0.2,-0.0001426351038389839,0.007367166,730
234,-6.14715376,75,653,153600,990.45,-0.8737792203202843,0.7792331576347351,217.7309112548828,0.0003,0.063037109375,24.95535786412656,0.2,-0.0005546881409827619,0.0051718247,740
