time/fps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/n_updates,train/approx_kl,train/entropy_loss,train/explained_variance,train/clip_fraction,train/loss,train/clip_range
1128,-123.68878722999997,20,36,205.58,40960,-0.006370772738591768,343.47257843017576,0.0003,190,0.0075227246,-1.1660589288920165,0.41645628213882446,0.038671875,109.50469207763672,0.2
1123,-124.72663177,21,38,214.2,43008,-0.008128810596099356,152.10354204177855,0.0003,200,0.0073459614,-1.2134287398308516,0.6373819410800934,0.044970703125,67.70777893066406,0.2
1128,-119.82328949,22,39,221.95,45056,-0.004895762423984706,318.51967856884005,0.0003,210,0.0058542136,-1.1093768294900657,0.4843193292617798,0.035400390625,184.78053283691406,0.2
1119,-117.65632726,23,42,234.28,47104,-0.008860812315833754,327.3899875879288,0.0003,220,0.0103308745,-1.05498263835907,0.4386162757873535,0.0666015625,140.4364013671875,0.2
1116,-113.33762881999999,24,44,242.64,49152,-0.006723947705177124,206.45259470939635,0.0003,230,0.011897154,-1.1350238725543023,0.46155625581741333,0.05927734375,96.03710174560547,0.2
1110,-115.90621996999998,25,46,248.17,51200,-0.0055559690139489245,269.90117037296295,0.0003,240,0.005669054,-1.024132077768445,0.4242258071899414,0.035595703125,129.6600341796875,0.2
1100,-113.28887196000001,26,48,264.49,53248,-0.0060787817419623025,465.2255236625671,0.0003,250,0.010583408,-1.0405522188171745,0.21059399843215942,0.07490234375,184.98121643066406,0.2
1091,-112.67501242999998,27,50,280.83,55296,-0.004838349837518763,212.0964885234833,0.0003,260,0.006106879,-1.0484536450356245,0.3657657504081726,0.05439453125,50.29851531982422,0.2
1063,-108.49505294999999,28,53,298.64,57344,-0.008199081791826757,235.02833914756775,0.0003,270,0.008807375,-1.0740875963121652,0.3443356156349182,0.087939453125,44.10746383666992,0.2
1061,-108.07744481000002,29,55,313.75,59392,-0.008442885256226874,90.51264140605926,0.0003,280,0.009922249,-1.1074749559164048,0.6430767774581909,0.0708984375,26.779571533203125,0.2
1038,-104.73946870000002,30,59,330.72,61440,-0.005629644395230571,313.0842074632645,0.0003,290,0.008217961,-0.9881163995712996,0.34608209133148193,0.05732421875,104.47334289550781,0.2
1019,-99.54176867999999,31,62,346.83,63488,-0.004534421145217493,75.71085454821586,0.0003,300,0.0112691205,-1.0809177994728087,0.6418343484401703,0.121875,10.959059715270996,0.2
987,-98.26587335999999,32,66,356.03,65536,-0.006036214909545379,159.05122538805009,0.0003,310,0.011033308,-1.0282164413481951,0.5666856169700623,0.096923828125,46.10481643676758,0.2
966,-98.18020595999998,33,69,373.02,67584,-0.003558366009383462,94.00880072116851,0.0003,320,0.007984363,-1.0184767642989754,0.5809733271598816,0.037255859375,287.4464416503906,0.2
952,-95.59553877999998,34,73,386.26,69632,-0.0066653164867602754,64.5578365445137,0.0003,330,0.0065590227,-0.9117742659524083,0.6626015305519104,0.043408203125,29.02016258239746,0.2
