rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,train/entropy_loss,train/approx_kl,train/loss,train/clip_range,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/learning_rate
181.97,24,32768,-136.22369494999998,16,1355,-1.0357069339603187,0.0053931437,164.96343994140625,0.2,384.28055334091187,0.0603515625,-0.0049761225251131695,150,7.075071334838867e-05,0.0003
191.19,25,34816,-133.90971084999998,17,1348,-1.0468379030004145,0.005938692,332.8746032714844,0.2,615.2660182952881,0.028271484375,-0.004791046137688682,160,-0.00011265277862548828,0.0003
199.05,27,36864,-132.02477232,18,1333,-0.9822522701695562,0.007939858,456.5815734863281,0.2,785.5625251770019,0.07421875,-0.004751891620981041,170,-0.00034618377685546875,0.0003
214.14,30,38912,-129.37127872999997,19,1293,-1.0639282803982497,0.004582865,218.33274841308594,0.2,472.2583463191986,0.080078125,-0.0086909005389316,180,0.00014132261276245117,0.0003
227.17,32,40960,-125.36412853,20,1250,-1.1083881475031376,0.004101609,155.8162078857422,0.2,335.85711097717285,0.02431640625,-0.004851447451801505,190,0.009701788425445557,0.0003
231.02,34,43008,-127.81672960000002,21,1246,-1.077106660977006,0.006389444,190.66014099121094,0.2,311.2391783237457,0.04130859375,-0.005326246469121543,200,0.09023255109786987,0.0003
245.35,37,45056,-121.73681305,22,1209,-0.9631650786846876,0.0062856255,197.84341430664062,0.2,591.8698126792908,0.046240234375,-0.001895942012197338,210,-0.009046673774719238,0.0003
256.36,39,47104,-119.09933778999999,23,1179,-1.1268685903400182,0.009637024,91.97720336914062,0.2,254.08971979618073,0.050390625,-0.005796357525105123,220,0.015875160694122314,0.0003
266.53,42,49152,-119.20940210999998,24,1163,-1.0610331485047937,0.0052894945,123.13069152832031,0.2,294.791814160347,0.016259765625,-0.004459497080824803,230,0.0726168155670166,0.0003
269.45,44,51200,-116.56541282,25,1154,-1.107704222947359,0.0034708518,191.93157958984375,0.2,394.19621896743774,0.005126953125,-0.0017738931870553642,240,0.04707002639770508,0.0003
287.34,47,53248,-114.86257991000001,26,1130,-1.039979156665504,0.0064216694,184.22825622558594,0.2,355.89995448589326,0.03125,-0.00514454036092502,250,0.04846322536468506,0.0003
303.27,49,55296,-111.85252746999997,27,1111,-1.1698223866522313,0.008100424,30.53936004638672,0.2,146.28835122585298,0.06103515625,-0.006690261961193755,260,0.39575880765914917,0.0003
318.61,53,57344,-108.85437986999997,28,1075,-1.1131009854376317,0.004486965,87.31932830810547,0.2,165.18609467744827,0.012353515625,-0.003594795179378707,270,0.4166865348815918,0.0003
316.69,55,59392,-109.52418243000002,29,1074,-1.151732286810875,0.0037865243,71.48770141601562,0.2,126.81919171810151,0.034423828125,-0.0038470769235573244,280,0.5305920839309692,0.0003
333.35,58,61440,-106.57977049000002,30,1056,-0.9881578106433153,0.003870372,355.60125732421875,0.2,470.9756626367569,0.00478515625,-0.0032495390780240994,290,0.015429258346557617,0.0003
341.88,61,63488,-103.30338327999999,31,1035,-1.0926862757652998,0.00713828,48.910675048828125,0.2,147.9038800150156,0.06357421875,-0.006701745760437916,300,0.5539194047451019,0.0003
357.3,63,65536,-101.59827599999998,32,1024,-1.1008453637361526,0.0091723,73.46952056884766,0.2,109.4585295677185,0.096337890625,-0.00678177670124569,310,0.6369237303733826,0.0003
366.71,66,67584,-102.61000631,33,1022,-1.0703449938446283,0.0072417157,31.132822036743164,0.2,166.37809703350067,0.068701171875,-0.007919151899113786,320,0.47387486696243286,0.0003
373.95,68,69632,-98.56871136,34,1020,-1.0120611242949962,0.0043975078,60.18819046020508,0.2,299.0902745008469,0.020458984375,-0.0024789730210613924,330,0.28450822830200195,0.0003
386.72,70,71680,-96.06497465000001,35,1016,-1.0125879788771273,0.006203782,155.593505859375,0.2,244.65973408222197,0.047314453125,-0.0060781488169595835,340,0.3896515369415283,0.0003
397.29,73,73728,-94.48944221999999,36,1003,-0.9737458346411586,0.008243143,29.178447723388672,0.2,209.19245234131813,0.100048828125,-0.004881153909445856,350,0.4379402995109558,0.0003
409.99,76,75776,-89.59540352,37,993,-1.066528109461069,0.007236935,27.328895568847656,0.2,130.34268800020217,0.065185546875,-0.005346694052423118,360,0.529698520898819,0.0003
420.18,78,77824,-89.27871293,38,986,-0.9138885285705328,0.010720631,155.8360137939453,0.2,220.74912570714952,0.09814453125,-0.011522478020924608,370,0.4923437237739563,0.0003
435.51,82,79872,-85.24986214999998,39,970,-0.9573568735271692,0.0063082934,21.27826690673828,0.2,104.05724498033524,0.078173828125,-0.0067974405603308695,380,0.6725248992443085,0.0003
453.38,85,81920,-85.38878506999998,40,957,-1.0127482866868376,0.0064095017,8.649382591247559,0.2,39.27652555406094,0.0853515625,-0.008283257311268244,390,0.775989755988121,0.0003
461.35,88,83968,-85.02286131000001,41,952,-0.9209358919411897,0.010008447,16.624757766723633,0.2,115.13856354057789,0.12587890625,-0.008559716006857343,400,0.5939486026763916,0.0003
476.61,92,86016,-82.67281909000002,42,932,-0.9034798063337803,0.009898182,22.302019119262695,0.2,65.82846703976392,0.0880859375,-0.008383274489460746,410,0.7516158521175385,0.0003
491.31,95,88064,-79.89673321000001,43,918,-0.8320777080953121,0.008591061,12.064967155456543,0.2,53.87654846459627,0.069091796875,-0.004392362358703395,420,0.8194361627101898,0.0003
505.27,99,90112,-78.75327515000002,44,909,-0.8787863414734602,0.010109535,3.5334503650665283,0.2,35.272976498305795,0.09091796875,-0.0034568276387290098,430,0.8690987378358841,0.0003
514.56,101,92160,-79.47098838,45,905,-1.0205134944990277,0.011944213,29.050094604492188,0.2,59.52401243075728,0.15087890625,-0.01324372039962327,440,0.6647596955299377,0.0003
530.18,104,94208,-76.41272678,46,897,-0.9868482314050198,0.009182764,66.0977554321289,0.2,116.38821602165699,0.05107421875,-0.005856394481816097,450,0.7106004953384399,0.0003
544.94,109,96256,-72.96157905,47,882,-0.930488976277411,0.010045478,2.6215829849243164,0.2,38.67107958272099,0.076953125,-0.005637748270237353,460,0.8601012080907822,0.0003
561.29,112,98304,-70.08655262,48,873,-0.9098272614181042,0.012290988,4.019759654998779,0.2,44.796976619958876,0.133544921875,-0.004597105459833983,470,0.8393344134092331,0.0003
577.93,115,100352,-67.73424351,49,869,-0.8503970984369517,0.0056121973,2.087662696838379,0.2,34.42949801310897,0.0798828125,-0.007737073832686292,480,0.8864691480994225,0.0003
588.42,118,102400,-65.30390899,50,863,-0.8549405254423619,0.007519503,1.6153512001037598,0.2,27.94654910657555,0.0625,-0.0014322725815873127,490,0.8330356776714325,0.0003
594.21,121,104448,-63.415602960000015,51,857,-0.8047031711786985,0.009246694,59.10157775878906,0.2,69.0348755031824,0.09736328125,-0.004128342047624756,500,0.7895349413156509,0.0003
610.11,124,106496,-61.96808360000001,52,855,-0.8429402364417911,0.010096208,4.614656925201416,0.2,39.59129689866677,0.099267578125,-0.0037777571196784265,510,0.85596564412117,0.0003
619.48,127,108544,-62.231040609999994,53,850,-0.9325534386560321,0.0034443974,38.43815994262695,0.2,93.32779772654176,0.024560546875,-0.0029374284160439855,520,0.7182790637016296,0.0003
634.69,131,110592,-59.15673282999999,54,843,-0.8382094426080584,0.007577176,4.326745986938477,0.2,112.67306448221207,0.03193359375,-0.003493175338007859,530,0.7160596549510956,0.0003
650.66,135,112640,-55.10217051999999,55,830,-0.9012197794392705,0.014091247,0.7474980354309082,0.2,41.399256199784574,0.118408203125,-0.004276927550381515,540,0.8382069021463394,0.0003
667.62,138,114688,-54.124001019999994,56,828,-0.8675573047250509,0.004119356,221.08499145507812,0.2,45.73307592831552,0.034423828125,-0.0031613080318493303,550,0.7952756136655807,0.0003
669.59,141,116736,-51.66173089,57,827,-0.919070478528738,0.009073017,7.521230220794678,0.2,45.33939139917493,0.05234375,-0.004113124695504666,560,0.8531146347522736,0.0003
687.14,144,118784,-46.63782323000001,58,824,-0.7392572991549968,0.008518568,3.925649404525757,0.2,78.27783128917217,0.02421875,-0.002765628045744961,570,0.7334420680999756,0.0003
697.61,147,120832,-42.543988170000006,59,817,-0.9061489792540669,0.014940504,23.21171760559082,0.2,111.75391760841012,0.091064453125,-0.004512418637023075,580,0.6905375123023987,0.0003
713.53,150,122880,-40.46996481000001,60,815,-0.873561961390078,0.0059800227,2.5935895442962646,0.2,65.29570658802986,0.048828125,-0.004198004803765798,590,0.7708105444908142,0.0003
715.67,153,124928,-38.690913529999996,61,812,-0.8174330465495586,0.0058347215,132.6122589111328,0.2,32.56231770385057,0.071533203125,-0.003605447799054673,600,0.8740138411521912,0.0003
715.67,157,126976,-39.208704149999996,62,806,-0.8369681920856238,0.0031632124,1.478413701057434,0.2,72.90671112835408,0.033544921875,-0.0007328598116146168,610,0.7820180505514145,0.0003
718.23,160,129024,-38.87137901,63,802,-0.877743824198842,0.0030637195,1.2317659854888916,0.2,36.95076527558267,0.040771484375,-0.0034874188670073634,620,0.878398023545742,0.0003
727.19,163,131072,-36.63372983,64,802,-0.8684603778645397,0.0051264707,21.3112735748291,0.2,101.56917115971446,0.036181640625,-0.0005126959913468454,630,0.745192676782608,0.0003
