time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/approx_kl,train/n_updates,train/clip_range,train/policy_gradient_loss,train/clip_fraction,train/loss,train/value_loss,train/learning_rate,train/entropy_loss,train/explained_variance
796,129024,-26.064091589999997,162,768.47,63,0.007111622,620,0.2,-0.007121034415467875,0.117919921875,7.142559051513672,107.92882132530212,0.0003,-0.9509101727977395,0.8345291465520859
792,131072,-25.968864500000006,165,768.47,64,0.007610983,630,0.2,-0.0021630867406202013,0.042041015625,8.528305053710938,140.20718715190887,0.0003,-0.9039620669558645,0.7374197840690613
790,133120,-24.847882490000003,168,765.65,65,0.0060157795,640,0.2,-0.0016637667940813117,0.094580078125,3.6541547775268555,34.85036718025803,0.0003,-0.9943119456991554,0.8561653047800064
788,135168,-22.52362788,171,767.04,66,0.0038028052,650,0.2,-0.0017252229023142717,0.027880859375,8.018467903137207,100.87084558010102,0.0003,-0.8840485148131847,0.691998302936554
786,137216,-26.070825019999997,174,753.98,67,0.006246456,660,0.2,-0.002351856640598271,0.048828125,4.811849117279053,33.000870226323606,0.0003,-0.8751448960974813,0.9255736917257309
785,139264,-26.677360909999997,177,744.61,68,0.005740692,670,0.2,-0.0024694608699064704,0.051806640625,85.5730209350586,156.97995761334897,0.0003,-0.9249283215031028,0.7505439966917038
782,141312,-26.45633619,180,741.03,69,0.0037713507,680,0.2,-0.0022157201870868447,0.019677734375,65.77027893066406,77.93422022610903,0.0003,-0.997060452029109,0.8064776808023453
775,143360,-23.456437339999994,184,736.57,70,0.0053854724,690,0.2,-0.0013607427481474588,0.046826171875,6.457315921783447,142.82666889727116,0.0003,-0.9127803282812238,0.5883586406707764
774,145408,-26.683439709999995,187,735.06,71,0.0048310077,700,0.2,-0.0021464651934365976,0.065673828125,20.17610740661621,83.3464886635542,0.0003,-0.9175847560167313,0.873211145401001
769,147456,-28.33170812,191,729.84,72,0.0057971096,710,0.2,-0.0034592843359860124,0.09677734375,3.7042226791381836,31.41030221655965,0.0003,-0.9431405179202557,0.9351103007793427
764,149504,-27.713910610000006,195,724.68,73,0.0073626596,720,0.2,-0.003271203570329817,0.103466796875,3.3940911293029785,37.04971633329988,0.0003,-0.8413956500589848,0.8298211097717285
759,151552,-28.854516609999997,199,724.99,74,0.0075404365,730,0.2,-7.454132137354463e-05,0.05546875,3.45711350440979,53.07461179494858,0.0003,-0.9432336369529366,0.8649179190397263
756,153600,-29.781502539999998,202,724.99,75,0.0074352073,740,0.2,-0.0027437703753093955,0.0623046875,128.91905212402344,89.36607495993375,0.0003,-0.9967259408906102,0.8650458008050919
755,155648,-31.98998195,206,721.82,76,0.0060114064,750,0.2,-0.002263079458498396,0.046630859375,179.13626098632812,28.617012701928616,0.0003,-0.9401197513565421,0.9185534119606018
747,157696,-31.54363437,211,723.4,77,0.0027854913,760,0.2,-0.00016417104852735066,0.030419921875,8.473875045776367,24.315022130310535,0.0003,-0.9614766424521803,0.966109000146389
745,159744,-29.57550551,214,727.67,78,0.0058353115,770,0.2,-0.0033260312644415534,0.05341796875,3.441959857940674,111.56835959106684,0.0003,-0.9336319338530302,0.6290078461170197
741,161792,-31.264346860000003,218,723.25,79,0.0053394595,780,0.2,-0.0009458922708290629,0.0384765625,3.3082845211029053,59.08520805835724,0.0003,-0.9159795245155692,0.76335409283638
742,163840,-32.74994166,220,728.28,80,0.0077340296,790,0.2,-0.0024923439828853588,0.074267578125,126.84059143066406,75.20135822445154,0.0003,-0.9285104347392916,0.7335363924503326
742,165888,-33.601616719999996,223,732.47,81,0.0034752227,800,0.2,-0.0033728866183082573,0.029736328125,120.11129760742188,119.43358928859234,0.0003,-0.9374073365703225,0.8566877394914627
743,167936,-32.20117609999999,225,744.59,82,0.0038502356,810,0.2,-0.002771928763468168,0.05283203125,47.14164352416992,56.75754873007536,0.0003,-0.9773166541010141,0.8867076113820076
745,169984,-34.68476753,228,737.51,83,0.004551812,820,0.2,-0.002786650846610428,0.073291015625,64.0482177734375,82.81271142065525,0.0003,-0.9075352180749178,0.7826923280954361
745,172032,-37.04002399,230,728.09,84,0.0049845222,830,0.2,-0.002342940848029684,0.045361328125,152.66055297851562,228.97295143008233,0.0003,-0.9093595948070288,0.7084314823150635
743,174080,-34.71348134000001,234,724.9,85,0.005550933,840,0.2,0.0007767234157654457,0.031689453125,50.73613739013672,67.90570282638073,0.0003,-0.9696019940078259,0.8836595565080643
744,176128,-35.536910330000005,236,720.84,86,0.005173954,850,0.2,-0.0019683619211718906,0.0490234375,12.44080924987793,76.7348366484046,0.0003,-0.8622335342690348,0.8341659903526306
743,178176,-35.71128904,239,721.41,87,0.0058072787,860,0.2,-0.0014351853322295937,0.034814453125,47.62118911743164,136.20795013010502,0.0003,-0.9216024823486805,0.8294211328029633
743,180224,-35.500712209999996,242,726.41,88,0.0071135694,870,0.2,-0.0038200204231543466,0.070263671875,26.491504669189453,100.97334943264723,0.0003,-0.9266424369066953,0.8284338563680649
742,182272,-36.69944995,245,729.65,89,0.0023563022,880,0.2,-0.0006100160608184524,0.0521484375,15.824642181396484,45.44555833786726,0.0003,-0.9796764578670263,0.9188427999615669
741,184320,-35.863215479999994,248,729.79,90,0.004918522,890,0.2,-0.0008339561994944233,0.092041015625,3.4300496578216553,52.25234380662441,0.0003,-0.938874126598239,0.8848887756466866
741,186368,-34.402120929999995,251,737.05,91,0.010730616,900,0.2,-0.007857266721839552,0.0845703125,3.202047348022461,49.16141667217016,0.0003,-1.0049578612670302,0.8469050079584122
740,188416,-33.38556042999999,254,735.08,92,0.007570315,910,0.2,-0.0013598077159258537,0.052197265625,3.4975357055664062,33.850717198103666,0.0003,-0.8884617187082767,0.901352196931839
739,190464,-33.868061829999995,257,730.64,93,0.011284506,920,0.2,-0.0022659578193270137,0.102587890625,89.866943359375,73.0386430427432,0.0003,-0.9062290541827679,0.7540436238050461
738,192512,-34.95253758999999,260,723.83,94,0.0035884436,930,0.2,-0.0017753834135874058,0.025048828125,149.39036560058594,132.09426462352275,0.0003,-0.8948277870193124,0.6859780848026276
738,194560,-36.20199262,263,725.95,95,0.004027711,940,0.2,-0.00017276862054131924,0.045556640625,3.797025203704834,108.96078421026468,0.0003,-0.9180004512891173,0.7108971774578094
736,196608,-35.05151262,266,728.74,96,0.004884622,950,0.2,-0.0012712636886135441,0.058349609375,46.621116638183594,86.35452616661787,0.0003,-0.888836707919836,0.7985366433858871
737,198656,-31.93580352,269,732.89,97,0.0034265143,960,0.2,-0.0009908661202643998,0.030029296875,13.269316673278809,70.42233409881592,0.0003,-0.9078100146725774,0.7540183663368225
735,200704,-31.66548134,272,738.33,98,0.006601044,970,0.2,-0.0041996291925897825,0.11435546875,162.05531311035156,200.07347766160964,0.0003,-0.8268750878050923,0.6574906408786774
734,202752,-35.77101914,276,736.12,99,0.009528571,980,0.2,-0.006723307291395031,0.1146484375,2.387348175048828,28.92241718545556,0.0003,-0.8280686892569065,0.8245727270841599
733,204800,-36.39254079,279,729.5,100,0.0060110744,990,0.2,-0.002599280362483114,0.05634765625,5.906118869781494,70.38964097946882,0.0003,-0.918006194010377,0.8206161558628082
734,206848,-40.82339522,281,713.67,101,0.008463735,1000,0.2,-0.0012412215837684926,0.072900390625,6.392193794250488,40.320994631946085,0.0003,-0.9719863507896662,0.7780890762805939
735,208896,-41.08363469,284,721.98,102,0.007854055,1010,0.2,-0.003360446541046258,0.103271484375,72.57450866699219,180.42771250605583,0.0003,-0.7742097318172455,0.7233215272426605
733,210944,-39.75169769,287,727.45,103,0.005739702,1020,0.2,-0.0012307325825531735,0.039599609375,4.147711277008057,29.494592382758857,0.0003,-0.9409523356705904,0.9018850773572922
732,212992,-42.48060484,290,721.43,104,0.0040866006,1030,0.2,-0.00399643859200296,0.036328125,20.801918029785156,94.16797365397215,0.0003,-0.9030638642609119,0.8241902589797974
729,215040,-40.81258147,294,731.06,105,0.008906269,1040,0.2,-0.0017665467523329426,0.07021484375,28.54354476928711,32.00568122565746,0.0003,-0.8960862042382359,0.8282113075256348
725,217088,-43.332275020000004,299,737.16,106,0.0025107171,1050,0.2,-0.0011807740371295949,0.02919921875,138.1005859375,78.49507980197669,0.0003,-0.86372663192451,0.7791368514299393
723,219136,-42.39939289,302,731.81,107,0.0076179374,1060,0.2,-0.0012164326471975073,0.073681640625,5.1162638664245605,22.411469032615422,0.0003,-0.837136841379106,0.9137514755129814
720,221184,-40.69272555,306,737.03,108,0.0030033644,1070,0.2,-0.0003282330657384591,0.068505859375,4.960995197296143,30.581358812749386,0.0003,-0.9386730279773474,0.9089754819869995
715,223232,-41.30150199,311,734.55,109,0.0069160582,1080,0.2,-0.0032763220166089012,0.0888671875,1.681594729423523,10.73676583096385,0.0003,-0.9233826430514455,0.95013377815485
713,225280,-41.29439366,315,732.75,110,0.0071391463,1090,0.2,-0.001958978280890733,0.051513671875,2.2838425636291504,47.7722920358181,0.0003,-0.8786750219762325,0.8469680547714233
