time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,train/n_updates,train/value_loss,train/learning_rate,train/explained_variance,train/clip_range,train/approx_kl,train/loss,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction
63488,1101,57,-107.96834657000001,31,317.87,300,102.91922426223755,0.0003,0.7447526454925537,0.2,0.0076642814,55.63167953491211,-0.005840258351963712,-1.0255557162687183,0.082861328125
65536,1081,60,-105.48172343000002,32,335.24,310,109.33640530705452,0.0003,0.6911149024963379,0.2,0.0076786927,30.38423728942871,-0.00621709610131802,-1.1300885505974292,0.074462890625
67584,1066,63,-106.99748736,33,356.05,320,103.59866629242897,0.0003,0.6939296424388885,0.2,0.0047962917,20.771888732910156,-0.0018254680559039115,-1.0694622687995434,0.021728515625
69632,1050,66,-102.06239299999999,34,371.89,330,95.09088419675827,0.0003,0.7338636219501495,0.2,0.007737344,14.886895179748535,-0.0054826325205795,-1.1442549202591181,0.060009765625
71680,1039,68,-99.02812921,35,383.5,340,63.92134935259819,0.0003,0.8635648339986801,0.2,0.0070958994,10.070708274841309,-0.006796193752961699,-1.118387509137392,0.08193359375
73728,1028,71,-97.47625823999999,36,402.35,350,66.28664111495019,0.0003,0.7231485843658447,0.2,0.009227693,228.99502563476562,-0.004062191399862058,-1.0865310396999122,0.07216796875
75776,1014,74,-93.86030215999999,37,418.97,360,107.41343369483948,0.0003,0.6907799243927002,0.2,0.010084939,17.506561279296875,-0.01208691572828684,-1.0556990392506123,0.11962890625
77824,1002,77,-88.53480005000002,38,431.86,370,66.23708699345589,0.0003,0.8734323382377625,0.2,0.011197251,11.005781173706055,-0.005521043232874945,-1.0240735173225404,0.09775390625
79872,985,81,-86.61329329,39,446.93,380,102.57888244986535,0.0003,0.7163310647010803,0.2,0.012201665,5.624277114868164,-0.004632182620844106,-0.9757538037374616,0.051171875
81920,972,84,-85.90987521999998,40,462.42,390,44.89214964807034,0.0003,0.8448830246925354,0.2,0.011868907,3.7288594245910645,-0.00634441931542824,-0.9443187577649951,0.112841796875
83968,967,86,-85.22907898000001,41,478.41,400,40.105392849445344,0.0003,0.8758635371923447,0.2,0.0052919257,2.0681862831115723,-0.008017025599110638,-0.8750375378876925,0.03564453125
86016,954,90,-85.97995708999998,42,488.43,410,168.874857288599,0.0003,0.50148805975914,0.2,0.0026219499,47.285762786865234,-0.001622954852791736,-0.9687589846551419,0.00517578125
88064,951,92,-83.11520142999998,43,500.77,420,94.37425861656666,0.0003,0.7433958947658539,0.2,0.0022587678,16.568376541137695,-0.0018233092669106554,-0.8487606545910239,0.01552734375
