time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/value_loss,train/clip_fraction
56,163,-26.413695239999996,114688,755.38,702,-0.8772682521492243,5.610480308532715,550,0.31630778312683105,0.2,-0.00222386043460574,0.006395313,0.0003,65.76945990771056,0.051318359375
57,166,-18.342867199999997,116736,772.24,699,-0.8992272716015577,3.239631414413452,560,0.633390873670578,0.2,-0.0018995748891029508,0.00678304,0.0003,34.191387898102406,0.068212890625
58,171,-17.8655062,118784,784.65,694,-0.8160780059173703,28.51605224609375,570,0.4387449622154236,0.2,-0.0014942098368919687,0.004137639,0.0003,92.70666404664516,0.034033203125
59,175,-17.263404059999992,120832,798.96,689,-1.0011975115165115,3.822767496109009,580,0.41033780574798584,0.2,-0.0031103361819987186,0.0071799057,0.0003,56.580119946599005,0.07177734375
60,179,-16.296027669999997,122880,807.21,684,-0.9604189706966281,10.212023735046387,590,0.6638481318950653,0.2,-0.0019183786469511687,0.00512529,0.0003,40.37458865456283,0.06650390625
61,183,-15.61238513,124928,811.56,680,-0.9742514006793499,2.4685862064361572,600,0.6885913908481598,0.2,-0.005750005135632818,0.007882157,0.0003,33.67312633134425,0.086767578125
62,187,-13.830125050000001,126976,818.82,675,-0.9059838999062777,30.648361206054688,610,0.46391797065734863,0.2,-0.0044073749988456255,0.0035541356,0.0003,101.9902703858912,0.0234375
63,191,-9.950457040000002,129024,834.88,673,-0.901150613464415,2.6376566886901855,620,0.7864488959312439,0.2,-0.005783323235664284,0.0044706375,0.0003,25.12617772966623,0.068896484375
64,196,-8.386406939999999,131072,851.84,667,-0.8615701848641037,5.047299385070801,630,0.8745096325874329,0.2,-0.003711392846889794,0.008333999,0.0003,34.55770304873586,0.089501953125
65,200,-6.016639099999997,133120,864.37,664,-0.8554449697956443,180.1197509765625,640,0.6847559213638306,0.2,-0.00417030796961626,0.006637552,0.0003,41.49700387902558,0.07705078125
66,205,-3.1125464100000007,135168,877.89,658,-0.9263884207233787,2.0501961708068848,650,0.6927238702774048,0.2,-0.0042281829126295635,0.005601285,0.0003,34.39879547059536,0.087841796875
