rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/value_loss,train/entropy_loss,train/clip_range,train/approx_kl,train/std,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/loss,train/clip_fraction,train/explained_variance
182.86,-122.58169944000001,15,30,30720,991,454.89968938827514,-2.840323042869568,0.2,0.0038846289,1.0034162998199463,0.0003,140,-0.005477584568143357,146.65196228027344,0.03671875,0.07409137487411499
190.95,-122.05802501,16,32,32768,996,229.204061627388,-2.831754481047392,0.2,0.0050304355,0.9918901920318604,0.0003,150,-0.004956237376609352,73.72591400146484,0.024853515625,0.15427517890930176
204.91,-119.30005594000001,17,36,34816,961,323.01868493556975,-2.813755002617836,0.2,0.005895557,0.9857355356216431,0.0003,160,-0.005847766716760816,320.443359375,0.03759765625,-0.0591425895690918
221.23,-119.44949586999999,18,40,36864,914,242.38067829608917,-2.7983281441032886,0.2,0.0066877278,0.9756542444229126,0.0003,170,-0.00752308012379217,73.82270812988281,0.041064453125,0.37342458963394165
235.91,-113.23338512999997,19,43,38912,887,335.4032896876335,-2.7870073556900024,0.2,0.004498412,0.974931001663208,0.0003,180,-0.003692874348780606,122.56243896484375,0.026025390625,0.2522151470184326
249.17,-109.29244501,20,47,40960,853,187.81025098562242,-2.7872232206165792,0.2,0.0049318196,0.9779013395309448,0.0003,190,-0.0023456665941921527,70.46162414550781,0.02958984375,0.3289436101913452
266.18,-112.93111899999998,21,52,43008,824,159.47109281420708,-2.78680337741971,0.2,0.00880694,0.9706100225448608,0.0003,200,-0.009001757809892296,185.34620666503906,0.071875,0.41526609659194946
285.41,-108.94838960000001,22,56,45056,800,144.92812777757644,-2.768319736421108,0.2,0.008627847,0.9627072811126709,0.0003,210,-0.008220619542407803,68.6292495727539,0.070703125,0.4497743844985962
297.98,-106.13595396999999,23,60,47104,782,177.58245240449907,-2.769712276011705,0.2,0.010002654,0.9706977605819702,0.0003,220,-0.009116909244039562,67.59227752685547,0.08818359375,0.27307844161987305
314.34,-105.62499622000001,24,63,49152,771,148.80034140348434,-2.774094122648239,0.2,0.006233688,0.9686813354492188,0.0003,230,-0.003323860866657924,133.07960510253906,0.0486328125,0.4126121401786804
328.39,-105.48118511000001,25,67,51200,754,145.25140155553817,-2.775135073810816,0.2,0.008002463,0.9714372158050537,0.0003,240,-0.009654600534122437,41.69219207763672,0.080126953125,0.5641072392463684
343.46,-103.46708548999999,26,71,53248,743,151.62382822036744,-2.77546194344759,0.2,0.008259474,0.9659250378608704,0.0003,250,-0.004993367559654871,77.7164077758789,0.08193359375,0.4101484417915344
352.97,-98.40633974999999,27,76,55296,721,175.2711686730385,-2.771705976873636,0.2,0.010258137,0.9723628759384155,0.0003,260,-0.007393088920798619,106.88155364990234,0.08662109375,0.49136608839035034
368.97,-99.15725278,28,80,57344,714,74.90624431371688,-2.7764528140425684,0.2,0.006234713,0.9676703810691833,0.0003,270,-0.0066195501334732395,15.703561782836914,0.06259765625,0.6107141673564911
385.27,-94.12987298000002,29,85,59392,691,121.63250340819359,-2.761791740357876,0.2,0.009445768,0.9589606523513794,0.0003,280,-0.007088139638653956,25.23380470275879,0.09208984375,0.5093327164649963
398.65,-95.12864669000001,30,90,61440,677,45.70804915428162,-2.742910412698984,0.2,0.010544071,0.9492194652557373,0.0003,290,-0.009717980326968245,12.92257308959961,0.122900390625,0.785736083984375
422.52,-89.73605803999999,31,94,63488,668,71.43348891735077,-2.7307365335524083,0.2,0.010879353,0.9454994201660156,0.0003,300,-0.009678389966938993,14.894372940063477,0.148681640625,0.4179666042327881
