time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/entropy_loss,train/approx_kl,train/clip_fraction,train/n_updates,train/value_loss,train/learning_rate,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/loss
851,114688,615.46,0.6321388900000007,56,134,-0.7942336164414883,0.002621923,0.02314453125,550,194.08115786910056,0.0003,0.26018691062927246,0.2,-0.002128515308868373,34.63441467285156
843,116736,625.03,3.776330320000003,57,138,-0.7879867892712354,0.005899358,0.063525390625,560,188.67173687815665,0.0003,0.3794618844985962,0.2,-0.007299700054136338,174.8023223876953
842,118784,646.08,5.492191370000003,58,140,-1.0200141867622734,0.007427635,0.094580078125,570,60.806299172341824,0.0003,0.5665464103221893,0.2,-0.004494574200361967,12.05351734161377
840,120832,642.72,10.358858090000002,59,143,-0.9490704759955406,0.0038242764,0.018359375,580,233.61826595067978,0.0003,0.3750658631324768,0.2,-0.0029009124133153818,105.10426330566406
837,122880,648.47,13.115423269999997,60,146,-0.8572138082236052,0.0045581306,0.03388671875,590,124.13067527264357,0.0003,0.4428974390029907,0.2,-0.0010993744342158607,73.9188232421875
834,124928,662.64,16.92414688,61,149,-0.7959701512008905,0.0049162596,0.024462890625,600,205.76064027547835,0.0003,0.4249531626701355,0.2,-0.0033548186209372945,64.5727767944336
825,126976,678.77,20.225555429999996,62,153,-0.9626411251723767,0.0054738442,0.0787109375,610,60.05506954491138,0.0003,0.6628846526145935,0.2,-0.002503324026474729,4.108869552612305
816,129024,684.02,20.498078460000002,63,158,-0.8835646996274591,0.0071543627,0.0267578125,620,65.34896230101586,0.0003,0.6111738085746765,0.2,-0.0010355700753279962,8.438608169555664
812,131072,690.12,21.859813710000005,64,161,-1.0149675162509084,0.00789288,0.098779296875,630,29.8685238674283,0.0003,0.8409201502799988,0.2,-0.0067538203889853324,4.414882659912109
809,133120,701.34,25.376059679999997,65,164,-1.0065575243905187,0.010082139,0.140673828125,640,20.01298282518983,0.0003,0.8446661680936813,0.2,-0.006818143907003105,101.005615234375
805,135168,693.36,26.812919829999995,66,167,-0.8616570869460702,0.005374727,0.0521484375,650,82.93053579479457,0.0003,0.6611346900463104,0.2,-0.0021731100743636487,15.873771667480469
802,137216,682.05,27.518123539999998,67,171,-0.8764634795486927,0.0040074443,0.0115234375,660,90.65779307633639,0.0003,0.6412592828273773,0.2,-0.001253542262566043,6.028636932373047
