time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/entropy_loss,train/n_updates,train/clip_fraction,train/approx_kl,train/value_loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/loss
49,127,674.95,785,100352,-60.43451067,0.0003,-0.9889695016667247,480,0.05390625,0.00732778,59.78454449176788,0.2,0.7239294946193695,-0.002254112569062272,37.88533401489258
50,131,690.5,781,102400,-58.493183710000004,0.0003,-0.9970221247524023,490,0.067919921875,0.008422708,71.37946992218494,0.2,0.7123254835605621,-0.0046822040400002155,12.05509090423584
51,133,706.79,779,104448,-55.82399719000001,0.0003,-0.9464569361880422,500,0.058984375,0.0052637393,80.84322552084923,0.2,0.8058438897132874,-0.00431215672797407,25.667444229125977
52,136,716.74,778,106496,-52.080736370000004,0.0003,-0.9195941314101219,510,0.0748046875,0.0052721025,37.409300269186495,0.2,0.8956573829054832,-0.0014882939656672533,224.30355834960938
53,139,731.48,778,108544,-51.39844891,0.0003,-1.0099876267835497,520,0.0583984375,0.0047979914,39.14446495175362,0.2,0.820390596985817,-0.001733305175730493,4.866574764251709
54,142,746.35,775,110592,-48.62837664,0.0003,-0.9497497258707881,530,0.064794921875,0.007658504,29.960125734657048,0.2,0.8705785572528839,-0.0038329928982420826,3.8789055347442627
55,146,749.95,769,112640,-49.967375139999994,0.0003,-1.0108903350308538,540,0.084765625,0.006555859,30.395558343827723,0.2,0.8451243937015533,-0.004577707192947855,10.055380821228027
56,149,762.25,765,114688,-49.366105340000004,0.0003,-0.9528484040871262,550,0.06484375,0.0079550315,93.6479982048273,0.2,0.5953108072280884,-0.005452221153973369,8.758551597595215
57,153,770.19,758,116736,-47.712798620000015,0.0003,-0.9783367341384291,560,0.03447265625,0.0043421616,57.15678388029337,0.2,0.8121210336685181,-0.0020939436071785167,32.789703369140625
58,158,777.4,750,118784,-44.12749554000001,0.0003,-0.9350847525522112,570,0.028564453125,0.0050125923,104.65697097927332,0.2,0.6425107419490814,-0.0015147900965530425,15.55754566192627
59,162,788.43,744,120832,-44.77581321,0.0003,-0.8742440689355135,580,0.0470703125,0.011580789,102.41247076243162,0.2,0.5744857490062714,-0.004096045801998116,124.4189453125
60,165,793.18,743,122880,-44.22478409,0.0003,-0.9141890700906515,590,0.0474609375,0.005726153,158.77021157592534,0.2,0.600889652967453,-0.0032084423466585575,237.39874267578125
61,168,798.54,742,124928,-45.40823384,0.0003,-0.9882154140621424,600,0.089013671875,0.0060644047,47.27222511917353,0.2,0.8114529699087143,0.0003061175113543868,33.20038986206055
62,171,804.53,739,126976,-46.687066959999996,0.0003,-0.9585294350981712,610,0.025537109375,0.005531837,98.88750717639923,0.2,0.6984572112560272,-0.0005034495909058024,34.00529479980469
63,174,810.46,738,129024,-46.16156415999999,0.0003,-0.9540895309299231,620,0.065625,0.006613191,99.63959119468927,0.2,0.7429782748222351,-0.004053134414425586,3.8123393058776855
64,178,823.36,734,131072,-45.255882060000005,0.0003,-0.9683779150247573,630,0.05986328125,0.007008943,39.310822632908824,0.2,0.7814269065856934,-0.0015857943435548805,24.563152313232422
65,182,820.86,728,133120,-43.386383050000006,0.0003,-0.9943957298994064,640,0.088330078125,0.0075851586,55.208338741958144,0.2,0.7862002700567245,-0.0026630344349541702,4.161647319793701
66,185,817.71,730,135168,-45.202319300000006,0.0003,-0.9603403018787503,650,0.072607421875,0.007900033,58.139054299890994,0.2,0.6915071904659271,-0.011562328498257557,9.211335182189941
67,187,814.81,732,137216,-47.67211486,0.0003,-0.9920369787141681,660,0.078125,0.0050918004,108.07822279036046,0.2,0.6431194543838501,-0.0030039577904972248,47.005828857421875
68,189,799.06,733,139264,-47.46174265,0.0003,-0.9437529131770134,670,0.04365234375,0.0046169367,52.11697977483273,0.2,0.8833327814936638,-0.0033562681652256287,53.236976623535156
69,192,805.67,733,141312,-46.38561199000001,0.0003,-0.9435102410614491,680,0.02802734375,0.0035973932,153.67129229307176,0.2,0.6802499294281006,-0.0011395610730687623,183.62078857421875
70,195,805.0,731,143360,-47.05258608,0.0003,-0.9488463653251529,690,0.095654296875,0.008362379,23.39637061357498,0.2,0.91476109623909,-0.0032975652829918545,4.373480319976807
71,200,811.54,724,145408,-42.816897250000004,0.0003,-0.8921038743108511,700,0.102392578125,0.008871998,66.47848600894213,0.2,0.822163850069046,-0.0038140221309731714,4.268052101135254
72,203,808.67,725,147456,-45.75335392,0.0003,-0.9432073168456554,710,0.083984375,0.00665565,60.58656149506569,0.2,0.6255050599575043,-0.0034398146846797316,4.267487525939941
73,206,817.3,724,149504,-41.817309479999984,0.0003,-0.8982304655015468,720,0.0296875,0.0054962896,91.75515271872283,0.2,0.7230936288833618,-0.0008210775959014427,30.625038146972656
74,209,815.32,723,151552,-43.38019007,0.0003,-0.9287424510344863,730,0.077587890625,0.006086178,22.79514176696539,0.2,0.7967143654823303,-0.0016672980622388423,1.8531464338302612
75,212,820.9,723,153600,-42.23883522,0.0003,-0.9551324609667062,740,0.044287109375,0.004028346,42.31375200152397,0.2,0.7645807415246964,-0.002725132132763974,4.599581718444824
76,214,805.02,724,155648,-46.92961755,0.0003,-0.9545669041574001,750,0.086474609375,0.0055881767,19.221437958627938,0.2,0.9379708766937256,-0.0022219360966118985,5.186162948608398
77,217,772.01,724,157696,-55.79934867,0.0003,-0.9585303759202362,760,0.044189453125,0.0044731526,95.93388733267784,0.2,0.8293370455503464,-0.0009109359016292728,91.58043670654297
78,221,772.56,722,159744,-52.56166818,0.0003,-0.8922683136537671,770,0.0302734375,0.0039230855,158.05450052022934,0.2,0.6644222438335419,-0.0027079481194959955,135.56915283203125
79,223,741.86,724,161792,-56.75461421,0.0003,-0.924397661536932,780,0.04140625,0.005076958,45.324017649888994,0.2,0.7941307872533798,-0.0019323737840750254,22.091028213500977
80,226,730.49,723,163840,-57.95284708,0.0003,-0.9326724890619517,790,0.047802734375,0.0063123694,142.2726347863674,0.2,0.7696628570556641,-0.0023018141626380386,96.31256866455078
81,229,719.24,722,165888,-60.012652120000006,0.0003,-0.9290301350876689,800,0.075244140625,0.004788574,37.64904245585203,0.2,0.9043863639235497,-0.0032199370296439158,13.701391220092773
82,231,703.55,723,167936,-60.82663686000001,0.0003,-0.876883296482265,810,0.052587890625,0.0039449353,90.2614839553833,0.2,0.642343282699585,0.00020412998346728273,6.952550888061523
