time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/value_loss,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/clip_range,train/clip_fraction,train/learning_rate
150,108544,53,723,795.99,-33.081146860000004,2.556304693222046,19.542470847815274,520,0.0038439338,0.00021811555707245133,-0.8802948396652936,0.6136128008365631,0.2,0.0314453125,0.0003
153,110592,54,721,812.62,-33.77230866,1.8861777782440186,20.716653589904308,530,0.005531409,-0.001979490434314357,-0.8573120538145304,0.5694584250450134,0.2,0.03701171875,0.0003
156,112640,55,721,821.08,-30.172275720000002,9.046015739440918,27.90242146998644,540,0.0044242367,-0.003967937651032117,-0.8746416933834553,0.5361187756061554,0.2,0.076416015625,0.0003
159,114688,56,718,835.0,-28.118552440000002,3.8379969596862793,34.856933642923835,550,0.0036435463,-0.0012831172625737963,-0.8358150653541088,0.5337823927402496,0.2,0.031396484375,0.0003
163,116736,57,715,850.73,-25.966775029999997,8.45287036895752,62.96129195839167,560,0.0058341087,-0.0032294572796672583,-0.9013989942148328,0.407764732837677,0.2,0.0646484375,0.0003
165,118784,58,716,867.25,-22.996134559999994,5.204413890838623,30.66020272821188,570,0.004553576,-0.0018210639427707065,-0.8439074356108904,0.5427800118923187,0.2,0.038134765625,0.0003
169,120832,59,712,882.62,-21.638686479999997,3.4824018478393555,20.4722202681005,580,0.007261549,-0.00636315493757138,-0.8611417412757874,0.6741041541099548,0.2,0.10224609375,0.0003
172,122880,60,710,897.42,-20.102074349999995,3.0890018939971924,22.046005807071925,590,0.006582208,-0.0012582782146637328,-0.8666640294715762,0.570664256811142,0.2,0.061083984375,0.0003
176,124928,61,707,904.71,-19.24418762,2.4141674041748047,19.67099009901285,600,0.004822786,-0.0018605739045597148,-0.7999499723315239,0.7175250351428986,0.2,0.0490234375,0.0003
180,126976,62,704,913.22,-17.758353869999997,4.168128967285156,19.591396851092576,610,0.009536268,-0.0036851701770501677,-0.8199095226824283,0.7291153967380524,0.2,0.080078125,0.0003
