time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/explained_variance,train/clip_fraction,train/loss,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/entropy_loss
27,71,55296,775,-319.81131314000004,489.95,1490,0.8026191890239716,0.08427734375,430.1592712402344,0.0003,0.2,-0.006800358915643301,0.020258075,180.33419895768165,-0.6056750865653158
28,74,57344,769,-313.39434746,483.45,1500,0.8885960727930069,0.070458984375,38.80363845825195,0.0003,0.2,-0.005653159238499938,0.0077822227,169.3302645534277,-0.6605305802077055
29,77,59392,770,-307.92363988,473.89,1510,0.920413114130497,0.043994140625,13.04067611694336,0.0003,0.2,-0.0016002531701815315,0.0042892797,101.42558984160424,-0.5726743440143764
30,79,61440,768,-304.20177369,478.75,1520,0.85061876475811,0.05615234375,31.271516799926758,0.0003,0.2,-0.0015405846294015645,0.0064026024,156.08730343580245,-0.6306521827355027
31,82,63488,769,-296.07620474,470.85,1530,0.9173537269234657,0.0958984375,13.519933700561523,0.0003,0.2,-0.0013042630311247195,0.0054626735,77.88748231008648,-0.6099485307000577
32,85,65536,770,-291.55589783,469.73,1540,0.9213711619377136,0.054296875,9.997808456420898,0.0003,0.2,-0.0026177087340329306,0.006564723,127.67245585918427,-0.5433121367357672
33,87,67584,775,-292.00804406000003,461.52,1550,0.8503098338842392,0.05146484375,18.45848846435547,0.0003,0.2,-0.0024611828674096616,0.0048731226,163.09741801172495,-0.5546381234191358
34,89,69632,777,-287.5807378,446.0,1560,0.5107661783695221,0.028955078125,35.49445724487305,0.0003,0.2,-0.002459670475218445,0.0046473653,352.6733323931694,-0.6200081329792738
35,92,71680,778,-285.37106621,438.07,1570,0.871120885014534,0.0544921875,306.046630859375,0.0003,0.2,-0.0031056634725246113,0.0050970926,144.67945808768272,-0.6058453985489904
36,94,73728,782,-276.27183922,436.36,1580,0.8558356761932373,0.0552734375,32.824195861816406,0.0003,0.2,-0.003762761805410264,0.005016831,195.90903162360192,-0.5387591418810189
37,96,75776,781,-275.80194653,434.09,1590,0.8170383274555206,0.064111328125,42.911739349365234,0.0003,0.2,-0.002323960067587905,0.005643025,190.11040407419205,-0.6144964998587966
38,99,77824,783,-276.94727965000004,436.08,1600,0.9000874236226082,0.06005859375,41.34657287597656,0.0003,0.2,-5.5576255545020106e-05,0.005064645,131.7430588647723,-0.5655006814748049
39,101,79872,786,-274.05190739,440.22,1610,0.9073941633105278,0.05263671875,41.46703338623047,0.0003,0.2,-0.001882747110357741,0.0030872265,141.08917797356844,-0.6831628933548928
40,103,81920,788,-275.62789539000005,435.47,1620,0.8910835757851601,0.052099609375,262.916748046875,0.0003,0.2,-0.00598585741900024,0.007511383,114.70276056826114,-0.5888834693469107
41,106,83968,787,-274.06882750999995,446.51,1630,0.847869798541069,0.0943359375,45.43524932861328,0.0003,0.2,-0.0015997718095604797,0.005491907,154.90154031813145,-0.5700634256005287
42,109,86016,789,-274.40450764999997,442.32,1640,0.8754097744822502,0.1322265625,18.983253479003906,0.0003,0.2,-0.002170834164644475,0.022742823,109.18541021943092,-0.6287471866235137
43,111,88064,791,-268.54007923999995,438.33,1650,0.7690160870552063,0.0416015625,110.1280288696289,0.0003,0.2,9.544345957692712e-05,0.0025317566,226.59433438181878,-0.5765905280597508
44,113,90112,793,-264.07625905000003,434.7,1660,0.8569214195013046,0.050927734375,388.17889404296875,0.0003,0.2,-0.0031240211792464834,0.004285654,202.93117154836654,-0.5644442789256573
45,115,92160,794,-264.09962232,439.55,1670,0.783670112490654,0.0529296875,128.1352996826172,0.0003,0.2,-0.008527918007894186,0.0048080133,251.86391326487063,-0.597392797563225
46,118,94208,793,-263.17746259,450.37,1680,0.9488468170166016,0.1068359375,4.7240166664123535,0.0003,0.2,0.0021040296102000865,0.0076027163,51.42812561094761,-0.5611254097893834
47,121,96256,794,-263.73029998000004,456.21,1690,0.9353971853852272,0.061279296875,5.816964149475098,0.0003,0.2,-0.0017631824084674008,0.008111383,75.54707341268659,-0.5983386152423918
48,123,98304,796,-269.22458652,456.39,1700,0.9431975558400154,0.14931640625,7.300026893615723,0.0003,0.2,-0.007117735564679606,0.013460902,81.8870319440961,-0.7500971741974354
49,126,100352,790,-271.74744565,463.87,1710,0.7893475741147995,0.00908203125,52.643035888671875,0.0003,0.2,-0.0014011537350597791,0.0024360828,220.95084714889526,-0.6538198307156563
1,3,2048,538,-26.811922,1000.0,1720,0.8602795451879501,0.050048828125,119.56098175048828,0.0003,0.2,-0.0007440430636052042,0.015858132,116.25148432254791,-0.5483185946941376
2,7,4096,583,-17.5852965,1000.0,1730,0.39458370208740234,0.124072265625,3.1958205699920654,0.0003,0.2,0.00014124666558927855,0.010211954,41.660607625544074,-0.8263475682586432
3,11,6144,546,-2.3715974999999987,1000.0,1740,0.7470015585422516,0.112744140625,105.86868286132812,0.0003,0.2,-0.0007593088623252698,0.007257919,16.515896640717983,-0.8235648039728403
4,14,8192,554,1.2942327500000008,1000.0,1750,0.7090608775615692,0.035498046875,2.4899966716766357,0.0003,0.2,-4.829327517654747e-05,0.0039071627,23.248778806626795,-0.7815969016402959
5,17,10240,578,-2.064952699999999,1000.0,1760,0.7941473424434662,0.076806640625,1.2456413507461548,0.0003,0.2,-0.003199933376163244,0.0068045557,17.743304232507946,-0.8351591926068067
6,21,12288,560,2.493208000000001,1000.0,1770,0.7415236234664917,0.060791015625,3.761387825012207,0.0003,0.2,0.0005150330878677778,0.005751546,20.963066274672748,-0.8150515798479319
7,25,14336,570,-5.4085303571428565,1000.0,1780,0.8037128895521164,0.056884765625,0.8870117664337158,0.0003,0.2,-0.0032146323821507393,0.0053309477,21.72757636792958,-0.8035926254466176
8,28,16384,570,-1.1204184375000001,1000.0,1790,0.8292358368635178,0.072509765625,3.057753086090088,0.0003,0.2,0.0009145054151304066,0.01026587,19.039911945164203,-0.7962777838110924
9,32,18432,567,1.245054222222222,1000.0,1800,0.8239389061927795,0.06181640625,1.3771381378173828,0.0003,0.2,-0.001717468565038871,0.007345751,15.133410407230258,-0.7698079243302345
10,35,20480,579,-1.9470866500000004,1000.0,1810,0.6648282110691071,0.08251953125,0.7024845480918884,0.0003,0.2,-0.004995990739553235,0.006737763,21.576439131982625,-0.795162246376276
11,38,22528,578,-2.826264590909091,1000.0,1820,0.7906522750854492,0.0828125,1.019271969795227,0.0003,0.2,-0.0019229705052566715,0.0030127284,21.419876319542528,-0.8141638768836856
12,43,24576,564,1.9258309166666674,1000.0,1830,0.8961057662963867,0.089794921875,1.9384236335754395,0.0003,0.2,-0.0015906576925772242,0.005698384,12.683679188042879,-0.7917287208139896
13,46,26624,570,-0.260486807692307,1000.0,1840,0.6708417534828186,0.05537109375,2.0875580310821533,0.0003,0.2,-0.0012397208629408851,0.007456159,30.11021302640438,-0.7482602149248123
14,50,28672,562,-0.2466315714285707,1000.0,1850,0.7968672811985016,0.061572265625,0.8594862222671509,0.0003,0.2,-0.0012131239163863938,0.0047994116,24.664653510972858,-0.7962276726961136
15,54,30720,566,0.7736302333333339,1000.0,1860,0.8464047759771347,0.049462890625,0.5400723814964294,0.0003,0.2,-0.001916134721977869,0.00503354,13.183947275206446,-0.8190720366314054
16,57,32768,571,0.8204839999999995,1000.0,1870,0.781466618180275,0.059375,0.6469902396202087,0.0003,0.2,-0.0015661820230889133,0.004993967,25.889022486284375,-0.7758296119049192
17,60,34816,571,-0.7010774705882357,1000.0,1880,0.8202901929616928,0.112841796875,2.1538491249084473,0.0003,0.2,-0.01949192716492689,0.021665722,21.398877624422312,-0.771850910782814
18,63,36864,577,-1.5003174444444451,1000.0,1890,0.8321264684200287,0.041748046875,1.675154685974121,0.0003,0.2,-0.002638035491690971,0.0036040395,23.70280093513429,-0.7879327608272433
19,67,38912,577,-2.7126102820512825,993.7179487179487,1900,0.8424608707427979,0.0791015625,1.1340245008468628,0.0003,0.2,0.003151671457453631,0.0067258803,31.947241332381964,-0.7887419380247593
20,69,40960,586,-3.99128068292683,994.0243902439024,1910,0.43537765741348267,0.04482421875,7.4426655769348145,0.0003,0.2,-0.0011900722605787451,0.0038201031,85.34447783827781,-0.7470564160495996
21,73,43008,585,-2.8527439767441862,994.3023255813954,1920,0.8983395099639893,0.105224609375,1.0288538932800293,0.0003,0.2,-0.004689913080073893,0.006806629,15.68402720168233,-0.7562338549643755
22,78,45056,572,-1.9822023111111116,994.5555555555555,1930,0.8142063617706299,0.07685546875,0.45342180132865906,0.0003,0.2,-0.001723850518465042,0.0063501243,15.505739448964595,-0.7667671289294958
23,82,47104,572,-3.9054906595744687,994.7872340425532,1940,0.8106324821710587,0.077783203125,1.0474977493286133,0.0003,0.2,-0.0007957091671414674,0.0060182614,25.19084681458771,-0.7447706172242761
24,86,49152,571,-2.4377051224489796,995.0,1950,0.9188510999083519,0.138720703125,2.3375918865203857,0.0003,0.2,-0.005231633784933365,0.014477624,12.356920020654798,-0.80297243129462
25,89,51200,571,-5.0818403653846165,971.9038461538462,1960,0.8808364644646645,0.067236328125,115.20347595214844,0.0003,0.2,-0.0011912264657439665,0.0065163737,20.357273609936236,-0.7385017070919275
26,93,53248,570,-3.4732647592592603,972.9444444444445,1970,0.3387450575828552,0.02900390625,169.80442810058594,0.0003,0.2,-0.00010548263217060593,0.0035050893,132.4388608261943,-0.711560489051044
27,97,55296,566,-3.5555882280701763,967.0701754385965,1980,0.7573600113391876,0.0814453125,1.649196982383728,0.0003,0.2,-0.0027383946580812335,0.0034935856,33.11754331495613,-0.7420463724061847
28,101,57344,564,-4.18165486440678,968.1864406779661,1990,0.3729177713394165,0.064404296875,99.51936340332031,0.0003,0.2,-0.0030203911781427452,0.0059805783,107.7250851329416,-0.7494842978194356
29,104,59392,566,-1.0506899672131151,969.0327868852459,2000,0.8465877771377563,0.073876953125,117.8099594116211,0.0003,0.2,-0.001134329559863545,0.0053107636,13.504774617776274,-0.7765247710049152
30,108,61440,565,-1.6058342063492066,970.015873015873,2010,0.5282789170742035,0.055078125,60.718238830566406,0.0003,0.2,-0.011219885425816756,0.011207851,65.11516035348177,-0.7449866911396384
31,112,63488,565,-1.6770557692307693,970.9384615384615,2020,0.8460204303264618,0.0994140625,0.5949105024337769,0.0003,0.2,-0.00189105261961231,0.010190379,21.65190879125148,-0.7154203424230218
32,115,65536,569,-2.322617313432836,971.8059701492538,2030,0.7547063231468201,0.0607421875,1.6068165302276611,0.0003,0.2,-0.0012724987507681362,0.0043193325,37.00072357710451,-0.571523467823863
33,118,67584,570,-1.4257384142857141,963.9,2040,0.8971856757998466,0.09423828125,0.5739022493362427,0.0003,0.2,-0.0016241062599874566,0.010335842,13.73512035049498,-0.7684325261041522
34,123,69632,564,-0.4727247638888896,962.0555555555555,2050,0.4248805046081543,0.035009765625,48.20789337158203,0.0003,0.2,-0.0015342331022111465,0.0018808914,152.1743102788925,-0.6825174268335104
35,127,71680,563,-2.631069426666667,948.64,2060,0.6957931518554688,0.050048828125,28.56940460205078,0.0003,0.2,-0.0013666218204889447,0.0033516837,42.085485602915284,-0.7184804411605
36,130,73728,564,-1.9843251153846155,939.3333333333334,2070,0.4336014986038208,0.046630859375,69.08380126953125,0.0003,0.2,-0.0015237159459502436,0.0040907087,121.4956433519721,-0.7059553937986494
37,133,75776,567,-1.7157441125,940.85,2080,0.45776939392089844,0.1048828125,113.77655029296875,0.0003,0.2,0.0021077096411318053,0.0091288,78.83520259615034,-0.7226499831303954
38,137,77824,567,-3.1826284878048776,939.0487804878048,2090,0.8512546122074127,0.1115234375,0.46526041626930237,0.0003,0.2,-0.0031222551260725595,0.007719456,13.331375336833299,-0.7587657116353512
39,140,79872,566,-3.066249380952381,940.5,2100,0.40894049406051636,0.058056640625,53.83979034423828,0.0003,0.2,-0.0009994884763727895,0.004926395,83.46285235658289,-0.7453587176278234
40,144,81920,566,-2.3153625000000004,941.8837209302326,2110,0.8331594914197922,0.095947265625,0.6899430155754089,0.0003,0.2,0.00022599763178732246,0.006459271,22.06017731446773,-0.7309140477329492
41,149,83968,562,-2.4507831249999996,943.2045454545455,2120,0.6465684771537781,0.0837890625,0.7451673746109009,0.0003,0.2,3.6856717633781956e-05,0.008571345,43.63613766971976,-0.685560905188322
42,153,86016,561,-3.2301289010989005,945.0769230769231,2130,0.7341387271881104,0.06630859375,4.634154796600342,0.0003,0.2,-0.0036457733302086128,0.005882334,26.58753806427121,-0.7424565667286516
43,156,88064,562,-2.9413693870967736,946.258064516129,2140,0.6704154014587402,0.06083984375,0.7961071729660034,0.0003,0.2,-0.0009140598223893904,0.006552679,35.93846981935203,-0.6986092388629913
44,159,90112,564,-0.9280395999999992,941.8210526315789,2150,0.7390541136264801,0.064794921875,1.8162330389022827,0.0003,0.2,0.0006410638707166072,0.004787366,27.44640155415982,-0.7080141028389335
45,162,92160,566,0.17210815306122446,939.8673469387755,2160,0.4170736074447632,0.031591796875,10.439406394958496,0.0003,0.2,-0.00020240163867129012,0.002997119,54.38246376365423,-0.672406255453825
46,166,94208,566,-0.15872460000000005,941.07,2170,0.670432984828949,0.05810546875,4.086415767669678,0.0003,0.2,-0.000618384297558805,0.0056018853,56.76764146722853,-0.6564037734642625
47,169,96256,569,-0.06161884000000008,936.77,2180,0.9180157408118248,0.081396484375,0.8915714025497437,0.0003,0.2,0.002782009571819799,0.0046779136,12.356467943266034,-0.720286500826478
48,173,98304,567,-1.6206689899999995,934.1,2190,0.349925696849823,0.068505859375,1.7709475755691528,0.0003,0.2,-0.001863823359599337,0.005248758,90.69136819541454,-0.6718641644343734
49,175,100352,571,-3.0286831100000007,929.65,2200,0.5199027955532074,0.059033203125,67.09217834472656,0.0003,0.2,-0.0008314332189911511,0.008422013,88.23849345445633,-0.6603347873315215
