time/fps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/loss,train/explained_variance,train/clip_range,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/value_loss,train/learning_rate
756,-86.14948236000001,35,462.32,71680,94,8.37805461883545,0.0032393336296081543,0.2,-1.0092482466250658,0.07822265625,-0.005465321493829833,0.0060072453,340,38.71018187701702,0.0003
742,-82.52006673999999,36,479.26,73728,99,4.911218166351318,0.015788733959197998,0.2,-0.9241862339898944,0.13037109375,-0.008330993948766264,0.009135489,350,36.101639695465565,0.0003
736,-81.1813732,37,495.57,75776,102,5.930683612823486,0.05929487943649292,0.2,-0.9720388405025006,0.03076171875,-0.002895374737272505,0.0031241935,360,32.0673635289073,0.0003
731,-78.52998558000002,38,511.15,77824,106,6.892504692077637,0.1990489959716797,0.2,-0.9972744883969427,0.0470703125,-0.005578864867857192,0.006520789,370,19.80716617554426,0.0003
729,-77.14289299,39,525.93,79872,109,6.0493574142456055,0.14522099494934082,0.2,-0.9880572069436312,0.048046875,-0.004016821771438117,0.0055250134,380,28.28960254341364,0.0003
728,-73.39311067,40,542.57,81920,112,5.877710819244385,0.3317541480064392,0.2,-1.027076550014317,0.10947265625,-0.006332124848995591,0.008910473,390,21.809562735259533,0.0003
720,-69.82937491000001,41,556.39,83968,116,5.815837860107422,0.32657140493392944,0.2,-1.007951640151441,0.065869140625,-0.003955507405407843,0.0053996756,400,20.56810568869114,0.0003
714,-69.03437761,42,573.68,86016,120,2.1899492740631104,0.4472675919532776,0.2,-1.0134798986837268,0.065576171875,-0.004652362920023734,0.0067097805,410,20.087067459523677,0.0003
710,-67.08797748,43,589.35,88064,123,5.247584342956543,0.3068839907646179,0.2,-0.9633732898160815,0.027001953125,-0.0004953209314408014,0.003526745,420,20.641831946372985,0.0003
704,-64.20405785000001,44,605.87,90112,127,3.8128201961517334,0.20392215251922607,0.2,-0.993073077313602,0.10341796875,-0.0079094254411757,0.008117134,430,26.45897224098444,0.0003
697,-61.98845164,45,622.53,92160,132,3.515775442123413,0.45948177576065063,0.2,-0.9677324295043945,0.055810546875,-0.005102144955162658,0.00551843,440,17.04153812751174,0.0003
690,-57.94126237,46,647.83,94208,136,2.0799853801727295,0.18654203414916992,0.2,-0.9502232231199741,0.050927734375,-0.0040107403423462525,0.005688333,450,23.37139536589384,0.0003
