time/fps,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_range,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/loss,train/n_updates,train/approx_kl,train/entropy_loss,train/clip_fraction,train/explained_variance
718,156,55,112640,759.74,-46.101343370000016,0.2,-0.0024899739433749345,76.84941192865372,0.0003,14.850902557373047,540,0.0032373825,-0.9633790891617536,0.037060546875,0.6023665964603424
715,160,56,114688,767.79,-41.25868671999999,0.2,-0.0017471646177000366,142.49920658767223,0.0003,109.28697967529297,550,0.0036237172,-0.9316978037357331,0.023779296875,0.6013872921466827
716,162,57,116736,780.87,-38.480127360000004,0.2,-0.002517298788734479,74.73652770519257,0.0003,65.36344909667969,560,0.0070300596,-0.9318588400259614,0.0552734375,0.6801348328590393
715,165,58,118784,789.92,-35.18328226,0.2,-0.002259504586982075,81.9870412439108,0.0003,22.92430877685547,570,0.009605218,-0.8329621780663728,0.060595703125,0.6752542555332184
716,168,59,120832,800.19,-34.117289660000004,0.2,-0.001463620477443328,139.18700320273638,0.0003,74.6180648803711,580,0.0031406702,-0.860485526919365,0.021630859375,0.5656932592391968
715,171,60,122880,806.94,-32.92535547000001,0.2,-0.0038849063304951413,203.0411106824875,0.0003,28.899738311767578,590,0.0028551552,-0.8717882873490452,0.021923828125,0.5563098788261414
707,176,61,124928,818.43,-29.309561669999997,0.2,-0.0012361014432826778,56.972356277704236,0.0003,19.644990921020508,600,0.004465742,-0.9280293064191938,0.0443359375,0.8178485482931137
708,179,62,126976,828.09,-28.083616099999993,0.2,-0.0033169774724228773,96.54024497866631,0.0003,9.647283554077148,610,0.005586113,-0.8172113664448262,0.047314453125,0.6902906894683838
704,183,63,129024,837.48,-26.86225587000001,0.2,-0.005962548223033081,42.838824956864116,0.0003,3.275766134262085,620,0.008846727,-0.9737039284780622,0.110595703125,0.8445319980382919
700,187,64,131072,842.97,-24.649548669999998,0.2,-0.0028337139538052725,81.99769845455884,0.0003,7.006791114807129,630,0.008648459,-0.9353068100288511,0.04794921875,0.8828005343675613
700,190,65,133120,849.27,-24.507629769999994,0.2,-0.0022820739657618107,105.02122846245766,0.0003,12.620631217956543,640,0.0071790707,-0.8142745492979884,0.05869140625,0.7250662744045258
695,194,66,135168,864.59,-21.844001349999996,0.2,-0.00335475090687396,33.79214213341474,0.0003,3.728679895401001,650,0.007514721,-0.9339549507945776,0.068994140625,0.823491171002388
690,198,67,137216,872.18,-21.075591810000002,0.2,-0.002118514482572209,44.01538476720452,0.0003,6.257737159729004,660,0.008904099,-0.9532118337228894,0.085791015625,0.9082398042082787
689,201,68,139264,872.61,-18.55514302,0.2,-0.004081843439416843,65.05960958003998,0.0003,39.99361038208008,670,0.0050533777,-0.8507077295333147,0.061767578125,0.7924673706293106
688,205,69,141312,872.88,-16.08517655,0.2,-0.0015259657200658693,46.412016458809376,0.0003,3.682685613632202,680,0.0066255173,-0.8731095887720585,0.050048828125,0.8930713012814522
685,209,70,143360,871.1,-12.567641110000002,0.2,-0.002937920028489316,87.77346961200237,0.0003,18.342702865600586,690,0.0048324848,-0.8412236409261823,0.03935546875,0.6107427477836609
686,211,71,145408,878.79,-10.526442839999998,0.2,-0.0024648564714880193,109.86751963496208,0.0003,7.019762992858887,700,0.0039415546,-0.8319508239626885,0.0275390625,0.639287918806076
683,215,72,147456,883.74,-8.588652060000001,0.2,-0.0018211962233181112,22.35806216299534,0.0003,3.663635492324829,710,0.00664558,-0.9478630596771837,0.100244140625,0.8874251246452332
683,218,73,149504,879.91,-9.72323082,0.2,-0.0012226303522766102,72.75841655433177,0.0003,41.4930305480957,720,0.0062318332,-0.853454690054059,0.036328125,0.6810261607170105
684,221,74,151552,876.06,-9.17711089,0.2,-0.002758329862263054,55.80448821857571,0.0003,13.671871185302734,730,0.0036924656,-0.8342791266739369,0.041943359375,0.7306270897388458
