time/iterations,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/approx_kl,train/entropy_loss,train/explained_variance,train/clip_range,train/n_updates,train/loss,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/clip_fraction
37,457.73,75776,905,-92.87920149000001,83,0.00709022,-0.9520743442699313,0.585731029510498,0.2,360,44.41551971435547,0.0003,-0.007911485697695753,133.63506858348848,0.06357421875
38,478.01,77824,892,-90.69851095000001,87,0.008803358,-0.9905875945463777,0.6356416642665863,0.2,370,21.70125961303711,0.0003,-0.009862921416060998,59.904862678050996,0.106591796875
39,495.14,79872,878,-87.03083795999999,90,0.011895907,-1.0307716619223357,0.677078127861023,0.2,380,12.108203887939453,0.0003,-0.006103033012186643,66.47836485803127,0.107568359375
40,511.88,81920,868,-85.56448455,94,0.008671004,-1.0804148960858584,0.3288913369178772,0.2,390,11.733200073242188,0.0003,-0.008303731369232991,45.04776876866818,0.129296875
41,528.37,83968,860,-82.55705561999999,97,0.011327656,-1.0590778397396208,0.5297311246395111,0.2,400,3.0311121940612793,0.0003,-0.010232831272878684,17.25975705385208,0.145263671875
42,545.11,86016,851,-78.92278299,101,0.00895621,-0.983567968197167,0.6116063296794891,0.2,410,7.150943756103516,0.0003,-0.00931976334322826,51.24829556941986,0.128662109375
43,560.24,88064,843,-77.22499715999999,104,0.0081835175,-1.011161333695054,0.7759873867034912,0.2,420,3.2795393466949463,0.0003,-0.00457163603787194,30.03107639849186,0.07880859375
44,576.22,90112,830,-73.71740491,108,0.007436555,-1.0417963424697518,0.5344019830226898,0.2,430,3.134774684906006,0.0003,-0.010005087545869174,18.36802290380001,0.106103515625
45,590.83,92160,825,-72.32429013,111,0.0044755423,-1.0581733472645283,0.5387372970581055,0.2,440,6.729735851287842,0.0003,-0.0034854355428251436,66.879305832088,0.044140625
46,605.8,94208,812,-70.75314892000002,115,0.0059455074,-0.8888014301657676,0.6608095765113831,0.2,450,5.30175256729126,0.0003,-0.0020020989344629926,98.25283203125,0.022802734375
47,622.43,96256,806,-70.04588967000001,119,0.0072961682,-1.0215399077162146,0.7311078011989594,0.2,460,4.762025833129883,0.0003,-0.0024266225060273427,50.755264000594615,0.080908203125
48,636.7,98304,804,-65.30878152999999,122,0.00421309,-0.9164780452847481,0.9205834940075874,0.2,470,7.473588943481445,0.0003,-0.002882377523201285,25.395004899054765,0.04267578125
49,651.07,100352,800,-64.39597344,125,0.008615371,-0.9447902387008071,0.8380619287490845,0.2,480,2.3499038219451904,0.0003,-0.004281359451124444,41.29287548884749,0.092041015625
50,662.14,102400,801,-65.30879192,127,0.0032688775,-0.9802420737221837,0.489086389541626,0.2,490,3.018662691116333,0.0003,-0.0014129486698948313,107.75910841226577,0.0263671875
51,674.93,104448,795,-61.7909785,131,0.005695776,-0.9785451795905828,0.6872925162315369,0.2,500,61.025550842285156,0.0003,-0.003178774744446855,89.21806852519512,0.038671875
52,683.67,106496,794,-61.28099848,133,0.006716773,-0.9528734240680933,0.7834846824407578,0.2,510,23.627288818359375,0.0003,-0.004064014955292805,52.58441761955619,0.03955078125
53,694.89,108544,791,-58.87964517,137,0.0044553177,-1.0089969059452415,0.7821213155984879,0.2,520,36.72978210449219,0.0003,-0.003259119081485551,102.04085476845503,0.03134765625
54,709.48,110592,785,-54.54267901000001,140,0.0070630745,-1.013704926520586,0.8252521306276321,0.2,530,14.275629997253418,0.0003,-0.006590784381842241,44.763990610092875,0.06689453125
55,725.86,112640,783,-49.44410330000001,143,0.015228672,-0.9184828847646713,0.6921307742595673,0.2,540,64.25359344482422,0.0003,-0.0062523248860088644,114.7061381161213,0.05107421875
56,738.26,114688,777,-44.63197485,147,0.0055572013,-0.8801696827635169,0.32430368661880493,0.2,550,106.94432830810547,0.0003,-0.0030254886572947727,199.50045690387486,0.019189453125
57,753.4,116736,773,-39.22624018,150,0.0071080667,-0.9528076574206352,0.3647530674934387,0.2,560,51.81240463256836,0.0003,-0.00336575123728835,118.79673651307822,0.0533203125
58,762.13,118784,769,-33.788562309999996,154,0.0026327,-0.8393580904230475,0.34618788957595825,0.2,570,15.33013916015625,0.0003,-0.0005424520542874234,123.28860096633434,0.01494140625
