rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/learning_rate,train/clip_range,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/loss,train/explained_variance,train/n_updates,train/value_loss
-48.23222302,740,127,94208,46,662.29,0.0003,0.2,-0.9618214780464769,0.0071689095,-0.002460630267887609,0.060986328125,3.2599589824676514,0.5848526954650879,450,27.19783816114068
-48.54519133999998,738,130,96256,47,671.11,0.0003,0.2,-0.9155980149284005,0.008367021,-0.005141708142036805,0.0900390625,5.992847442626953,0.6727940440177917,460,53.841798746585845
-43.27417813,730,134,98304,48,687.58,0.0003,0.2,-0.9415407681837678,0.0028750428,-0.0018353019520873203,0.0484375,0.9503995776176453,0.5224086046218872,470,28.035186650976538
-42.84742183,722,138,100352,49,703.81,0.0003,0.2,-0.9508364524692297,0.0069030575,-0.004467315031797625,0.08515625,0.9447514414787292,0.7560415416955948,480,27.521976094320415
-42.434824840000005,725,141,102400,50,718.69,0.0003,0.2,-0.9158546049147844,0.0046017244,-0.0011264204367762432,0.034912109375,3.0259101390838623,0.7425034642219543,490,51.14715554863214
-39.12470413999999,727,143,104448,51,729.56,0.0003,0.2,-0.9333693780004978,0.0054913373,-0.0017975695787754375,0.038427734375,7.886573791503906,0.21126121282577515,500,90.23173325508833
-36.10853424999999,727,146,106496,52,737.43,0.0003,0.2,-0.8997672608122229,0.0038157185,-0.002592129168624524,0.0255859375,246.6786651611328,0.5337333679199219,510,173.53868017196655
-34.115553909999996,725,149,108544,53,745.83,0.0003,0.2,-0.8582771755754948,0.00520928,-0.002796214525733376,0.02294921875,79.65714263916016,0.6570484936237335,520,138.93055634498597
-28.09430186,717,154,110592,54,762.89,0.0003,0.2,-0.8755984269082546,0.0036155246,-0.0008500200667185709,0.028076171875,6.334805965423584,0.7552111595869064,530,66.32437979802489
-27.391065209999997,718,156,112640,55,768.58,0.0003,0.2,-0.8507868323475123,0.009989322,-0.004402925285830861,0.0689453125,3.221273183822632,0.7341409921646118,540,89.35024909377098
-23.44150164,714,160,114688,56,783.82,0.0003,0.2,-0.8588013237342238,0.0025092475,-0.0016004265591618605,0.007421875,11.11984634399414,0.6195365488529205,550,137.88975390195847
-23.391170560000006,713,163,116736,57,798.12,0.0003,0.2,-0.7651329575106501,0.0067025987,-0.0012751424925227183,0.072412109375,3.9554877281188965,0.9276334196329117,560,33.36535883005708
-22.986206309999993,707,167,118784,58,803.45,0.0003,0.2,-0.8297056630253792,0.010414453,-0.0032151610852451996,0.051318359375,27.432817459106445,0.7673300504684448,570,134.79418358877302
-20.850891819999994,705,171,120832,59,818.61,0.0003,0.2,-0.8521211909130215,0.007375147,-0.001498904769687215,0.043359375,163.37918090820312,0.681889533996582,580,120.76382569745184
-18.879281809999995,702,174,122880,60,825.97,0.0003,0.2,-0.8052791122347116,0.008435,-0.0012195870949653909,0.110107421875,0.4214581549167633,0.8850903362035751,590,39.84237281084061
-17.43018579,697,179,124928,61,832.69,0.0003,0.2,-0.7802288943901659,0.0076365434,-0.0018196591139712837,0.06826171875,0.48806169629096985,0.9008828401565552,600,34.716448900476095
-15.626960250000003,694,182,126976,62,835.69,0.0003,0.2,-0.8054202038794755,0.005874646,-0.002377017204707954,0.080712890625,2.249678134918213,0.8936795145273209,610,31.601863006409257
-14.11351407,691,186,129024,63,850.48,0.0003,0.2,-0.736984865553677,0.004147797,-0.0024455867056531132,0.044580078125,4.1239914894104,0.7592823505401611,620,52.952812512218955
-13.055750499999998,690,189,131072,64,861.01,0.0003,0.2,-0.787920244410634,0.003143398,-0.0015744875228847377,0.02353515625,121.56645202636719,0.6606525182723999,630,131.0100731819868
-9.24903015,691,192,133120,65,865.6,0.0003,0.2,-0.8462017377838492,0.0044841175,-0.0005957245593890548,0.054736328125,3.52262806892395,0.7907160818576813,640,80.95070118382573
-10.351831540000003,693,194,135168,66,857.67,0.0003,0.2,-0.7506739782169461,0.007627616,-0.0032324164123565422,0.082373046875,70.28451538085938,0.7898254841566086,650,93.22212876155973
-8.963331420000005,694,197,137216,67,865.22,0.0003,0.2,-0.8025991940870881,0.008606492,-0.0025409270041564015,0.096044921875,83.03022003173828,0.6609964370727539,660,203.90435538887976
-7.440519710000003,694,200,139264,68,868.37,0.0003,0.2,-0.7808904023841023,0.00496317,-0.000841578943800414,0.041796875,10.840486526489258,0.6597007513046265,670,169.85410495102406
-9.58183226,694,203,141312,69,872.01,0.0003,0.2,-0.6805014157667756,0.004317329,-0.001380489552138897,0.04521484375,68.3056411743164,0.696022242307663,680,119.15148717314005
-6.470979270000003,695,206,143360,70,873.28,0.0003,0.2,-0.7641756799072027,0.010346882,-0.004056399156615953,0.106396484375,2.130765676498413,0.8839515075087547,690,36.5537096593529
-8.759376180000004,697,208,145408,71,853.14,0.0003,0.2,-0.7196098569780588,0.0068361335,-0.0035087948745058384,0.0896484375,14.300091743469238,0.7266412377357483,700,107.31803695186973
-9.776422120000005,696,211,147456,72,849.99,0.0003,0.2,-0.7970017863437533,0.003507434,-0.0027517625312611926,0.040087890625,52.780574798583984,0.6194331347942352,710,196.8862026900053
-8.509341340000002,693,215,149504,73,849.79,0.0003,0.2,-0.7709213109686971,0.0038906387,-0.0025655051009380258,0.044091796875,7.389162540435791,0.7802394479513168,720,117.40759297311305
-8.033589490000002,693,218,151552,74,838.55,0.0003,0.2,-0.7304668610915541,0.009034336,-0.0051506928233720824,0.1658203125,271.01861572265625,0.788253515958786,730,84.14636159688234
-7.970053680000001,693,221,153600,75,822.1,0.0003,0.2,-0.7781941713765264,0.008540043,-0.002037263271631673,0.052099609375,357.54296875,0.7637513428926468,740,120.92268535196781
-9.492979160000004,692,224,155648,76,815.95,0.0003,0.2,-0.7481117395684123,0.0042087976,-0.001157497331587365,0.035595703125,87.33660888671875,0.663467139005661,750,156.48584283590316
-5.742625170000002,692,227,157696,77,812.8,0.0003,0.2,-0.7385411022230983,0.008546075,-0.002388864808744984,0.069580078125,3.467270612716675,0.8355603069067001,760,66.24357118345797
-4.30732602,694,230,159744,78,792.02,0.0003,0.2,-0.6696117410436273,0.013676846,-0.006722314497892512,0.078564453125,29.07440948486328,0.538644403219223,770,128.71187470406295
0.11540106999999893,694,232,161792,79,775.76,0.0003,0.2,-0.7916931534186006,0.00508832,-0.003089966355037177,0.036669921875,419.1864929199219,0.1769634485244751,780,238.45837681889535
2.033581059999998,695,235,163840,80,756.3,0.0003,0.2,-0.6175127484835684,0.0157393,-0.00460134498134721,0.068603515625,72.01148986816406,0.40356141328811646,790,196.60377381443976
2.964547499999999,696,238,165888,81,745.98,0.0003,0.2,-0.7851882841438055,0.008980362,-0.001141753980118665,0.07373046875,116.86664581298828,0.20087099075317383,800,204.24757173955442
2.9369062999999995,695,241,167936,82,736.79,0.0003,0.2,-0.7192163739353419,0.006249905,-0.0011720920949301217,0.083154296875,29.38528060913086,0.5019158124923706,810,111.95211142599582
4.76564642,696,243,169984,83,714.73,0.0003,0.2,-0.7488655438646674,0.007740163,-0.0027199200572795234,0.1134765625,22.48763084411621,0.26885223388671875,820,155.09205432981253
5.451130770000001,699,245,172032,84,697.04,0.0003,0.2,-0.7333474660292267,0.008380817,-0.003242224219138734,0.071875,149.69033813476562,0.40026265382766724,830,177.20614653527736
