time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,train/approx_kl,train/value_loss,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/clip_fraction,train/learning_rate,train/loss
34816,26,-136.37622553999998,183.58,17,1297,0.007448637,419.11692049503324,160,-0.038979291915893555,-0.005857377854408696,-1.114734986424446,0.2,0.015283203125,0.0003,304.36163330078125
36864,28,-136.2599046,193.54,18,1293,0.0060535874,232.5608195066452,170,0.1648719310760498,-0.004635117042198544,-1.1819417405873538,0.2,0.02216796875,0.0003,74.0265121459961
38912,30,-132.90941905999998,205.71,19,1264,0.0075597446,394.67326107025144,180,-0.06830060482025146,-0.006269199179951101,-1.1147587932646275,0.2,0.04375,0.0003,165.02200317382812
40960,33,-131.28522821,218.69,20,1240,0.007012859,208.98526360988618,190,0.3634492754936218,-0.005071565686375834,-1.1731716115027666,0.2,0.039404296875,0.0003,60.61058044433594
43008,35,-125.52416978000001,230.16,21,1225,0.004555678,290.28785557746886,200,0.3415454626083374,-0.005071000035968609,-1.1676900189369916,0.2,0.019287109375,0.0003,93.80089569091797
45056,36,-123.51911718,234.09,22,1229,0.0059041074,196.34969993829728,210,0.49008435010910034,-0.004012058128864737,-1.0865109533071518,0.2,0.024462890625,0.0003,28.009132385253906
47104,39,-119.90146293,243.69,23,1205,0.009842112,396.9579322338104,220,0.2979753613471985,-0.007338448442169465,-1.0888485990464687,0.2,0.0974609375,0.0003,143.59133911132812
49152,41,-117.04494538,257.71,24,1194,0.00886145,188.47137694358827,230,0.6809753775596619,-0.0048133277974557135,-1.127495728060603,0.2,0.038720703125,0.0003,63.95399856567383
51200,43,-117.91813228999999,265.6,25,1169,0.0076860837,201.12933225631713,240,0.5971423089504242,-0.008533488556713565,-1.1207411866635084,0.2,0.047216796875,0.0003,38.91594696044922
53248,46,-115.83896735,275.24,26,1140,0.0073674135,207.50708490610123,250,0.5181606709957123,-0.005582424800377339,-1.092130010575056,0.2,0.020263671875,0.0003,35.252220153808594
55296,49,-113.70379277000004,290.55,27,1127,0.009055163,74.08133068084717,260,0.767764687538147,-0.004869689501356333,-1.1096878562122583,0.2,0.068359375,0.0003,17.488649368286133
57344,51,-110.42643635999998,307.57,28,1112,0.0063819457,204.77653000354766,270,0.6416047811508179,-0.008952508618676802,-1.0688090343028307,0.2,0.037548828125,0.0003,92.35317993164062
59392,54,-107.07635994999998,313.32,29,1086,0.007316651,164.15034513473512,280,0.6594210863113403,-0.007249017397407442,-1.0623631270602345,0.2,0.067822265625,0.0003,197.4000701904297
61440,57,-104.14226906,329.03,30,1063,0.009445449,92.46380039453507,290,0.7414717078208923,-0.007193780336820055,-1.1240360025316476,0.2,0.061767578125,0.0003,48.29734802246094
63488,60,-102.70464396,349.72,31,1054,0.008905093,78.39815784692765,300,0.7950744479894638,-0.0074910258961608635,-1.026476221345365,0.2,0.097119140625,0.0003,26.49066925048828
65536,63,-98.09583791000001,365.43,32,1032,0.006140506,141.8894709765911,310,0.6948220431804657,-0.007848821455263532,-0.974449940957129,0.2,0.051416015625,0.0003,44.7427978515625
67584,66,-96.86400948999999,380.64,33,1021,0.006757593,75.35738167762756,320,0.7572025060653687,-0.006480392686353298,-1.0184107426553966,0.2,0.043359375,0.0003,21.221446990966797
69632,69,-92.50434236,394.83,34,1003,0.006684593,143.91128638982772,330,0.5328269302845001,-0.004577960977621842,-1.033548202738166,0.2,0.03349609375,0.0003,23.365848541259766
71680,72,-89.27189459000002,411.55,35,988,0.016477741,135.24645645022392,340,0.6116250157356262,-0.00847521375544602,-1.0742204565554858,0.2,0.093310546875,0.0003,100.44764709472656
73728,76,-87.71414573,429.33,36,959,0.010636914,46.38263921439648,350,0.8357474207878113,-0.0029886063210142312,-1.0239727273583412,0.2,0.06416015625,0.0003,5.021218776702881
75776,79,-85.30989096999998,446.19,37,948,0.006150009,77.0761754721403,360,0.753406435251236,-0.005786793540028157,-1.0017935194075107,0.2,0.095947265625,0.0003,7.054408550262451
77824,82,-81.67090952000001,461.92,38,943,0.008306395,31.923993229866028,370,0.8538342863321304,-0.008629541344271274,-0.897368435934186,0.2,0.099658203125,0.0003,8.059377670288086
79872,85,-77.8111696,472.81,39,935,0.010888249,46.2070735424757,380,0.8361189365386963,-0.005790183429053286,-1.0122734250500798,0.2,0.0818359375,0.0003,4.361428737640381
81920,87,-76.47808274,490.07,40,932,0.006410213,103.25479063540698,390,0.5739810168743134,-0.005026656948757591,-0.9563211061060428,0.2,0.019482421875,0.0003,287.6271057128906
83968,90,-76.8135975,493.85,41,923,0.0062728496,109.743388402462,400,0.6151157021522522,-0.004159875886398367,-0.8998072396963834,0.2,0.070263671875,0.0003,13.79417896270752
86016,95,-72.86985823,516.0,42,905,0.0049898373,85.35425281226635,410,0.6562710404396057,-0.0027280988775601144,-0.9696042204275728,0.2,0.035498046875,0.0003,32.09336853027344
88064,98,-71.34934627,530.32,43,894,0.006761172,117.23045825064182,420,0.5709183812141418,-0.00512206951098051,-1.0007823638617992,0.2,0.07353515625,0.0003,48.32211685180664
90112,101,-67.54233856999998,546.01,44,884,0.009587584,39.714723102748394,430,0.6721964180469513,-0.005109745539084542,-1.0031027991324664,0.2,0.082861328125,0.0003,9.043746948242188
92160,105,-64.01593193999999,563.77,45,872,0.009164853,86.2202372416854,440,0.5839096009731293,-0.004280133559223032,-0.9345997849479317,0.2,0.081884765625,0.0003,17.932403564453125
94208,109,-62.01062491999999,578.88,46,863,0.004595056,107.0109216734767,450,0.6723636090755463,-0.004897586056176806,-0.9858404120430351,0.2,0.048583984375,0.0003,31.404747009277344
96256,112,-58.75737053999998,593.13,47,857,0.0048695225,46.97147081568837,460,0.8270516991615295,-0.003176885823631892,-0.9215463975444436,0.2,0.072802734375,0.0003,1.6123833656311035
98304,115,-59.28334334999999,607.98,48,848,0.008520743,44.19048171043396,470,0.7832006365060806,-0.007757844879233744,-0.9528705786913634,0.2,0.098046875,0.0003,5.4283576011657715
100352,119,-56.18271794,623.43,49,837,0.007931673,55.86864810883999,480,0.6664420664310455,-0.0010267687464875052,-0.9916804796084762,0.2,0.06591796875,0.0003,14.693252563476562
102400,122,-56.98760605,630.63,50,835,0.0063630636,39.148727007210255,490,0.8113468885421753,-0.005662383067829069,-0.9236527314409614,0.2,0.142626953125,0.0003,3.537402391433716
104448,126,-52.61947214999999,645.96,51,822,0.004359998,111.8899406656623,500,0.5793613195419312,-0.0019536162453732686,-0.9110649980604648,0.2,0.02509765625,0.0003,26.312206268310547
106496,129,-52.84861703999999,653.66,52,822,0.0066030454,34.298294733837245,510,0.853069931268692,-0.0011049880587961525,-0.8721348363906145,0.2,0.03740234375,0.0003,1.9537639617919922
108544,132,-48.997430489999985,667.24,53,819,0.008559728,30.46347125172615,520,0.9012333229184151,-0.0035906704870285466,-0.7488431392237545,0.2,0.054736328125,0.0003,1.8343379497528076
110592,136,-48.032234949999996,677.89,54,811,0.0064924695,66.62303637862206,530,0.7941983640193939,-0.0038655528624076396,-0.7222449453547597,0.2,0.0708984375,0.0003,68.03477478027344
112640,139,-41.552839799999994,695.41,55,808,0.038223505,149.01179437488318,540,0.5841462314128876,-0.007215627497498644,-0.7806812351569533,0.2,0.086376953125,0.0003,15.916230201721191
