time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/approx_kl,train/policy_gradient_loss,train/loss,train/clip_fraction,train/n_updates,train/value_loss,train/explained_variance,train/learning_rate,train/clip_range,train/entropy_loss
92160,45,603.52,799,-56.51984492,115,0.0057685054,-0.004308891876280541,13.77241325378418,0.037548828125,440,88.81632462143898,0.6080822348594666,0.0003,0.2,-0.820454697869718
94208,46,619.51,797,-56.54235471,118,0.011947382,-0.009258692213188624,2.8599050045013428,0.149560546875,450,29.975650983303787,0.8344029635190964,0.0003,0.2,-0.8654927488416433
96256,47,627.35,790,-56.14016602999999,121,0.0070055677,-0.0010029573313659057,1.8658162355422974,0.04521484375,460,32.93906172215939,0.7820581644773483,0.0003,0.2,-0.9116953251883387
98304,48,622.64,790,-52.918919779999996,124,0.008963542,-0.002636695998808136,3.726569890975952,0.08310546875,470,53.04478797316551,0.781645804643631,0.0003,0.2,-0.9086833288893104
100352,49,624.64,791,-51.645925430000005,126,0.0037811168,-0.0033629621590080204,17.7988224029541,0.026123046875,480,204.40047110915185,0.526244193315506,0.0003,0.2,-0.686167686060071
102400,50,641.0,789,-49.33555228,129,0.008213619,-0.003343173638859298,334.5398864746094,0.059765625,490,105.96568805724382,0.6240195333957672,0.0003,0.2,-0.8971241535618901
104448,51,661.01,789,-46.919606259999995,132,0.010021457,-0.002392401627730578,2.5765140056610107,0.064208984375,500,45.24784556850791,0.8403690308332443,0.0003,0.2,-0.9085485234856605
106496,52,661.66,781,-45.4593815,136,0.008934123,-0.003239424151252024,24.915063858032227,0.067578125,510,105.08019085228443,0.7487101852893829,0.0003,0.2,-0.9278576908633113
108544,53,677.71,778,-43.297430410000004,139,0.0061088614,-0.002132860663186875,2.631174325942993,0.0416015625,520,35.48852505385876,0.8725118041038513,0.0003,0.2,-0.7985679740086198
110592,54,685.93,777,-43.14037808,142,0.0027295137,-0.0031662709665397416,1.6391637325286865,0.04326171875,530,38.0191792011261,0.8572453111410141,0.0003,0.2,-0.8171430332586169
112640,55,692.56,773,-41.37272900000001,145,0.008886609,-0.0005340263669495471,1.9306849241256714,0.03359375,540,47.95122930034995,0.8668084591627121,0.0003,0.2,-0.8784960886463523
114688,56,707.38,771,-38.72091762,148,0.0049564084,-0.002602157496585278,1.0139365196228027,0.049169921875,550,41.48912703432143,0.8805875033140182,0.0003,0.2,-0.8692968541756272
116736,57,722.76,771,-36.87115133,151,0.0077710785,-0.007336347537057008,2.503281354904175,0.11142578125,560,41.39604168944061,0.8826485574245453,0.0003,0.2,-0.8569902403280139
118784,58,737.25,769,-35.20559541,154,0.008992781,-0.00569053805375006,2.0973029136657715,0.102001953125,570,37.22856393139809,0.8910258114337921,0.0003,0.2,-0.746073784865439
120832,59,746.52,769,-32.95651511,156,0.0054695355,-0.0007027260988252237,3.9130876064300537,0.042724609375,580,46.231076166406275,0.8625043779611588,0.0003,0.2,-0.7540144307538867
122880,60,754.74,768,-33.69480602999999,159,0.004232482,-0.0016317769641318591,224.46339416503906,0.019287109375,590,107.81421227902175,0.785986602306366,0.0003,0.2,-0.7501386679708958
124928,61,757.94,765,-31.474398689999994,163,0.007112896,-0.002548341355213779,3.0482869148254395,0.056982421875,600,31.719320130348205,0.9090144261717796,0.0003,0.2,-0.7444631973281503
126976,62,774.98,767,-24.067768889999996,165,0.0039746743,-0.0023255766256625064,53.57339096069336,0.077587890625,610,69.10737713165581,0.825298085808754,0.0003,0.2,-0.6836747158318758
129024,63,786.63,768,-21.20077129,167,0.009518642,-0.005840583782992325,3.170712471008301,0.0517578125,620,136.01774477735162,0.7286494374275208,0.0003,0.2,-0.7579735459759831
131072,64,798.54,768,-16.56418269,170,0.0052590715,-0.0026978359339409506,60.07268524169922,0.055126953125,630,181.52533675432204,0.638575941324234,0.0003,0.2,-0.6689612792804838
133120,65,794.54,771,-6.615842479999997,172,0.013138897,-0.005747297113703098,18.574077606201172,0.049169921875,640,142.58682313859464,0.691381424665451,0.0003,0.2,-0.6466019000858069
