time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/learning_rate,train/n_updates,train/std,train/clip_range,train/loss,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/explained_variance
35,-67.20865366999999,546.04,561,71680,127,-2.5359525829553604,0.0003,340,0.8580573201179504,0.2,31.67675018310547,82.52800877988338,0.04384765625,-0.006138620137062389,0.0052050864,0.6250391006469727
36,-62.15248688,570.12,557,73728,132,-2.512483960390091,0.0003,350,0.8473280668258667,0.2,270.3533630371094,44.37213143706322,0.076953125,-0.0034105833125067874,0.0066178413,0.8335404694080353
37,-61.99887390999999,577.97,556,75776,136,-2.488494532555342,0.0003,360,0.8365820050239563,0.2,4.725569248199463,94.48564562648535,0.05830078125,-0.0013950500513601582,0.0053661154,0.6377656757831573
38,-58.55617691,594.59,550,77824,141,-2.4448627665638925,0.0003,370,0.8134403228759766,0.2,3.5800983905792236,40.14330568239093,0.07373046875,-0.00245475481642643,0.0067044515,0.8328548669815063
39,-58.02287294,611.16,547,79872,145,-2.4123033843934536,0.0003,380,0.8085147142410278,0.2,5.104984283447266,41.3310137540102,0.12119140625,-0.0044047544630302585,0.01083248,0.841337263584137
40,-54.24620820999999,628.31,545,81920,150,-2.3837052546441555,0.0003,390,0.7910666465759277,0.2,3.8080227375030518,27.082212363183498,0.0974609375,-0.005878364498494193,0.009975885,0.8326058834791183
41,-51.956303319999996,644.53,539,83968,155,-2.3381526112556457,0.0003,400,0.7718214988708496,0.2,3.453667402267456,37.365623373538256,0.03359375,-0.002858074074902106,0.0059465566,0.8169701248407364
42,-47.75024575999999,656.21,531,86016,161,-2.3145833276212215,0.0003,410,0.7733145952224731,0.2,3.290602445602417,38.76549865454435,0.090625,-0.007110426799044944,0.008275932,0.8090173453092575
43,-48.235426499999996,674.59,530,88064,166,-2.319534882903099,0.0003,420,0.7748921513557434,0.2,22.0489444732666,72.4469782859087,0.082275390625,-0.0011713072854036,0.009049695,0.6172298491001129
44,-43.53178554,690.05,525,90112,171,-2.319252681732178,0.0003,430,0.7731109857559204,0.2,25.687049865722656,147.38151076436043,0.0419921875,-0.007118677757171099,0.0051310426,0.31459563970565796
45,-40.84533369,705.87,521,92160,176,-2.296370726823807,0.0003,440,0.7572916746139526,0.2,8.639216423034668,48.92530604153872,0.087158203125,-0.0045217140432214364,0.008047395,0.6757944226264954
46,-38.640437430000006,722.08,519,94208,181,-2.2717291191220284,0.0003,450,0.7527128458023071,0.2,5.362091541290283,42.641185990720984,0.090234375,-0.003123812343983445,0.007902668,0.6541646420955658
47,-33.54064188,742.9,516,96256,186,-2.2548224054276944,0.0003,460,0.7446696758270264,0.2,4.464742183685303,64.33747581541539,0.052392578125,-0.0019912205782020463,0.0052346233,0.5353882610797882
48,-32.24127138,755.86,515,98304,190,-2.2318410739302634,0.0003,470,0.7356446981430054,0.2,5.755506992340088,71.78659352958202,0.0912109375,-0.004043812182499096,0.008057647,0.37470513582229614
49,-30.588438569999997,772.25,514,100352,195,-2.2207021370530127,0.0003,480,0.7367336750030518,0.2,5.098570346832275,67.21887682899833,0.046142578125,-0.005546722198050702,0.0054067164,0.43166643381118774
50,-26.82819342,787.83,516,102400,198,-2.22233474701643,0.0003,490,0.7361449003219604,0.2,4.011436462402344,23.221197240054607,0.1259765625,-0.004155495291342959,0.0104672145,0.7267216444015503
51,-21.573011729999997,803.59,517,104448,201,-2.2181928642094135,0.0003,500,0.7355124950408936,0.2,38.422332763671875,153.50518816709518,0.034912109375,-0.0015747285695397295,0.0028135618,0.38946253061294556
52,-20.654149149999995,809.12,515,106496,206,-2.2029721036553385,0.0003,510,0.7249389290809631,0.2,7.303758144378662,109.09355216026306,0.059130859375,-0.003143827999883797,0.0077990326,0.5458322763442993
53,-19.484815120000004,815.62,514,108544,210,-2.1837755493819713,0.0003,520,0.7230710387229919,0.2,40.30316925048828,48.674600867927076,0.059716796875,-0.004504568758056849,0.007059985,0.6916219890117645
54,-17.66080592,823.72,511,110592,216,-2.188578113168478,0.0003,530,0.7250275611877441,0.2,1.6558353900909424,29.756419441848994,0.1046875,-0.003508455786504783,0.008683843,0.7440631091594696
