rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/n_updates,train/clip_fraction,train/entropy_loss,train/explained_variance,train/learning_rate,train/loss,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/clip_range
-122.88178349000002,162.86,14,1174,24,28672,130,0.02421875,-1.1400466099381448,0.04179549217224121,0.0003,236.59437561035156,477.98635654449464,0.004657863,-0.007116008746379521,0.2
-122.97828106000001,174.51,15,1161,26,30720,140,0.045947265625,-1.1005886282771826,0.17144298553466797,0.0003,149.49014282226562,220.28468251228333,0.010333266,-0.006528605834319023,0.2
-120.08967492999999,186.43,16,1153,28,32768,150,0.075390625,-1.0630103077739477,0.19454872608184814,0.0003,86.66783905029297,311.6689031600952,0.008587573,-0.00801683496683836,0.2
-116.81631372,203.38,17,1110,31,34816,160,0.052197265625,-1.0747179478406905,0.2906283140182495,0.0003,204.46261596679688,379.8905370235443,0.0056312075,-0.006122213027265388,0.2
-113.63098559999999,217.61,18,1085,33,36864,170,0.03525390625,-1.0558664515614509,0.37568020820617676,0.0003,170.84634399414062,300.987282538414,0.0068943365,-0.005338407869567163,0.2
-112.47103411999998,228.16,19,1085,35,38912,180,0.04970703125,-1.113609205558896,0.23829048871994019,0.0003,62.404632568359375,288.22837409973147,0.0054343226,-0.008498768364370335,0.2
-110.37343634000001,244.21,20,1056,38,40960,190,0.092529296875,-1.0606477972120048,0.19716095924377441,0.0003,143.95736694335938,352.58034586906433,0.009495213,-0.005734600272262469,0.2
-107.23352123000001,257.84,21,1037,41,43008,200,0.089990234375,-1.0881804727017879,0.4913825988769531,0.0003,40.32746124267578,143.24249132871628,0.00989223,-0.010471999696164858,0.2
-102.21208227000002,270.08,22,1015,44,45056,210,0.05166015625,-1.018473083898425,0.137806236743927,0.0003,142.41738891601562,265.02966887950896,0.007543575,-0.007738594822876621,0.2
-102.65213249,287.69,23,1000,47,47104,220,0.092041015625,-0.9088465858250856,0.4130958318710327,0.0003,97.80606842041016,229.21863315105438,0.014021546,-0.007597648035152815,0.2
-99.85896766999998,306.78,24,979,50,49152,230,0.06220703125,-1.0005492495372892,0.24293231964111328,0.0003,96.2761001586914,190.3155797123909,0.0067978054,-0.005876154438010417,0.2
-98.04362921999999,322.23,25,958,53,51200,240,0.047607421875,-0.8941688366234303,0.2963402271270752,0.0003,61.97138214111328,215.7702799320221,0.0073197857,-0.00717484590204549,0.2
-98.07071112,334.36,26,936,56,53248,250,0.170654296875,-1.1000212498009205,0.5645626783370972,0.0003,14.996781349182129,65.19661083221436,0.01138516,-0.010790262372756843,0.2
-93.11205732000002,351.2,27,901,61,55296,260,0.030029296875,-0.9018234351649881,0.647657960653305,0.0003,124.37508392333984,203.05529081821442,0.007639542,-0.0028484007343649864,0.2
-93.18105430000003,373.35,28,895,64,57344,270,0.041552734375,-1.006321576423943,0.8536474257707596,0.0003,14.20863151550293,54.554728561639784,0.0061497106,-0.003337289474438876,0.2
-88.84451243,390.73,29,877,67,59392,280,0.096240234375,-1.046241552196443,0.6892125010490417,0.0003,25.83717155456543,69.7425226867199,0.0047553666,-0.004472620131855365,0.2
-86.71656995,408.04,30,853,72,61440,290,0.107666015625,-1.0250201581045986,0.7420044243335724,0.0003,19.410776138305664,52.2316829174757,0.008517595,-0.006622792165580904,0.2
-84.87878773,424.76,31,831,76,63488,300,0.092822265625,-1.0329730400815607,0.8451095074415207,0.0003,14.313297271728516,40.70376003980637,0.0074524246,-0.0058517447861959225,0.2
-81.55662106999998,441.72,32,810,80,65536,310,0.144970703125,-1.0239091521129011,0.8053231537342072,0.0003,7.874210357666016,52.99636599123478,0.010875665,-0.012551307295507286,0.2
-79.6711701,458.86,33,800,84,67584,320,0.07666015625,-1.073846171796322,0.8044062554836273,0.0003,15.386788368225098,55.10380824804306,0.006893469,-0.006289628981903661,0.2
-74.5624798,478.49,34,791,87,69632,330,0.034765625,-0.9762254318222403,0.8985663652420044,0.0003,6.496115684509277,45.288523989915845,0.006534855,-0.003707658559142146,0.2
