time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,train/approx_kl,train/explained_variance,train/learning_rate,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/value_loss,train/loss
51200,218.76,-126.59508735000001,25,41,1247,0.011809958,0.5017662048339844,0.0003,240,-1.081887062638998,-0.008353599015390501,0.2,0.0837890625,199.23449189662932,97.94438934326172
53248,232.38,-124.6630007,26,43,1232,0.0073626023,0.3338618874549866,0.0003,250,-1.110322368517518,-0.009649606672610389,0.2,0.0724609375,230.4136007666588,85.64569854736328
55296,245.07,-122.02410173999999,27,45,1221,0.008032718,0.5661064684391022,0.0003,260,-0.9931180119514466,-0.007699836650135694,0.2,0.07255859375,153.07027634382248,313.8843994140625
57344,250.98,-119.64934147000002,28,47,1211,0.009614645,0.5306157469749451,0.0003,270,-1.0602389896288513,-0.009223988684971119,0.2,0.093212890625,157.0434485912323,121.71221923828125
59392,268.51,-114.13766669,29,50,1183,0.007738636,0.27072370052337646,0.0003,280,-1.0400439942255617,-0.009265715973015176,0.2,0.0728515625,256.3562054157257,81.32117462158203
61440,286.1,-116.86078813000002,30,52,1163,0.0074957637,0.6365761160850525,0.0003,290,-1.0726103875786066,-0.005800951563287526,0.2,0.114111328125,98.43601680397987,57.0780143737793
63488,287.94,-114.00238952,31,55,1152,0.013486077,0.38926488161087036,0.0003,300,-1.0336198115721345,-0.007409977410134161,0.2,0.1287109375,157.75632299184798,36.33253479003906
65536,302.37,-114.06167764,32,57,1131,0.008369923,0.2610735297203064,0.0003,310,-1.030155567266047,-0.009707672715012449,0.2,0.09501953125,206.91615039110184,100.4887924194336
67584,319.02,-111.97697827,33,62,1088,0.006924305,0.6093839108943939,0.0003,320,-1.0281482571735978,-0.006692871182167437,0.2,0.0595703125,113.56797341108322,41.67570877075195
69632,332.92,-109.02876865,34,65,1066,0.0090389475,0.8541738539934158,0.0003,330,-0.9345440838485957,-0.00732857587718172,0.2,0.07421875,43.18233099281788,15.914661407470703
71680,349.15,-108.66841361,35,68,1046,0.010166414,0.5713503956794739,0.0003,340,-1.026034983061254,-0.009127330635965335,0.2,0.13212890625,72.37864120006562,47.10959243774414
73728,363.73,-105.33420356,36,72,1021,0.00680123,0.6381030082702637,0.0003,350,-1.0537383209913969,-0.0049427832442233924,0.2,0.059912109375,76.48405415415763,38.02595520019531
75776,379.02,-102.04542219000001,37,75,1006,0.0074590486,0.7558486312627792,0.0003,360,-1.0497321942821145,-0.007271570731245447,0.2,0.090673828125,52.533734291791916,28.964818954467773
77824,394.71,-102.66401288000002,38,79,981,0.0066929045,0.5638227164745331,0.0003,370,-0.9560125621035696,-0.004889869438920868,0.2,0.075439453125,86.00124034583568,10.433051109313965
79872,410.73,-96.71020601000002,39,82,962,0.006335401,0.5381455421447754,0.0003,380,-1.026879302971065,-0.006383688049390912,0.2,0.06591796875,60.80085984766483,36.84418869018555
81920,417.14,-97.75380341000002,40,86,943,0.007004305,0.7301948666572571,0.0003,390,-1.054727441817522,-0.006475609424524009,0.2,0.080419921875,31.534203676879407,5.203067779541016
83968,434.17,-92.44585311000003,41,89,934,0.007882137,0.6082464456558228,0.0003,400,-1.0265565464273094,-0.004599440144374967,0.2,0.08388671875,32.60468631908297,3.894230365753174
86016,450.73,-92.75151453000001,42,93,918,0.00689312,0.8197937458753586,0.0003,410,-0.9871209312230349,-0.0028478679254476448,0.2,0.0421875,47.810803291201594,3.75722074508667
88064,468.0,-89.47997303,43,97,898,0.0054568294,0.8646346181631088,0.0003,420,-0.9312914185225963,-0.005257750347664114,0.2,0.082958984375,36.1492213062942,4.067898273468018
90112,488.96,-84.39147494,44,101,891,0.006293839,0.7747517079114914,0.0003,430,-0.9774741154164076,-0.0017199510693899356,0.2,0.045556640625,53.537798158824444,6.6194748878479
92160,504.62,-81.43251738999999,45,104,879,0.009696918,0.3916141390800476,0.0003,440,-0.9046319846063853,-0.003290324335102923,0.2,0.053564453125,140.62362923920153,43.51670455932617
94208,516.48,-80.15300043,46,108,871,0.0057591856,0.7610981613397598,0.0003,450,-0.8925806686282158,-0.005218630512536038,0.2,0.07265625,43.24263140782714,2.126298189163208
96256,532.9,-75.41277347,47,111,860,0.0045544333,0.5433686375617981,0.0003,460,-0.8602767312899232,-0.0022728764888597652,0.2,0.0328125,93.66110693588853,5.906660079956055
98304,549.45,-72.63866592000001,48,115,853,0.007962143,0.7857886999845505,0.0003,470,-0.8580159839242697,-0.002894130942877382,0.2,0.066943359375,41.08539481423795,3.210353374481201
100352,572.67,-67.49636596,49,118,848,0.0060080136,0.8299700915813446,0.0003,480,-1.0035084057599306,-0.003865675003180513,0.2,0.1060546875,32.72379761878401,0.753924548625946
102400,588.82,-66.69451936,50,121,842,0.0030112404,0.6422198712825775,0.0003,490,-0.8837013460695744,-0.0003557559699402191,0.2,0.044873046875,87.45423088148236,38.2468147277832
104448,604.84,-64.40357076,51,125,834,0.0071098646,0.8181219100952148,0.0003,500,-0.9849534524604678,-0.00397875683120219,0.2,0.11103515625,43.78643029686064,1.9454841613769531
106496,620.46,-59.40404116,52,129,824,0.011381026,0.8313284367322922,0.0003,510,-0.9560572434216738,-0.006655716709792614,0.2,0.121728515625,37.71710291672498,0.48848757147789
108544,636.0,-56.163357260000005,53,132,820,0.006007511,0.8571063578128815,0.0003,520,-0.9904486602172256,-0.0032012871983170045,0.2,0.076513671875,31.839663073979317,0.6384273767471313
