time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/loss,train/approx_kl,train/explained_variance,train/n_updates,train/clip_range,train/clip_fraction,train/value_loss
22,1037,251.99,43,-118.0705598,45056,-1.000503033772111,-0.008206374129804317,0.0003,133.44244384765625,0.008161226,0.3475109934806824,210,0.2,0.057275390625,364.9295076370239
23,1016,268.51,46,-115.67717003999998,47104,-1.1174900725483894,-0.005880015093134716,0.0003,33.844356536865234,0.011012909,0.4759855270385742,220,0.2,0.06923828125,154.01872292757034
24,993,287.12,49,-115.12807285999999,49152,-1.0190697588026523,-0.00629499576825765,0.0003,124.517578125,0.0048158523,-0.05913829803466797,230,0.2,0.040087890625,319.9777873039246
25,982,301.76,52,-114.24219992,51200,-1.0663201930001378,-0.006928744194738101,0.0003,64.71603393554688,0.0076638577,0.49025392532348633,240,0.2,0.072705078125,165.34902297258378
26,966,316.78,55,-111.74886788000002,53248,-1.0282435040920972,-0.007970212908549,0.0003,90.11514282226562,0.0061699273,0.09003394842147827,250,0.2,0.07236328125,210.16619724035263
27,951,333.81,58,-110.07035053,55296,-0.9680750550702214,-0.005509850505040959,0.0003,88.46174621582031,0.005475837,0.23166877031326294,260,0.2,0.030517578125,232.98364593982697
28,925,355.69,61,-105.35150263000001,57344,-1.0515342749655248,-0.0038664035251713357,0.0003,40.023006439208984,0.006208573,0.595978319644928,270,0.2,0.050244140625,161.26496117115022
29,923,364.21,64,-104.53902992000002,59392,-1.1039412941783666,-0.009101297200686531,0.0003,42.64040756225586,0.011710165,0.5855908989906311,280,0.2,0.098388671875,158.16035825014114
30,900,378.29,68,-103.12623523000002,61440,-0.9188838975504041,-0.003445622197614284,0.0003,64.69815826416016,0.005154365,0.510624498128891,290,0.2,0.02216796875,183.97735241651534
31,887,393.66,71,-100.41440203,63488,-1.100684980675578,-0.008510413927433546,0.0003,55.98020935058594,0.011667544,0.7470434904098511,300,0.2,0.120947265625,92.68705747127532
32,868,411.5,75,-97.49536829,65536,-1.025697559863329,-0.007958954678906593,0.0003,20.396894454956055,0.00928646,0.6271252930164337,310,0.2,0.08720703125,110.6988578259945
33,851,429.3,79,-95.80414382000002,67584,-1.0236319068819284,-0.00895572211156832,0.0003,12.492141723632812,0.012783397,0.8004275411367416,320,0.2,0.08369140625,50.48615751862526
34,844,444.07,82,-92.17061213000001,69632,-0.9209244631230831,-0.006737749640888069,0.0003,12.925612449645996,0.0059898556,0.6884537041187286,330,0.2,0.040380859375,107.12225399017333
35,830,459.69,86,-88.78551964,71680,-0.9501029694452882,-0.004232015003799461,0.0003,19.380674362182617,0.011463925,0.727787435054779,340,0.2,0.065966796875,93.7869379401207
36,818,476.21,90,-89.63008795000002,73728,-1.04369248598814,-0.003536132167209871,0.0003,11.709662437438965,0.013598725,0.8233987540006638,350,0.2,0.136181640625,64.11262794286013
37,802,492.61,94,-84.05845582,75776,-0.9851101195439697,-0.006476095822290517,0.0003,5.84052848815918,0.011163323,0.7804239094257355,360,0.2,0.10126953125,47.717306214570996
38,794,507.86,97,-85.22636455,77824,-1.0656734224408866,-0.006137032021069899,0.0003,313.0203552246094,0.010049924,0.8315825760364532,370,0.2,0.10810546875,49.564491333067416
39,785,524.81,101,-82.28863142,79872,-1.0670411974191665,-0.007918666385376128,0.0003,258.8751525878906,0.008978696,0.7686835378408432,380,0.2,0.108642578125,54.53664872199297
40,781,545.03,104,-76.84156152,81920,-1.0865416452288628,-0.006570200882561039,0.0003,1.968291163444519,0.010787825,0.8712424635887146,390,0.2,0.15224609375,30.85951693728566
41,775,562.16,108,-74.42258465,83968,-1.0338262248784305,-0.003681047270947602,0.0003,409.2944641113281,0.010383312,0.6836149394512177,400,0.2,0.06025390625,107.73196038603783
42,775,575.57,110,-71.02435731000001,86016,-0.9675872454419732,-0.0023018310290353837,0.0003,16.22808265686035,0.006458035,0.6755287647247314,410,0.2,0.022021484375,112.26365479528904
43,775,586.59,113,-68.47839477000001,88064,-0.9032535597681999,-0.0029391955911705738,0.0003,239.60342407226562,0.0037401202,0.7012143135070801,420,0.2,0.0314453125,162.45882587432862
44,771,587.02,116,-66.58430599,90112,-0.8967897379770875,-0.002452029351479723,0.0003,10.941500663757324,0.0048892274,0.4690279960632324,430,0.2,0.0373046875,72.25768986344337
45,771,599.44,119,-63.31710788,92160,-0.800737083889544,-0.004288802047085483,0.0003,71.51663970947266,0.008663806,0.49655425548553467,440,0.2,0.058203125,124.35507084727287
46,770,615.67,122,-59.19369191999999,94208,-0.8451761377975344,-0.00290931919880677,0.0003,29.36675262451172,0.0076525547,0.7333706021308899,450,0.2,0.0708984375,52.52053455077112
47,771,624.79,124,-56.50798938,96256,-1.0373829631134868,-0.005268141716805985,0.0003,209.51332092285156,0.010556761,0.7854300290346146,460,0.2,0.16376953125,40.358740616962315
48,765,639.69,128,-54.71330468999999,98304,-0.890480987355113,-0.004030978567607235,0.0003,18.062559127807617,0.005391554,0.6000647246837616,470,0.2,0.027734375,125.3334695339203
49,764,658.72,131,-50.96840660000001,100352,-0.8682652177289129,-0.006521536524087423,0.0003,19.73436164855957,0.014366444,0.8015559762716293,480,0.2,0.163134765625,73.5766697101295
50,762,664.9,134,-47.820550139999995,102400,-0.843019155971706,-0.0019465515404590405,0.0003,148.47219848632812,0.00413798,0.7902312725782394,490,0.2,0.0474609375,98.4189881928265
51,760,656.83,137,-49.81917869000001,104448,-0.8576365867629647,-0.0019209688281989657,0.0003,23.806522369384766,0.009572551,0.825007900595665,500,0.2,0.065869140625,67.9006766706705
52,758,671.68,140,-45.906243860000004,106496,-0.8720973130315542,-0.0021968213564832694,0.0003,50.8251838684082,0.006166279,0.7385268807411194,510,0.2,0.033642578125,103.91959645450115
53,756,692.77,143,-44.42730158000001,108544,-0.9543618844822049,-0.006475130940089002,0.0003,4.315590858459473,0.012245635,0.9353425204753876,520,0.2,0.09287109375,41.43967922925949
54,756,693.44,146,-44.37949753,110592,-0.8823697729036212,-0.0019510461075697093,0.0003,8.565895080566406,0.0047135074,0.6190891563892365,530,0.2,0.031787109375,94.21173219680786
55,754,708.44,149,-41.032988679999995,112640,-0.957972950488329,-0.0021439172080135903,0.0003,20.42247200012207,0.005722134,0.89417714625597,540,0.2,0.026904296875,57.133971232175824
56,752,721.91,152,-38.32814792,114688,-0.9160443415865303,-0.004444737298399559,0.0003,2.5496251583099365,0.0069083376,0.9045059457421303,550,0.2,0.081787109375,47.39987475015223
57,752,740.67,155,-34.39288635,116736,-0.9298719378188253,-0.0036524461462249746,0.0003,62.71641159057617,0.009721282,0.8153826147317886,560,0.2,0.064208984375,79.56620702557265
58,747,757.14,158,-31.167447309999996,118784,-0.9234815679490567,-0.002713506720465375,0.0003,18.696670532226562,0.0076885168,0.6497538387775421,570,0.2,0.062353515625,170.85499281287193
59,745,754.68,162,-28.630128379999995,120832,-0.9361230613663792,-0.004899268239387311,0.0003,4.226696014404297,0.0129780695,0.84735968708992,580,0.2,0.130615234375,34.98332928456366
60,739,763.29,166,-23.104632820000003,122880,-0.8872102515771985,-0.0032729311809816864,0.0003,189.81478881835938,0.0067603486,0.563948929309845,590,0.2,0.071142578125,133.26958845257758
61,736,763.28,169,-23.601814239999996,124928,-0.9132543217390776,-0.0025250113663787487,0.0003,6.794916152954102,0.007061015,0.5564597547054291,600,0.2,0.0603515625,71.8929451264441
62,735,768.89,172,-15.933055379999999,126976,-0.8523783661425114,-0.0036109272041358054,0.0003,9.500152587890625,0.0056645335,0.6810814440250397,610,0.2,0.06572265625,90.33699976503848
63,732,774.81,176,-12.693581920000002,129024,-0.8217852123081684,-0.0066296393375523625,0.0003,71.67076873779297,0.01235952,0.4566187262535095,620,0.2,0.119580078125,111.39158118963242
64,727,784.3,180,-11.184032789999996,131072,-0.8126398248597979,-0.0028254442499019206,0.0003,47.35707473754883,0.0077440236,0.69868603348732,630,0.2,0.064599609375,56.14968593455851
65,724,784.89,183,-10.365410469999995,133120,-0.9202844751998782,-0.007495199218101334,0.0003,13.901247024536133,0.00894462,0.642817348241806,640,0.2,0.124658203125,87.42818351052702
66,723,787.05,186,-9.860469049999999,135168,-0.7908560508862138,-0.0055769663777027745,0.0003,5.0452189445495605,0.005176741,0.4455265402793884,650,0.2,0.051171875,141.85794842094182
67,724,783.27,189,-3.503333409999998,137216,-0.7208054384216667,-0.0018488735891878604,0.0003,3.837506055831909,0.0045943395,0.7054435610771179,660,0.2,0.065234375,80.33040315061808
68,725,772.62,192,-1.5356434099999987,139264,-0.7832487324252725,-0.0029265330485941377,0.0003,15.866814613342285,0.0068408693,0.5772088468074799,670,0.2,0.062109375,144.69574725031853
69,726,764.11,194,3.1627509100000015,141312,-0.7502816241234541,-0.003555400582627044,0.0003,107.79689025878906,0.005405038,0.5965811610221863,680,0.2,0.030615234375,194.87099741995334
70,724,759.74,197,4.675696290000001,143360,-0.6540145609527827,-0.0033770278554584366,0.0003,79.47884368896484,0.0047257277,0.47492551803588867,690,0.2,0.035888671875,209.05349934101105
71,726,746.28,200,5.461776410000002,145408,-0.7541798513382674,-0.00285899675291148,0.0003,63.22593307495117,0.0084414175,0.6630607545375824,700,0.2,0.064306640625,148.2385370105505
72,728,722.23,202,5.827130130000005,147456,-0.7541554193943739,-0.0031295570885049528,0.0003,11.114227294921875,0.011878479,0.5254777371883392,710,0.2,0.103564453125,168.74791551828383
73,730,692.08,204,6.7942571500000035,149504,-0.7982223697006703,-0.004605105618247762,0.0003,125.72319793701172,0.0058305953,0.6374261677265167,720,0.2,0.03681640625,175.25562911033632
74,732,670.98,206,7.422996930000002,151552,-0.7766920512542128,-0.0036583699464245003,0.0003,108.87812042236328,0.005165207,0.5563896894454956,730,0.2,0.071142578125,218.3461261510849
75,734,661.27,209,8.482794670000002,153600,-0.8156861638650298,-0.0026724577397544635,0.0003,69.67929077148438,0.0053547183,0.7733572721481323,740,0.2,0.066796875,207.58154453039168
76,735,655.88,211,6.886079990000002,155648,-0.6519849395379425,-0.00477215879909636,0.0003,45.92308807373047,0.0072634453,0.4875100255012512,750,0.2,0.0623046875,175.46645783483982
77,737,628.19,213,4.016528320000001,157696,-0.6950743330642581,-0.0025114492593274916,0.0003,2.716433048248291,0.0059691276,0.4090465307235718,760,0.2,0.101611328125,125.0816166691482
78,739,617.75,216,2.633773140000001,159744,-0.8368676137179136,-0.002335580102590029,0.0003,17.31011390686035,0.0042356118,0.6490249931812286,770,0.2,0.015185546875,237.15347182154656
79,739,602.8,218,2.0886417400000004,161792,-0.7903859753161668,-0.0031983919245249124,0.0003,37.69060516357422,0.009635296,0.792116716504097,780,0.2,0.1248046875,136.08035017102958
80,741,589.07,221,1.331781150000001,163840,-0.7477694815024734,-0.0012829796436562902,0.0003,64.56492614746094,0.0045287674,0.7026801407337189,790,0.2,0.039501953125,151.6460780352354
81,740,571.43,224,5.748630260000001,165888,-0.8232255093753338,-0.0027505299425683916,0.0003,55.51443099975586,0.0041693384,0.8405224531888962,800,0.2,0.019873046875,129.8861077874899
