rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/explained_variance,train/loss,train/value_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/approx_kl
-8.439929339999999,111,227328,664,890.52,342,-0.0017487476594396866,-0.79398438539356,1100,0.627370685338974,8.066045761108398,38.57670694291592,0.2,0.0003,0.0544921875,0.0063037938
-6.571840030000001,112,229376,666,890.7,344,-0.0015021469713246915,-0.778765163756907,1110,0.42127519845962524,103.97989654541016,99.5245736181736,0.2,0.0003,0.05712890625,0.006035812
-4.79770658,113,231424,664,888.72,348,0.0006239320435270201,-0.8376884801313281,1120,0.528846025466919,123.94483947753906,70.77691598236561,0.2,0.0003,0.0439453125,0.004251154
-5.6254086600000015,114,233472,663,890.73,351,-0.0010529666913498658,-0.8142979722470045,1130,0.4889042377471924,4.488253116607666,52.83803638070822,0.2,0.0003,0.0853515625,0.008507213
-11.25083564,115,235520,664,880.98,354,-0.004260290444653947,-0.7520397240296006,1140,0.6353953182697296,2.192744016647339,51.90982032939792,0.2,0.0003,0.072021484375,0.0062184175
-15.157593020000002,116,237568,663,859.9,357,-0.0008379128375963774,-0.7320161091163755,1150,0.8079973757266998,20.4598388671875,105.6641115233302,0.2,0.0003,0.043310546875,0.0042837355
-16.456122230000002,117,239616,663,845.2,361,-0.002923406462650746,-0.7525209125131369,1160,0.5660269260406494,13.42013168334961,122.81151512116193,0.2,0.0003,0.06904296875,0.0071397778
-18.95393543,118,241664,662,837.11,364,-0.001240290886926232,-0.7636127598583698,1170,0.6307505965232849,15.837635040283203,105.06320875510573,0.2,0.0003,0.073046875,0.0075877476
-20.301816289999998,119,243712,662,829.67,368,-0.0018992777579114773,-0.7393594110384584,1180,0.7998615205287933,14.391799926757812,70.35472682118416,0.2,0.0003,0.040380859375,0.0058514257
-19.910746919999998,120,245760,661,818.95,371,0.0014814622729318217,-0.7538273761048913,1190,0.784866139292717,9.585140228271484,63.630590168386696,0.2,0.0003,0.05615234375,0.009680053
-21.093532929999995,121,247808,660,818.95,374,-0.00036606524081435056,-0.8235249174758792,1200,0.7346784174442291,6.665902614593506,59.507569229602815,0.2,0.0003,0.06572265625,0.008844421
-22.518197699999995,122,249856,660,802.44,378,-0.00014575640088878571,-0.8185035046190023,1210,0.8072850108146667,1.3458033800125122,35.87953928112984,0.2,0.0003,0.084765625,0.0075078374
-22.657566739999996,123,251904,659,793.27,381,-0.000421263933822047,-0.7133284637704491,1220,0.531504362821579,44.119873046875,161.4560696452856,0.2,0.0003,0.033056640625,0.005312378
-746.1136685,1,2048,820,1000.0,2,-0.0018597070971736684,-0.8288227066397666,1230,0.43377256393432617,128.9503936767578,121.97082747071981,0.2,0.0003,0.063134765625,0.008405343
-653.3198776,2,4096,669,764.8,6,-0.0007949838080094195,-0.7870793417096138,1240,0.6302696764469147,5.473064422607422,55.11529600173235,0.2,0.0003,0.05009765625,0.006974711
-589.88364,3,6144,656,744.375,9,-0.004346732774865814,-0.7558469166979194,1250,0.8114189654588699,18.563213348388672,71.09871507883072,0.2,0.0003,0.084619140625,0.010855236
-578.3482772727273,4,8192,658,687.2727272727273,12,-0.002166217120247893,-0.7316365968436003,1260,0.6240920126438141,9.309813499450684,104.14772678017616,0.2,0.0003,0.04296875,0.005642369
-618.7182290714285,5,10240,659,729.3571428571429,15,-0.001050889919133624,-0.8117198448628187,1270,0.6096393764019012,27.749300003051758,85.97651734799146,0.2,0.0003,0.052001953125,0.004024816
-633.0577605625,6,12288,664,763.1875,18,-0.0012043238697515336,-0.7920547535642981,1280,0.7187881767749786,21.99985122680664,93.25116116255522,0.2,0.0003,0.06357421875,0.004348456
-585.21146865,7,14336,673,680.25,21,-0.0006474222856923007,-0.8483225809410214,1290,0.8290839940309525,11.389209747314453,68.89026336669922,0.2,0.0003,0.069384765625,0.006410895
-594.894587652174,8,16384,669,701.6086956521739,24,6.160873017506674e-05,-0.7739908220246434,1300,0.5503591299057007,7.157778739929199,98.01463684290647,0.2,0.0003,0.0556640625,0.0031181134
-598.48853972,9,18432,674,700.52,27,-0.0012957487168023362,-0.7593607477843761,1310,0.8194544464349747,4.11372184753418,81.24549620449542,0.2,0.0003,0.052880859375,0.0082120225
-606.8258891428571,10,20480,659,720.3214285714286,31,-0.0010209042768110522,-0.7354239715263248,1320,0.8587054461240768,2.9592058658599854,38.76346968710423,0.2,0.0003,0.062451171875,0.006986751
-617.0551294193548,11,22528,654,725.0322580645161,34,-0.0015841139153053518,-0.7367675798013806,1330,0.6824973821640015,96.0799560546875,162.2796765089035,0.2,0.0003,0.040234375,0.0032302984
-622.9238204242424,12,24576,664,728.4545454545455,36,-0.0019917834011721424,-0.7740648105740547,1340,0.6378704309463501,76.22801971435547,147.2383788689971,0.2,0.0003,0.062841796875,0.006527041
-637.9456251388889,13,26624,659,737.8055555555555,40,-0.0005557397300435696,-0.8076561344787478,1350,0.8170556277036667,2.9525721073150635,55.938738667964934,0.2,0.0003,0.09208984375,0.006951073
-651.8002570789474,14,28672,665,746.3684210526316,43,-0.002406472378061153,-0.8227406488731503,1360,0.13978910446166992,8.013449668884277,91.15569266974926,0.2,0.0003,0.10234375,0.007263294
-656.203273275,15,30720,661,754.05,46,-0.0004844958799367305,-0.8180382849648595,1370,-0.223038911819458,9.016378402709961,67.73673033937811,0.2,0.0003,0.0716796875,0.008907488
-661.6571505813954,16,32768,656,761.7441860465116,49,0.00017061373619071675,-0.7885846273973585,1380,0.41981327533721924,91.2245101928711,102.0410941042006,0.2,0.0003,0.077392578125,0.010450548
-654.2213347111111,17,34816,645,752.6888888888889,53,-0.005344151642930228,-0.8076186573132873,1390,0.4817764163017273,140.0670166015625,137.53030836433172,0.2,0.0003,0.0611328125,0.005209867
-663.2040470000001,18,36864,651,763.2127659574468,56,-0.0012525141079095191,-0.7712808482348918,1400,0.5731041133403778,53.862586975097656,98.98603075891734,0.2,0.0003,0.06552734375,0.004659783
-666.0320303799999,19,38912,648,774.0,59,0.0003961020178394392,-0.7472325626760721,1410,0.8044757395982742,2.1136512756347656,33.24005145803094,0.2,0.0003,0.07568359375,0.009440023
-648.5899592407409,20,40960,653,746.7407407407408,62,-0.0007629113730217796,-0.7569620296359062,1420,0.3340630531311035,45.16999816894531,163.38137221559882,0.2,0.0003,0.04150390625,0.0021125427
-649.8882266607143,21,43008,652,750.6964285714286,65,-0.0014135392673779279,-0.7636109406128526,1430,0.6890024542808533,2.082611083984375,90.707276186347,0.2,0.0003,0.05166015625,0.0047912765
-659.6220372203389,22,45056,652,754.6101694915254,69,-0.0017400699398422148,-0.8080749133601784,1440,0.8262117505073547,4.514551162719727,47.97847449555993,0.2,0.0003,0.099267578125,0.008953461
-653.5152123650793,23,47104,658,742.3333333333334,71,-0.003268192913674284,-0.8128383053466678,1450,0.06876862049102783,3.732813835144043,38.304039989411834,0.2,0.0003,0.0890625,0.010783972
-647.9482862537313,24,49152,647,733.2089552238806,75,0.002545222921617096,-0.8131744781509042,1460,0.7289848327636719,3.237172842025757,33.40117316097021,0.2,0.0003,0.089404296875,0.008486462
-649.9214994492753,25,51200,651,735.5072463768116,78,-0.00332333369369735,-0.7941557366400958,1470,0.3758562207221985,4.863123893737793,42.0748334415257,0.2,0.0003,0.079345703125,0.010327823
