rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/policy_gradient_loss,train/approx_kl,train/loss,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance,train/n_updates,train/clip_range,train/clip_fraction
351.22,61440,30,61,-97.95186785,999,-0.007437995200598379,0.0065719625,15.048517227172852,-1.1003156010061503,0.0003,66.95309472680091,0.6067681908607483,290,0.2,0.05673828125
369.62,63488,31,64,-95.06321554999998,977,-0.007850713179504965,0.010856749,18.80497169494629,-1.0397892121225596,0.0003,60.50961879491806,0.21024668216705322,300,0.2,0.09833984375
385.29,65536,32,68,-94.38216007999998,960,-0.008610657654935494,0.009240247,16.680845260620117,-1.0952472254633903,0.0003,73.09484305381775,0.06515747308731079,310,0.2,0.110498046875
399.83,67584,33,71,-93.90745743999997,945,-0.00267307295507635,0.00592552,23.766616821289062,-1.0343014804646373,0.0003,152.73067545890808,0.091999351978302,320,0.2,0.01806640625
416.4,69632,34,76,-90.67092330999998,915,-0.005147998672327958,0.006155504,88.05863952636719,-1.0774132903665303,0.0003,130.6956678032875,0.12893837690353394,330,0.2,0.04599609375
432.5,71680,35,80,-88.95985726999999,891,-0.0031495721748797225,0.0042787446,20.218542098999023,-1.013186121173203,0.0003,45.40832020640373,0.39594799280166626,340,0.2,0.0375
432.5,73728,36,83,-88.89172305,879,-0.008192342109396122,0.0108718015,6.01336669921875,-1.0798021359369159,0.0003,33.044162049889565,0.039760708808898926,350,0.2,0.13388671875
450.04,75776,37,88,-85.64220778,856,-0.006278936137823621,0.008287769,24.348173141479492,-1.0043087331578135,0.0003,44.66116623878479,0.33471667766571045,360,0.2,0.09404296875
467.42,77824,38,93,-83.46590079000002,836,-0.00699476838199189,0.008265781,3.7887508869171143,-0.9972973054274916,0.0003,34.47238183170557,0.6208656430244446,370,0.2,0.082421875
483.37,79872,39,95,-80.88040454,832,-0.004581376447458751,0.0072843553,5.379812240600586,-0.9991610007360577,0.0003,20.313067325949667,0.22998559474945068,380,0.2,0.06884765625
499.41,81920,40,99,-75.46540456000001,823,-0.004652167639869731,0.010689187,7.633862018585205,-1.0036090016365051,0.0003,26.84867944866419,0.1690295934677124,390,0.2,0.10234375
516.29,83968,41,102,-75.60390541000001,815,-0.0014432687647058628,0.005999793,5.904962062835693,-0.980664168857038,0.0003,28.959962312877177,0.37016159296035767,400,0.2,0.049072265625
532.53,86016,42,106,-73.50325338,805,-0.0019080840022070334,0.006054123,133.97401428222656,-0.9922410713508725,0.0003,30.53895904123783,0.31156468391418457,410,0.2,0.030419921875
549.92,88064,43,110,-70.48028814,795,-0.007130900981428568,0.0074996306,4.495917797088623,-0.9921946158632636,0.0003,23.8564054235816,0.29125523567199707,420,0.2,0.092041015625
566.47,90112,44,114,-67.96073169000002,787,-0.0050146024288551415,0.0050228075,3.5049872398376465,-0.9839023616164922,0.0003,23.1340000808239,0.5103127360343933,430,0.2,0.06455078125
582.16,92160,45,118,-65.53294192,778,-0.005724236462265253,0.005785415,7.413898468017578,-0.9332154221832752,0.0003,28.913863521814346,0.4277510643005371,440,0.2,0.069873046875
601.97,94208,46,122,-63.1733951,771,-0.007180898687511217,0.007609602,2.1598060131073,-0.9714387824758888,0.0003,21.58181063607335,0.5798145830631256,450,0.2,0.092138671875
616.15,96256,47,125,-56.85008679,766,-0.0034819923181203193,0.007307697,4.390653610229492,-0.8936543049290776,0.0003,76.9215743124485,0.49195170402526855,460,0.2,0.052392578125
628.97,98304,48,129,-57.71377857,761,-0.004055690509994747,0.008035796,5.490992546081543,-0.8693221813067794,0.0003,95.97543403804302,0.41000497341156006,470,0.2,0.066748046875
643.89,100352,49,132,-52.92661997000001,759,-0.0008264380861874087,0.0045996145,5.341392993927002,-0.8975721385329962,0.0003,89.20159722417593,0.4630786180496216,480,0.2,0.020654296875
656.83,102400,50,135,-52.584712800000005,757,-0.0006297556319623254,0.0072604176,2.373538017272949,-0.9257437555119395,0.0003,21.647224231436848,0.7718673348426819,490,0.2,0.081689453125
663.59,104448,51,138,-48.074517889999996,753,-0.0013660581069416366,0.003060725,7.287149429321289,-0.9106419637799263,0.0003,38.13892458491027,0.5208028852939606,500,0.2,0.015673828125
677.62,106496,52,142,-46.16009429999999,748,-0.00700372360588517,0.0061360057,8.339863777160645,-0.9337808657437563,0.0003,56.08120167404413,0.3550832271575928,510,0.2,0.06328125
681.72,108544,53,145,-46.19719524,748,-0.002339384849619819,0.0050127255,6.452301502227783,-0.9025014419108629,0.0003,60.28729414120316,0.453624427318573,520,0.2,0.065576171875
697.92,110592,54,148,-39.07923524999999,745,-0.0024679690934135577,0.005865302,3.691774845123291,-0.8992648657411337,0.0003,91.05722962021828,0.34166133403778076,530,0.2,0.05869140625
708.94,112640,55,151,-38.80312111,745,-0.00527585861600528,0.013705119,114.38988494873047,-0.8469375712797046,0.0003,61.22245431244373,0.54412841796875,540,0.2,0.1013671875
713.55,114688,56,154,-42.52660287,743,-0.0004724581704067532,0.008033313,2.095233201980591,-0.8499173287302255,0.0003,35.31824504584074,0.6272178888320923,550,0.2,0.08330078125
728.45,116736,57,156,-38.99334674,744,-0.0008638135834189598,0.008790592,246.8319854736328,-0.8393253136426211,0.0003,209.682902854681,0.19542819261550903,560,0.2,0.04150390625
743.88,118784,58,159,-37.67668038,745,-0.0008929729097872041,0.0073236255,3.8068528175354004,-0.909920115582645,0.0003,83.79852081760764,0.31644928455352783,570,0.2,0.07099609375
760.91,120832,59,162,-32.48116283,745,-0.0006214083183294861,0.006224954,223.51881408691406,-0.857029253616929,0.0003,141.3687594667077,0.34420615434646606,580,0.2,0.029736328125
772.09,122880,60,165,-34.44882068,743,-0.003130298375617713,0.009522638,5.37074089050293,-0.8197740390896797,0.0003,53.3753014177084,0.5523105263710022,590,0.2,0.086474609375
789.36,124928,61,168,-30.915298899999996,742,-0.0012645221388083883,0.0054745367,14.642843246459961,-0.8802258038893342,0.0003,113.67625537216664,0.4399530291557312,600,0.2,0.03486328125
805.91,126976,62,171,-28.816212109999995,741,0.001280135275737848,0.008189559,1.8342558145523071,-0.9307455679401755,0.0003,14.12842419333756,0.8759615421295166,610,0.2,0.095654296875
820.08,129024,63,175,-27.923576960000002,736,-0.005462189725221833,0.010690755,1.7011966705322266,-0.9394575543701649,0.0003,21.91789998859167,0.7596673667430878,620,0.2,0.107666015625
826.03,131072,64,177,-25.97025579,736,-0.0026134568521229084,0.007517072,2.5033087730407715,-0.8832123693078756,0.0003,36.46197831295431,0.5952983498573303,630,0.2,0.0861328125
835.43,133120,65,180,-24.632455990000004,737,-0.005650336556209367,0.00725592,12.281590461730957,-0.9112193981185556,0.0003,76.78547639027238,0.4444153904914856,640,0.2,0.079833984375
839.67,135168,66,183,-23.530528470000004,738,-0.0003288081072241766,0.0014175394,53.4412841796875,-0.8327195389196277,0.0003,117.50292556285858,0.4753628373146057,650,0.2,0.001416015625
854.8,137216,67,186,-19.8655132,735,-0.003179459292732645,0.0061201355,5.171029090881348,-0.8592066122218966,0.0003,65.00130493938923,0.7874724417924881,660,0.2,0.086328125
869.59,139264,68,189,-21.23334486,734,-0.0017951367299247067,0.005646655,1.8621536493301392,-0.8699739947915077,0.0003,18.731947662681343,0.9111871644854546,670,0.2,0.046875
882.88,141312,69,193,-16.21992597,730,-0.00421171807392966,0.006599382,16.480775833129883,-0.8451386813074351,0.0003,67.81508719027042,0.7413826286792755,680,0.2,0.07939453125
885.29,143360,70,196,-17.58189582,729,-0.0017696707793220412,0.006700999,2.590519905090332,-0.8899763841181993,0.0003,47.71975405439734,0.7680535167455673,690,0.2,0.064697265625
893.82,145408,71,199,-13.547225089999998,728,-0.0034031247971142873,0.009667361,64.66256713867188,-0.8744038430973887,0.0003,63.63712056577206,0.7300738394260406,700,0.2,0.07890625
909.31,147456,72,203,-11.123302799999998,726,-0.0025249434998841024,0.007709906,1.6343201398849487,-0.8662317931652069,0.0003,24.29066514968872,0.9114866852760315,710,0.2,0.07705078125
914.13,149504,73,205,-12.00848972,726,-0.0009343707155494485,0.006788917,1.1766793727874756,-0.88473484441638,0.0003,44.164119040966035,0.8036882728338242,720,0.2,0.067822265625
910.26,151552,74,208,-10.402062639999999,726,-0.006889708335074829,0.010094147,5.607326507568359,-0.8902831690385937,0.0003,39.323947961628434,0.8100929260253906,730,0.2,0.12880859375
907.1,153600,75,212,-11.13998369,723,-0.0008973450912890257,0.0020556236,47.90050506591797,-0.7959243822842836,0.0003,108.01664860323072,0.33163928985595703,740,0.2,0.018701171875
910.77,155648,76,216,-9.39556695,718,-0.002864757498173276,0.013462758,378.42108154296875,-0.8278506191447377,0.0003,103.47185491621494,0.5909860134124756,750,0.2,0.111279296875
