time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/approx_kl,train/learning_rate,train/n_updates,train/entropy_loss,train/clip_fraction,train/value_loss,train/loss
82,167936,674,-1.740511309999998,806.67,249,-0.004990616535360459,0.4893864393234253,0.2,0.016619656,0.0003,810,-0.7779077854007482,0.073486328125,218.6897851884365,59.79714584350586
83,169984,671,-0.4999250899999996,801.89,253,5.489594186656177e-05,0.830388605594635,0.2,0.006775392,0.0003,820,-0.8953881785273552,0.073974609375,51.9986196257174,16.446643829345703
84,172032,673,1.9768540800000023,792.09,255,-0.0018271780627401313,0.7748323082923889,0.2,0.0041332506,0.0003,830,-0.8113187739625574,0.093603515625,69.92952079102398,5.977711200714111
85,174080,672,4.003134090000001,785.36,258,-0.0027429956957348623,0.6885583102703094,0.2,0.009212066,0.0003,840,-0.8877840969711542,0.090283203125,87.04526982828975,8.224510192871094
86,176128,674,7.556775180000001,770.47,261,-0.0028504662710474803,0.5912284851074219,0.2,0.008346301,0.0003,850,-0.8182503163814545,0.052099609375,152.1300543218851,62.53192138671875
87,178176,673,13.081198710000002,760.49,264,-0.0028395836292474997,0.5900489687919617,0.2,0.0054931575,0.0003,860,-0.8182321613654494,0.081005859375,164.2889621347189,92.23246765136719
88,180224,675,11.849273260000007,751.49,266,-0.0025104295535129497,0.2536585330963135,0.2,0.0050565405,0.0003,870,-0.7052439659833908,0.04111328125,156.05648609399796,17.66288948059082
89,182272,676,15.066317510000001,744.97,269,-0.0007511656425776891,0.5136159956455231,0.2,0.003867377,0.0003,880,-0.6374136505648493,0.03271484375,138.8099883891642,10.434266090393066
90,184320,676,19.99765472,739.66,272,-0.002632618280040333,0.6674786806106567,0.2,0.0069441088,0.0003,890,-0.681939135864377,0.038671875,84.72689109295607,7.993697166442871
91,186368,677,20.34168149,732.64,275,-0.0009176959036267362,0.4945080876350403,0.2,0.003949961,0.0003,900,-0.750569774582982,0.02392578125,146.93158232867717,48.4544677734375
92,188416,677,21.554261219999997,732.57,278,-0.0015683149689721177,0.4685336947441101,0.2,0.004295081,0.0003,910,-0.8167423075065017,0.045947265625,175.30448329001666,16.067852020263672
93,190464,678,20.730310449999998,732.5,280,0.0012551827137940563,0.8474154621362686,0.2,0.005163309,0.0003,920,-0.8657007601112128,0.07734375,50.60585471019149,5.991524696350098
94,192512,679,19.9771617,725.06,283,-0.002363527164561674,0.7992799580097198,0.2,0.0066353874,0.0003,930,-0.8837877506390214,0.082763671875,69.21820548772811,5.442149639129639
95,194560,679,23.6650318,713.35,286,-0.0034974836351466367,0.8059659004211426,0.2,0.0043412074,0.0003,940,-0.794393191859126,0.04501953125,92.25827271640301,42.2446174621582
96,196608,679,24.95847667,705.46,289,-0.000595605310445535,0.5654577314853668,0.2,0.0053752735,0.0003,950,-0.7694920489564538,0.02744140625,94.20164748430253,198.18185424804688
97,198656,679,27.581517119999997,703.22,292,-0.00280461262591416,0.7548395991325378,0.2,0.004657469,0.0003,960,-0.8199879877269268,0.061572265625,71.97586127221584,20.514774322509766
98,200704,679,26.93183863999999,693.76,295,-0.004164492797281127,0.6883416175842285,0.2,0.013667788,0.0003,970,-0.7322335639968515,0.07880859375,65.99210645630956,4.533605575561523
99,202752,678,28.001214889999996,689.86,298,-0.0016530274733668193,0.5262351036071777,0.2,0.0037197685,0.0003,980,-0.797211411781609,0.04228515625,204.22431602329016,8.44802188873291
100,204800,678,32.19324941,680.28,302,-0.00267402183599188,0.5959555208683014,0.2,0.0067802863,0.0003,990,-0.7232911525294184,0.035205078125,138.62766740247608,56.709930419921875
101,206848,677,30.789925649999997,680.28,305,-0.002899208064627601,0.6948417723178864,0.2,0.0046751723,0.0003,1000,-0.8091324714943766,0.0408203125,100.09016723632813,10.603914260864258
102,208896,678,35.07198372,683.23,307,-0.004332703355612466,0.9291112944483757,0.2,0.014877185,0.0003,1010,-0.9389254940673709,0.130126953125,19.71212842538953,0.8630077838897705
