rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/entropy_loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/loss,train/n_updates,train/value_loss
681.06,-47.17279604999999,52,135,785,106496,-0.8752806577831507,0.0003,0.7592231631278992,0.059326171875,0.006769793,-0.000887900366797112,0.2,3.0646169185638428,510,50.414883157610895
692.59,-45.647005099999994,53,139,778,108544,-0.9019646156579256,0.0003,0.5565937757492065,0.03271484375,0.0051159756,-0.001070866791633307,0.2,140.9228973388672,520,144.71398802101612
709.03,-42.679557800000005,54,143,772,110592,-0.8581940134987235,0.0003,0.6395675241947174,0.1046875,0.009466804,-0.007074752534390427,0.2,4.898746967315674,530,66.47013035863638
727.5,-39.30825164,55,146,768,112640,-0.884041054546833,0.0003,0.7712952196598053,0.098974609375,0.006478053,-0.0037797689023136628,0.2,1.3817291259765625,540,32.03110911659896
741.67,-38.74351227,56,150,760,114688,-0.9399903854355216,0.0003,0.5912280678749084,0.083544921875,0.0055579613,-0.0008604674832895399,0.2,2.336117744445801,550,101.79538155533373
752.68,-35.87031408,57,154,757,116736,-0.7859222192317248,0.0003,0.8174488246440887,0.0662109375,0.010945134,-0.00012179388795630075,0.2,2.8719727993011475,560,25.56178051419556
766.93,-31.384263539999992,58,156,757,118784,-0.7936770694330335,0.0003,0.6008054316043854,0.04501953125,0.0044516316,-0.003008677485922817,0.2,328.20050048828125,570,89.1524613007903
781.45,-30.542053269999997,59,160,754,120832,-0.9139480892568826,0.0003,0.7918952405452728,0.14677734375,0.010029249,-0.0061054039280861614,0.2,2.1872177124023438,580,43.949282915890215
795.85,-27.020461229999995,60,163,751,122880,-0.9129685455933213,0.0003,0.726243644952774,0.123779296875,0.009511739,-0.006952948633261258,0.2,1.456175684928894,590,44.687041003257036
799.41,-24.91468845,61,166,749,124928,-0.8875660248100757,0.0003,0.747761070728302,0.06484375,0.008038307,-0.002206622920493828,0.2,1.6525803804397583,600,43.5280438516289
814.55,-23.707877250000003,62,169,747,126976,-0.9198692530393601,0.0003,0.8198414742946625,0.0880859375,0.008172851,-0.002738616547867423,0.2,344.2059020996094,610,39.061598325893286
825.44,-19.457555730000003,63,172,747,129024,-0.9525626322254539,0.0003,0.5940879881381989,0.04228515625,0.0060422365,-0.0008878062988515012,0.2,3.304783821105957,620,124.83496615663171
823.5,-17.83501367,64,175,745,131072,-0.8461711846292019,0.0003,0.5946839451789856,0.0458984375,0.007048244,-0.0021542230238992487,0.2,37.341468811035156,630,115.87748193442822
824.36,-19.34513149,65,178,743,133120,-0.7171174732968211,0.0003,0.6817530691623688,0.00869140625,0.0044741044,-0.001278597994314623,0.2,10.23755168914795,640,74.30032681822777
835.25,-14.12473685,66,181,743,135168,-0.9539836337789893,0.0003,0.6546446681022644,0.067041015625,0.005447452,-0.003265798484790139,0.2,49.67900085449219,650,136.62100974097848
835.25,-16.77303765,67,185,740,137216,-0.9227001775056124,0.0003,0.8831958249211311,0.1021484375,0.010695985,-0.004706912372785155,0.2,3.490546703338623,660,44.12208946347236
846.18,-14.340120050000001,68,188,738,139264,-0.795460813306272,0.0003,0.9165996015071869,0.0205078125,0.006772153,-0.002107462356798351,0.2,5.003744602203369,670,39.75922320261598
860.61,-10.776710580000001,69,191,737,141312,-0.7177031042054296,0.0003,0.8358497470617294,0.093994140625,0.009041961,-0.001159174986241851,0.2,2.3159215450286865,680,30.37119217440486
862.32,-10.1860139,70,195,734,143360,-0.8695053374394774,0.0003,0.7963562309741974,0.12763671875,0.014179699,-0.0036413859241292814,0.2,1.5663237571716309,690,70.74000911526382
859.78,-11.295897800000002,71,198,733,145408,-0.9498527335003019,0.0003,0.8159798681735992,0.03759765625,0.0064157997,-0.0017913027601025532,0.2,11.173202514648438,700,60.19005201980472
855.43,-10.8167117,72,200,734,147456,-0.8777257885783911,0.0003,0.6733100414276123,0.018505859375,0.0045499066,-0.0021311636261089006,0.2,21.6364803314209,710,151.9348697155714
854.03,-6.576989420000002,73,203,734,149504,-0.9309735139831901,0.0003,0.8549899756908417,0.03125,0.00447578,-0.002430435780843254,0.2,118.78034210205078,720,134.31950238347054
846.54,-5.883185820000001,74,207,730,151552,-0.8775038216263056,0.0003,0.7893774062395096,0.037109375,0.004876538,-0.0016977886814856901,0.2,26.423547744750977,730,91.38185433596372
849.69,-5.240420470000001,75,210,729,153600,-0.8384902143850923,0.0003,0.5111286044120789,0.03779296875,0.005122124,-0.002934760589414509,0.2,46.415611267089844,740,158.28992204368114
844.5,-5.629017349999999,76,213,730,155648,-0.8671058155596256,0.0003,0.9049363061785698,0.079541015625,0.015816456,-0.0031908480836136733,0.2,1.874230146408081,750,43.31763641089201
844.07,-3.365892160000001,77,216,728,157696,-0.7971120616421103,0.0003,0.6722475290298462,0.060400390625,0.0053068344,-0.003943990440893686,0.2,86.0401611328125,760,109.60798095464706
835.66,-5.159795170000001,78,219,726,159744,-0.7839309209957719,0.0003,0.6596062183380127,0.02119140625,0.0037934124,-0.00157482223585248,0.2,4.993782997131348,770,77.42531480491161
834.26,-4.973971530000002,79,222,725,161792,-0.8749125730246305,0.0003,0.7009032666683197,0.03984375,0.004474219,-0.0037346561715821736,0.2,38.37630081176758,780,90.07454647570849
832.37,-3.430217250000001,80,226,723,163840,-0.8665050739422441,0.0003,0.5807962119579315,0.121728515625,0.011471856,-0.002920619032374816,0.2,31.72433090209961,790,74.95156462043524
832.83,-1.7716860300000001,81,229,723,165888,-0.8372924190014601,0.0003,0.8083075433969498,0.046533203125,0.008302919,-0.0016913659736019326,0.2,10.577162742614746,800,88.79663451015949
835.9,-5.535269519999997,82,232,723,167936,-0.8001234900206328,0.0003,0.8137559741735458,0.07724609375,0.006754937,-0.005943361263780389,0.2,15.807877540588379,810,92.16587477698923
838.15,-5.353950679999998,83,236,719,169984,-0.9089535307139158,0.0003,0.768159031867981,0.042236328125,0.0047081625,-0.0020562465499097014,0.2,104.71453094482422,820,130.05614340305328
832.62,-4.489488089999998,84,239,717,172032,-0.8587675359100103,0.0003,0.8023734092712402,0.071728515625,0.0068877353,-0.0006992719296249561,0.2,228.29714965820312,830,46.077186768501996
839.15,-2.9523831199999995,85,242,717,174080,-0.8165130911394953,0.0003,0.42907530069351196,0.033837890625,0.0019543874,6.676674820482731e-05,0.2,5.8586506843566895,840,75.54921798706054
834.99,-2.58321415,86,245,716,176128,-0.8586010241881012,0.0003,0.7492308914661407,0.07177734375,0.006947952,-0.0018458692291460465,0.2,12.268506050109863,850,93.64380150735379
835.28,-2.8836002400000007,87,248,717,178176,-0.7869240587577224,0.0003,0.8163038939237595,0.090771484375,0.019921206,-0.0035562275239499285,0.2,15.012569427490234,860,87.59491186141967
833.68,-4.289212749999999,88,251,717,180224,-0.7265748493373394,0.0003,0.883918508887291,0.04365234375,0.0031698807,-0.00290681665064767,0.2,34.439353942871094,870,53.92656369060278
825.59,-1.6942901499999998,89,253,717,182272,-0.8502787820994854,0.0003,0.749571293592453,0.048828125,0.0050783106,-0.002308559213997796,0.2,35.335140228271484,880,126.57086011469364
813.15,1.3366530499999998,90,256,718,184320,-0.6985697045922279,0.0003,0.53530153632164,0.060693359375,0.007046449,-0.004185694586340105,0.2,33.950157165527344,890,153.82820709347726
812.58,2.2051701799999996,91,260,716,186368,-0.8039672007784248,0.0003,0.6408945322036743,0.0533203125,0.0069612754,-0.0012519903799329767,0.2,23.566577911376953,900,116.96290752738715
812.75,3.46738106,92,263,716,188416,-0.7785722132772207,0.0003,0.39640116691589355,0.07060546875,0.004839341,-0.00030201910194591617,0.2,2.9649574756622314,910,73.46423895433546
807.9,1.6193831500000004,93,266,715,190464,-0.7362854924052954,0.0003,0.5858700275421143,0.0466796875,0.006946042,-0.0007733827565971296,0.2,43.9493408203125,920,118.29059485197067
