rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,train/approx_kl,train/clip_range,train/learning_rate,train/entropy_loss,train/n_updates,train/explained_variance,train/clip_fraction,train/value_loss,train/policy_gradient_loss,train/loss
-113.23623556000003,49152,205,238,270.88,24,0.0073239706,0.2,0.0003,-1.2147872522473335,230,0.4425216317176819,0.0892578125,147.5371655344963,-0.0060099567977886185,95.08309173583984
-112.47547818999999,51200,207,246,284.54,25,0.004341013,0.2,0.0003,-1.0673724804073572,240,-0.18026578426361084,0.026953125,463.37684025764463,-0.004468124752384029,100.26734924316406
-118.01470636,53248,209,253,271.97,26,0.0049304096,0.2,0.0003,-1.0254786947742105,250,0.24660277366638184,0.015771484375,265.3083558320999,-0.004069940515910276,47.54423141479492
-115.02491096000001,55296,211,261,276.08,27,0.005343075,0.2,0.0003,-0.9649188263341785,260,0.4575313925743103,0.033447265625,282.4547749042511,-0.006566828096401878,82.32904815673828
-112.39900670000002,57344,213,268,293.37,28,0.009070705,0.2,0.0003,-1.0563753392547368,270,0.5513292849063873,0.0509765625,233.8379699587822,-0.00892257860978134,155.80662536621094
-111.39126332999999,59392,216,274,303.55,29,0.009957043,0.2,0.0003,-0.9968068035319447,280,0.5623935461044312,0.094287109375,148.15811173915864,-0.00821603455406148,15.84919261932373
-112.68514002,61440,218,281,306.25,30,0.0069366465,0.2,0.0003,-0.975124491006136,290,0.30466610193252563,0.039404296875,263.4387497425079,-0.00458743561321171,117.55310821533203
-109.23462079,63488,219,288,311.98,31,0.02046945,0.2,0.0003,-0.9672664703801275,300,0.46535736322402954,0.134423828125,384.5371335744858,-0.007904755750496406,80.14804077148438
-109.51553716000001,65536,222,295,324.87,32,0.0068883183,0.2,0.0003,-0.954418376274407,310,0.5602346956729889,0.05537109375,183.73092041015624,-0.008020138262509136,48.050758361816406
-106.78791820000001,67584,224,300,337.39,33,0.006934396,0.2,0.0003,-0.9552238686010242,320,0.6862843632698059,0.09423828125,164.83266487121583,-0.008394784393021836,205.82623291015625
-105.52247109999999,69632,227,306,349.98,34,0.008617948,0.2,0.0003,-0.9435849752277136,330,0.6916608512401581,0.080712890625,132.0764288187027,-0.005755278076685499,26.652036666870117
-100.55867382000001,71680,230,311,366.37,35,0.011082191,0.2,0.0003,-0.9967764731496572,340,0.7470391094684601,0.1390625,65.99013586342335,-0.013731516512052622,16.22507095336914
-97.30681398,73728,233,316,381.06,36,0.014044773,0.2,0.0003,-0.9218529019504785,350,0.6956029236316681,0.18046875,59.73299232721329,-0.011595958469843026,14.964841842651367
-93.61081027,75776,235,321,390.94,37,0.0032410044,0.2,0.0003,-0.8796351838856935,360,0.5864774584770203,0.020361328125,161.75278921127318,-0.0031985379253455905,19.638996124267578
-90.94293147999997,77824,238,325,404.99,38,0.004220503,0.2,0.0003,-0.9234131457284093,370,0.43516266345977783,0.0248046875,168.39042747616767,-0.0046584596209868325,72.30998992919922
-87.40964933,79872,242,329,420.9,39,0.007622019,0.2,0.0003,-1.0375491155311465,380,0.6837647259235382,0.0541015625,60.03676937818527,-0.006658802479068982,14.481182098388672
-83.27513410000002,81920,245,333,432.52,40,0.007353422,0.2,0.0003,-0.9454035369679332,390,0.4563665986061096,0.032470703125,171.53954616487027,-0.00590310377519927,41.99292755126953
-79.23777830000002,83968,248,337,444.07,41,0.0054047974,0.2,0.0003,-0.9476773107424379,400,0.47411251068115234,0.03671875,116.71497362852097,-0.003187225941292127,64.4083023071289
-74.75599395,86016,252,340,452.87,42,0.0024529337,0.2,0.0003,-0.808587609604001,410,0.39308297634124756,0.011474609375,186.1592550098896,-0.0008725565290660598,34.63856887817383
-67.71824428,88064,255,345,470.11,43,0.011628852,0.2,0.0003,-0.9708910431712866,420,0.43984687328338623,0.130517578125,141.30585961937905,-0.0061078296683263035,35.47122573852539
-63.12126553000001,90112,257,349,476.37,44,0.014569743,0.2,0.0003,-0.8973262555897236,430,0.5490679144859314,0.0412109375,101.54661609530449,-0.008187693019863218,49.53696823120117
-56.922380919999995,92160,260,354,486.83,45,0.0053525255,0.2,0.0003,-0.906280435808003,440,0.5569499731063843,0.05791015625,134.7955208003521,-0.003532384170102887,288.44036865234375
-56.09381793999999,94208,262,358,483.89,46,0.002237589,0.2,0.0003,-0.8880192041397095,450,0.41737431287765503,0.006005859375,212.94124265909196,-0.0022069759208534377,30.58559226989746
