rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,train/approx_kl,train/clip_range,train/loss,train/value_loss,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/learning_rate
551.87,109,96256,47,882,-44.96313626,0.0073947827,0.2,49.78317642211914,122.7869403898716,0.5882670879364014,460,-0.920858852379024,0.1025390625,-0.003808678221685113,0.0003
560.27,111,98304,48,881,-43.43872319000001,0.007936912,0.2,59.26401901245117,153.03108832240105,0.5697211921215057,470,-0.9570321906358004,0.112890625,-0.004424184111849172,0.0003
566.03,114,100352,49,878,-39.6070096,0.008221471,0.2,65.20796203613281,145.0221485078335,0.6315904557704926,480,-0.8620154321193695,0.048681640625,-0.006562485195172485,0.0003
581.38,116,102400,50,878,-33.597843319999996,0.006394254,0.2,28.814741134643555,128.10169907212259,0.6397067010402679,490,-0.8920106491073966,0.034814453125,-0.0043229703303950375,0.0003
593.24,119,104448,51,876,-29.587330329999997,0.00671687,0.2,19.540597915649414,118.92658812999726,0.6999885439872742,500,-0.8270712330937385,0.05751953125,-0.0048037563654361294,0.0003
605.92,122,106496,52,871,-25.918137809999994,0.007955529,0.2,156.80136108398438,148.5737200796604,0.6861080825328827,510,-0.8927220935001969,0.08603515625,-0.005110629837872693,0.0003
617.88,124,108544,53,869,-24.646290869999998,0.0066659143,0.2,38.91792297363281,76.40196745097637,0.7193851470947266,520,-0.8630455654114485,0.055078125,-0.005226947933260817,0.0003
633.29,127,110592,54,867,-17.001892689999995,0.0063952245,0.2,56.00611877441406,133.03834685385226,0.6241213083267212,530,-0.8205592904239893,0.09267578125,-0.011819740173814352,0.0003
637.93,130,112640,55,864,-12.2746115,0.003491241,0.2,41.14830780029297,154.46323729157447,0.5132912993431091,540,-0.7908422691747546,0.03154296875,-0.004868159152101726,0.0003
643.57,132,114688,56,862,-10.644066979999998,0.0056869052,0.2,5.319438934326172,58.680800440907475,0.8475145250558853,550,-0.9465066935867071,0.077783203125,-0.0050758628101903016,0.0003
639.28,135,116736,57,861,-8.561723079999998,0.004520138,0.2,98.46424102783203,179.51001858115197,0.47622406482696533,560,-0.8550385262817144,0.035888671875,-0.0030473188846372066,0.0003
617.29,137,118784,58,861,-11.484333200000002,0.010211346,0.2,23.670473098754883,141.43348994851112,0.7996664792299271,570,-0.7685081483796239,0.071044921875,-0.0041287646949058395,0.0003
606.04,141,120832,59,855,-10.959234180000001,0.0041553723,0.2,23.631900787353516,193.48213495016097,0.7206933498382568,580,-0.8632732886821032,0.049462890625,-0.002483769990794826,0.0003
599.24,143,122880,60,854,-8.81613155,0.00739841,0.2,30.474613189697266,86.55542847812175,0.6494045257568359,590,-0.6933447200804949,0.05478515625,-0.007003479647391941,0.0003
576.46,145,124928,61,855,-8.832843389999999,0.0040648696,0.2,115.93133544921875,172.3958528459072,0.6148774027824402,600,-0.8945885380730033,0.04560546875,-0.00501725841240841,0.0003
545.77,148,126976,62,857,-11.334500989999999,0.009406336,0.2,12.221329689025879,117.65122679471969,0.6650737822055817,610,-0.9044923858717084,0.099560546875,-0.00448251780908322,0.0003
545.66,150,129024,63,856,-4.8827096999999995,0.005464472,0.2,56.32309341430664,178.7038653254509,0.774148553609848,620,-0.796739187836647,0.04873046875,-0.005488824556960026,0.0003
536.52,153,131072,64,855,-8.20202248,0.005946991,0.2,63.75065994262695,147.5758986324072,0.8067120611667633,630,-0.8132224014028907,0.050732421875,-0.0029862094048439757,0.0003
