time/iterations,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/value_loss,train/explained_variance,train/clip_range,train/approx_kl,train/loss
51,104448,137,760,655.92,-52.06491797999999,0.14833984375,0.0003,-0.003659268950286787,500,-0.9412638377398252,44.77672390192747,0.7188547849655151,0.2,0.009964526,7.511019706726074
52,106496,141,752,673.14,-54.50396315999999,0.069091796875,0.0003,-0.003340766973269638,510,-0.9754124738276004,39.39142841994762,0.6685554087162018,0.2,0.0049970746,3.090111017227173
53,108544,144,751,686.49,-49.99966442,0.011376953125,0.0003,-0.0004264804403646849,520,-0.8926439186558127,110.99907475560903,0.43610090017318726,0.2,0.0026249853,6.306549072265625
54,110592,147,749,701.58,-47.374418779999985,0.025,0.0003,-0.0009620929267839529,530,-0.8843550469726325,70.16187493950129,0.46009939908981323,0.2,0.0030884543,3.8954896926879883
55,112640,151,742,714.86,-44.42049363,0.0427734375,0.0003,-0.0033227945474209263,540,-0.8948057657107711,47.79640497267246,0.5667486190795898,0.2,0.0041255187,6.180477142333984
56,114688,155,736,720.33,-43.42916149000001,0.066357421875,0.0003,-0.003320634859846905,550,-0.8750839008018374,36.673493169248104,0.802901417016983,0.2,0.0045769364,1.1589840650558472
57,116736,159,733,734.87,-41.644811280000006,0.071630859375,0.0003,-0.0015078493699547835,560,-0.903577801398933,44.02913920506835,0.7537518292665482,0.2,0.0070996652,3.753275156021118
58,118784,162,730,747.41,-36.63093756999999,0.051171875,0.0003,-0.0023643462904146873,570,-0.8557555681094527,44.813486494123936,0.7997082024812698,0.2,0.005543343,4.182928562164307
59,120832,165,730,767.31,-34.93092895,0.033203125,0.0003,-0.0013229686574049992,580,-0.883011294156313,80.6159171000123,0.5321417152881622,0.2,0.0029585774,5.442075252532959
60,122880,170,722,783.73,-32.514318859999996,0.036474609375,0.0003,-0.002502450985048199,590,-0.7964781893417239,129.16785226762295,0.5487392842769623,0.2,0.008218113,8.567883491516113
61,124928,173,721,789.81,-31.360212170000004,0.196875,0.0003,-0.00567414466131595,600,-0.826189479790628,34.50173072963953,0.5539045035839081,0.2,0.010689092,6.009544849395752
62,126976,177,714,792.99,-31.40362454,0.070361328125,0.0003,-0.0031011536600999536,610,-0.9088442131876946,80.48265043646097,0.36729562282562256,0.2,0.0052278135,47.24690628051758
63,129024,182,707,806.1,-29.561691950000007,0.038525390625,0.0003,-0.001408478053053841,620,-0.8830487500876189,59.1390316285193,0.5170221626758575,0.2,0.0047069206,39.085289001464844
64,131072,187,698,821.84,-26.24949867000001,0.10439453125,0.0003,-0.0024510286893928424,630,-0.8957302303984761,33.263793617486954,0.526019811630249,0.2,0.007757562,1.364233374595642
65,133120,191,696,837.17,-24.019899650000003,0.08134765625,0.0003,-0.0018037035304587334,640,-0.8967942923307419,45.6050549518317,0.5370046496391296,0.2,0.006310865,3.905466318130493
66,135168,193,697,859.72,-20.22563836,0.11474609375,0.0003,-0.006401017894677352,650,-0.8180036390200257,44.69182344637811,0.5396390855312347,0.2,0.009923266,3.3258259296417236
67,137216,197,694,873.88,-19.27179312,0.06884765625,0.0003,-0.0023412290080159436,660,-0.8197940487414599,92.1555537506938,0.40193599462509155,0.2,0.008084818,41.584999084472656
68,139264,201,689,886.39,-15.923717349999997,0.064404296875,0.0003,-0.004180342768086121,670,-0.9259969595819711,32.05770400315523,0.47883492708206177,0.2,0.0069407485,189.86231994628906
69,141312,205,687,890.7,-17.331127759999998,0.05166015625,0.0003,-0.002982075207546586,680,-0.8908278185874223,41.50301833301783,0.5869295597076416,0.2,0.0039619915,3.7969436645507812
70,143360,208,686,897.14,-18.088276309999998,0.048046875,0.0003,-0.0015161291252297816,690,-0.8990766014903784,86.99464005753399,0.2930961847305298,0.2,0.005310253,21.1496639251709
71,145408,213,682,908.81,-15.126033779999998,0.02685546875,0.0003,-0.0016864228455233388,700,-0.8952598579227924,137.85194975435735,0.5264769494533539,0.2,0.004105797,8.031354904174805
72,147456,216,679,915.33,-13.403137949999998,0.081787109375,0.0003,-0.002584748117806157,710,-0.8752476429566741,49.21057011336088,0.7319332361221313,0.2,0.006663801,4.577877521514893
