rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,train/loss,train/n_updates,train/entropy_loss,train/value_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/learning_rate,train/explained_variance
-139.08709892000002,24,146.47,30720,15,1254,130.61033630371094,140,-1.1911266043782234,343.6392360687256,0.0038210666,0.2,0.00810546875,-0.004240665064571658,0.0003,-0.1160818338394165
-135.74465718000002,26,154.29,32768,16,1253,57.17343521118164,150,-1.1914050258696078,196.6410877943039,0.0066603306,0.2,0.03193359375,-0.004757010407047346,0.0003,0.00984734296798706
-132.30320414,27,165.5,34816,17,1252,417.2464294433594,160,-1.0659853948280216,666.9037187099457,0.008105161,0.2,0.047998046875,-0.0042263553470547775,0.0003,-0.008635401725769043
-128.28728631,29,175.33,36864,18,1250,169.02943420410156,170,-1.0742510952055455,344.49300117492675,0.008063899,0.2,0.07822265625,-0.006787818107113708,0.0003,-0.010356664657592773
-125.09920048000002,32,193.12,38912,19,1207,75.2079849243164,180,-1.0395846696570517,328.0131854534149,0.0067983456,0.2,0.059130859375,-0.0026795645739184693,0.0003,-1.633167266845703e-05
-123.28641205,34,208.54,40960,20,1195,38.27786636352539,190,-1.228957847878337,200.7099268555641,0.006034755,0.2,0.015380859375,-0.005217587244987954,0.0003,0.011349380016326904
-120.44702272999997,35,218.06,43008,21,1195,169.343017578125,200,-1.0514404101297259,551.5519419193267,0.009327276,0.2,0.095361328125,-0.006664660901878961,0.0003,-0.008042573928833008
-117.97464066,38,234.93,45056,22,1156,261.2198791503906,210,-1.016037397272885,373.49378101825715,0.00782423,0.2,0.055615234375,-0.0028730830097629225,0.0003,-0.00031578540802001953
-115.79115627000002,41,246.67,47104,23,1147,306.6707763671875,220,-1.1336532492190599,303.83563153743745,0.005448275,0.2,0.027490234375,-0.008055110608256654,0.0003,0.00977391004562378
-117.02126555999999,43,256.31,49152,24,1141,227.72763061523438,230,-1.0901341389864683,494.3828722953796,0.006035844,0.2,0.05029296875,-0.007004547479300527,0.0003,-0.0038756132125854492
-114.14838961,45,268.61,51200,25,1119,198.37913513183594,240,-1.0435034031048418,286.7766573667526,0.0046679787,0.2,0.020751953125,-0.0037625390068569686,0.0003,0.04398268461227417
-112.16229443999998,48,283.25,53248,26,1099,101.59903717041016,250,-1.0842441387474537,161.45360997915267,0.010716057,0.2,0.047412109375,-0.006629030096519273,0.0003,0.13998663425445557
-111.67196369000001,51,297.45,55296,27,1079,143.75494384765625,260,-1.053321323171258,169.29173048734665,0.005598817,0.2,0.028955078125,-0.0035269977466668933,0.0003,0.19484668970108032
-108.45353894,54,307.75,57344,28,1054,39.60459518432617,270,-1.0854046318680048,253.72884773612023,0.004796857,0.2,0.02109375,-0.0054539353703148665,0.0003,0.2527269721031189
-107.31118229999998,57,324.47,59392,29,1037,79.98314666748047,280,-1.1044702541083098,149.64069863557816,0.0056744236,0.2,0.028759765625,-0.005198743019718677,0.0003,0.2895026206970215
-104.26173098000001,59,342.13,61440,30,1028,112.90003967285156,290,-1.0668664332479239,166.2145525932312,0.008820575,0.2,0.035205078125,-0.006423829169216333,0.0003,0.20926141738891602
-102.49204873000001,62,353.74,63488,31,1010,21.2689151763916,300,-1.0486104855313898,100.87454981207847,0.010239295,0.2,0.072412109375,-0.00614490432490129,0.0003,0.37425369024276733
-98.76980496999998,65,370.42,65536,32,1003,46.75736618041992,310,-1.0284706072881817,124.5527522444725,0.0049762134,0.2,0.01513671875,-0.002332457073498517,0.0003,0.38731813430786133
-97.50678269999999,67,388.15,67584,33,995,11.683673858642578,320,-1.1102301064878701,112.21821880936622,0.005725513,0.2,0.03740234375,-0.004948700643581105,0.0003,0.4662219285964966
-97.10962348999999,71,400.63,69632,34,977,17.26446533203125,330,-1.079293304309249,107.60514832139015,0.008789431,0.2,0.05498046875,-0.005293639279989293,0.0003,0.45287907123565674
-94.88192791999997,74,408.14,71680,35,961,27.680965423583984,340,-1.0615492595359683,89.84188913702965,0.008914591,0.2,0.162841796875,-0.01165302806184627,0.0003,0.15889137983322144
-92.08610726999996,77,423.75,73728,36,947,32.61729049682617,350,-1.0081762271001935,85.72634338736535,0.006171746,0.2,0.05947265625,-0.005007370701787295,0.0003,0.08665376901626587
-89.37862558999997,82,439.58,75776,37,922,77.71470642089844,360,-1.0132109275087715,91.7020121872425,0.009369142,0.2,0.0958984375,-0.006915546998061473,0.0003,0.08461225032806396
-89.25603758,86,455.05,77824,38,902,7.9855475425720215,370,-1.0615796519443392,29.776580348610878,0.009412321,0.2,0.077783203125,-0.0090899890048604,0.0003,0.14682763814926147
-85.76236218999999,89,471.57,79872,39,889,7.532980442047119,380,-0.9991583101451397,59.44487648904324,0.00722083,0.2,0.05732421875,-0.005740291307301959,0.0003,0.4545271396636963
-84.55961952,94,487.44,81920,40,867,9.155929565429688,390,-0.9848961181938648,26.73210807442665,0.01033031,0.2,0.10908203125,-0.006544659768405836,0.0003,0.6305244863033295
-83.47851936000002,98,503.79,83968,41,855,3.7239294052124023,400,-1.034172883629799,36.70656942129135,0.012064828,0.2,0.117431640625,-0.0065856008950504474,0.0003,0.29892921447753906
-77.89436290999998,102,518.51,86016,42,837,9.671966552734375,410,-0.9466999094933272,26.455990898609162,0.007248245,0.2,0.060791015625,-0.007414870001230156,0.0003,0.7550952881574631
-76.31327658,107,534.31,88064,43,822,3.7834317684173584,420,-1.001363474316895,41.69887379780412,0.007688991,0.2,0.1037109375,-0.007915236908593215,0.0003,0.4940377473831177
-73.95321944999999,110,549.39,90112,44,817,6.126172065734863,430,-0.8803109787404537,34.49677341654897,0.0038060057,0.2,0.029248046875,-0.00466133716981858,0.0003,0.642075777053833
-69.65897495,113,571.31,92160,45,811,5.343956470489502,440,-0.8349861599504947,56.82298769503832,0.0035629016,0.2,0.020458984375,-0.0033695473670377397,0.0003,0.6476776301860809
-66.29290457,117,587.19,94208,46,802,397.93243408203125,450,-0.8390833178535104,120.25168173015118,0.005508013,0.2,0.06298828125,-0.005963232962676557,0.0003,0.17610275745391846
-63.30382175,120,603.37,96256,47,799,3.086108446121216,460,-0.875378604233265,39.330829040706156,0.004513014,0.2,0.06572265625,-0.002769330765295308,0.0003,0.6177926957607269
-59.5347131,123,616.28,98304,48,794,1.5429129600524902,470,-0.7862671481445431,32.39846211671829,0.007296048,0.2,0.079052734375,-0.004015610848728102,0.0003,0.6303703486919403
-58.82034410999999,127,629.31,100352,49,785,5.183666706085205,480,-0.8547336535528303,95.59634598344564,0.021349365,0.2,0.071875,-0.008995587589743082,0.0003,0.14639776945114136
-57.450692090000004,131,628.98,102400,50,777,28.955759048461914,490,-0.8293303871527314,85.53523240163922,0.007404603,0.2,0.090771484375,-0.0027376042504329233,0.0003,0.30819863080978394
-54.82521451999999,134,644.01,104448,51,774,7.308909893035889,500,-0.9432743169367314,78.87580991536379,0.0063728616,0.2,0.072509765625,-0.002882769893767545,0.0003,0.19733107089996338
-46.324750030000004,138,659.38,106496,52,769,8.197477340698242,510,-0.9197185963392258,134.77058568149806,0.004824497,0.2,0.046142578125,-0.0038839592303702374,0.0003,0.12908917665481567
-44.06882581000001,142,674.37,108544,53,762,6.892674922943115,520,-0.757779986038804,88.5095763400197,0.005007366,0.2,0.03056640625,-0.0022708701013471,0.0003,0.20262324810028076
-41.02620492,145,685.45,110592,54,758,46.52859115600586,530,-0.8897555887699127,163.04734686017036,0.0044476213,0.2,0.0265625,-0.0025901317734678742,0.0003,0.08868449926376343
-35.82691391,148,700.58,112640,55,757,6.197497844696045,540,-0.9418636357411743,115.94586204662919,0.0049938126,0.2,0.045068359375,-0.0019471432409773116,0.0003,0.2739894390106201
-32.479412849999996,151,713.6,114688,56,756,11.179868698120117,550,-0.8428699497133494,170.40127605497838,0.004167778,0.2,0.03212890625,-0.0020399769560754065,0.0003,0.2422724962234497
-29.59372127,155,714.92,116736,57,752,45.42839050292969,560,-0.8553803242743016,188.86649350225926,0.006900059,0.2,0.03486328125,-0.0030251871077780377,0.0003,0.4801625609397888
-25.66939535,158,728.99,118784,58,751,30.55946922302246,570,-0.8205840980634094,86.15753088891506,0.006871649,0.2,0.05283203125,-0.0027763443955336697,0.0003,0.339530348777771
-18.87642079,161,742.61,120832,59,749,8.656135559082031,580,-0.7719336902722717,126.68107643574476,0.022392213,0.2,0.13212890625,-0.006205280710855732,0.0003,0.1073104739189148
-15.152508859999998,163,755.05,122880,60,749,12.809830665588379,590,-0.8151759129017592,97.69315774440766,0.0042816475,0.2,0.04677734375,-0.0017482673425547545,0.0003,0.3453766703605652
-10.693007109999998,166,766.0,124928,61,749,3.702185869216919,600,-0.8148100316524506,83.41208424121142,0.0035327473,0.2,0.081298828125,-0.0022974598552536916,0.0003,0.28304851055145264
-6.118198599999997,169,779.35,126976,62,747,47.11356735229492,610,-0.8401097048074007,161.42802318036556,0.002961751,0.2,0.02412109375,-0.0003126063653326128,0.0003,0.18561869859695435
-5.54928611,172,782.07,129024,63,749,88.56103515625,620,-0.7996526915580034,219.7090502485633,0.0032829964,0.2,0.021240234375,-0.002301943107158877,0.0003,0.1380440592765808
0.1336623300000018,175,792.08,131072,64,748,68.32111358642578,630,-0.8455818613991142,160.22899157702923,0.0058325557,0.2,0.02314453125,-0.003290276104962686,0.0003,0.32205361127853394
4.399585920000003,177,793.62,133120,65,748,73.53126525878906,640,-0.7666322309523821,191.2828829050064,0.0056060036,0.2,0.06416015625,-0.0040607089744298715,0.0003,0.6294300258159637
11.035646080000001,180,797.14,135168,66,747,32.526512145996094,650,-0.8311914883553981,148.61864930391312,0.0026358548,0.2,0.02275390625,-0.0022985456700553185,0.0003,0.44688302278518677
11.49002207,184,789.96,137216,67,745,38.14983367919922,660,-0.819218746572733,93.516577231884,0.004640368,0.2,0.04833984375,-0.0021893250792345497,0.0003,0.549266129732132
15.35090236,187,793.82,139264,68,744,7.0484395027160645,670,-0.7578614180907607,180.299560880661,0.0048551746,0.2,0.03701171875,-0.00023507326950493733,0.0003,0.364719033241272
