rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/loss,train/approx_kl,train/learning_rate,train/n_updates,train/clip_range,train/entropy_loss
665.34,-53.820808639999996,140,712,100352,49,0.13231956958770752,-0.0030635847251687665,63.562901647388934,0.048486328125,4.32399320602417,0.0054918034,0.0003,480,0.2,-0.8933292053639889
680.93,-50.441906059999994,144,708,102400,50,0.4913201928138733,-0.005194069329445483,69.31954884678126,0.06689453125,7.980636119842529,0.009782577,0.0003,490,0.2,-0.9505676051601768
696.24,-47.53166584999999,148,703,104448,51,0.5167891383171082,-0.002051704144832911,46.17749274820089,0.056396484375,9.33435344696045,0.0047941837,0.0003,500,0.2,-0.9359740285202861
712.28,-47.60287858999999,152,696,106496,52,0.5821835994720459,-0.003029306631651707,35.26799710020423,0.07216796875,3.5039820671081543,0.0083564995,0.0003,510,0.2,-0.9058598911389708
734.78,-45.73847776999999,156,693,108544,53,0.4743080139160156,-0.004282586702902336,37.70544031262398,0.077294921875,9.554980278015137,0.008374583,0.0003,520,0.2,-0.8539834093302489
748.18,-42.549636469999996,161,685,110592,54,0.3429974317550659,-0.0041102545139438005,116.46377435624599,0.06943359375,14.34659481048584,0.0058613266,0.0003,530,0.2,-0.9169190431013703
762.87,-39.819391329999995,165,680,112640,55,0.42692703008651733,-0.009682591696036979,71.7143703788519,0.122509765625,19.40478515625,0.012002678,0.0003,540,0.2,-0.9886300966143609
781.25,-40.10056791,169,678,114688,56,0.3609657883644104,-0.0012790127810148987,66.16997460722924,0.01484375,23.083925247192383,0.0020801716,0.0003,550,0.2,-0.9397791102528572
792.56,-37.12332085999999,172,677,116736,57,0.26323556900024414,-0.0025431276597373655,184.35424042642117,0.0244140625,18.982051849365234,0.004815855,0.0003,560,0.2,-0.922831310890615
809.09,-33.310343569999986,175,675,118784,58,0.5693871676921844,-0.002036578858678695,95.3151573240757,0.063427734375,194.12950134277344,0.00303908,0.0003,570,0.2,-0.9145171659067273
821.96,-32.691673949999995,179,672,120832,59,0.513617992401123,-0.001279503145997296,73.64804630577564,0.04228515625,11.876139640808105,0.0047141267,0.0003,580,0.2,-0.8944185893982649
828.62,-33.85494047,182,672,122880,60,0.5586310625076294,-0.00534386899380479,76.37358985394239,0.088330078125,3.403290271759033,0.008187578,0.0003,590,0.2,-0.9700615936890244
835.83,-31.89195713,186,671,124928,61,0.570566713809967,-0.0013358832358790096,100.65062084272503,0.041162109375,14.152950286865234,0.0041976725,0.0003,600,0.2,-0.8933306822553277
851.82,-27.311104309999997,189,668,126976,62,0.7924879491329193,-0.0021833654696820303,29.43913776874542,0.06669921875,2.632498264312744,0.0068057133,0.0003,610,0.2,-0.8895208584144711
868.19,-28.7804064,193,667,129024,63,0.45079749822616577,-0.002761056804592954,112.15288228988648,0.065966796875,66.64839172363281,0.0072642034,0.0003,620,0.2,-0.9122928595170379
870.02,-26.67225146,197,663,131072,64,0.6064816415309906,-0.0023455280330381355,124.3474618434906,0.062353515625,17.45802116394043,0.0046503907,0.0003,630,0.2,-0.8999963562935591
880.18,-24.567003890000002,201,659,133120,65,0.7041554749011993,-0.0026941568539768923,76.19589562937617,0.062353515625,12.736467361450195,0.0035795406,0.0003,640,0.2,-0.8680005690082908
893.14,-23.223879359999998,205,657,135168,66,0.7452535629272461,-0.0022021150129148737,78.19070622473956,0.0607421875,15.343530654907227,0.007706438,0.0003,650,0.2,-0.894094543159008
905.73,-20.557766870000002,209,655,137216,67,0.47801482677459717,-0.002946743810753105,80.47681198716164,0.03408203125,5.361522197723389,0.0042726006,0.0003,660,0.2,-0.8235079342499375
904.83,-21.063066319999994,213,651,139264,68,0.5480056703090668,-0.0016683199821272865,41.16666975542903,0.07646484375,1.886568546295166,0.009111968,0.0003,670,0.2,-0.8352003362029791
910.79,-14.1712255,217,649,141312,69,0.3201419711112976,-0.0016365726994990836,109.18381592482328,0.04580078125,52.00138854980469,0.00584615,0.0003,680,0.2,-0.8582245770841836
913.11,-18.966150920000004,220,649,143360,70,0.27590662240982056,-0.002178810523764696,117.18860520869494,0.065185546875,4.859707832336426,0.005787161,0.0003,690,0.2,-0.8606905989348889
918.82,-15.8027875,225,644,145408,71,0.45328086614608765,-0.002176263261208078,96.21656946018338,0.072412109375,6.49209451675415,0.0077592703,0.0003,700,0.2,-0.8626802356913685
921.67,-13.48355609,229,641,147456,72,0.46546441316604614,-0.0011334416747558862,71.0914089769125,0.04677734375,26.41421890258789,0.007357295,0.0003,710,0.2,-0.905095081590116
923.23,-13.762753899999998,232,641,149504,73,0.35828036069869995,-0.004273445635044481,39.45167825818062,0.065087890625,11.628046989440918,0.008362934,0.0003,720,0.2,-0.8451597122475505
922.66,-11.29238503,237,638,151552,74,0.442719042301178,-0.004744623508304358,56.47081967815757,0.10859375,3.5800843238830566,0.007659274,0.0003,730,0.2,-0.8661131858825684
926.27,-5.5865059399999994,240,638,153600,75,0.2549551725387573,-0.0027760886237956583,65.77905892282725,0.05087890625,5.522674560546875,0.006825856,0.0003,740,0.2,-0.8342940958216787
