time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/clip_range,train/explained_variance,train/loss,train/clip_fraction,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/entropy_loss
795,53,725.78,136,-46.77692725000001,108544,0.0003,0.2,0.708764523267746,2.7930502891540527,0.06708984375,27.44553392380476,0.00567882,-0.0037544193961366545,520,-0.9417330138385296
782,54,740.59,141,-44.043789499999995,110592,0.0003,0.2,0.7560418248176575,18.11435890197754,0.09326171875,63.08755221068859,0.012683604,-0.004430011527438183,530,-0.8802407594397664
779,55,751.29,144,-41.84175807999999,112640,0.0003,0.2,0.7822758108377457,4.395390510559082,0.10576171875,38.60262865051627,0.007886486,-0.006179375255305786,540,-0.9833877762779594
780,56,769.33,146,-43.016115459999995,114688,0.0003,0.2,0.617700457572937,2.9894375801086426,0.034228515625,80.63888054117561,0.0030299397,-0.0016781046739197335,550,-0.8753246974200011
773,57,785.01,150,-39.61659794,116736,0.0003,0.2,0.5875205397605896,39.72303771972656,0.02705078125,142.02511804252862,0.004985923,-0.0019323204189277022,560,-0.927998567558825
774,58,792.9,153,-38.12365472,118784,0.0003,0.2,0.7808522284030914,253.3037567138672,0.08486328125,42.97014582157135,0.013029035,-0.005306272376037669,570,-0.886021182499826
771,59,798.23,156,-39.47961103,120832,0.0003,0.2,0.6097208559513092,4.053054332733154,0.091064453125,96.76067223101855,0.007674955,-0.004682906415473554,580,-0.9299634238705039
770,60,819.84,159,-35.18112925,122880,0.0003,0.2,0.7424566149711609,3.979269027709961,0.031982421875,76.02031201198697,0.0060440716,-0.0019714353034942177,590,-0.885619786195457
766,61,824.68,163,-32.35461975,124928,0.0003,0.2,0.7679579704999924,3.0463573932647705,0.09755859375,67.35134762898088,0.008593832,-0.005339523226575693,600,-0.89647615570575
758,62,832.09,167,-30.050119159999998,126976,0.0003,0.2,0.42527174949645996,74.1336669921875,0.028076171875,127.91222397089004,0.0052153566,-0.004246642615908058,610,-0.9487216167151928
755,63,845.02,170,-25.456337360000003,129024,0.0003,0.2,0.6047513782978058,7.01491641998291,0.0775390625,87.49545631855726,0.008890447,-0.002107802751925192,620,-0.8286328062415123
756,64,859.73,173,-20.95980536,131072,0.0003,0.2,0.4076085686683655,87.12617492675781,0.0419921875,136.84088300168514,0.007025335,-0.003098892127309227,630,-0.823152551241219
757,65,860.69,175,-20.460293050000004,133120,0.0003,0.2,0.4982582926750183,9.76069450378418,0.06689453125,89.37252032905818,0.011335548,-0.012839365449326578,640,-0.8467234430834651
756,66,881.14,178,-20.31612139,135168,0.0003,0.2,0.3863489627838135,3.6203677654266357,0.0892578125,140.10012583732606,0.005580808,-0.004832435705611715,650,-0.8587562222033739
756,67,892.47,181,-15.797979049999999,137216,0.0003,0.2,0.5946232974529266,290.2247314453125,0.06298828125,100.79931704550981,0.008170416,-0.0017204611067427322,660,-0.782567173242569
754,68,889.26,184,-14.36199993,139264,0.0003,0.2,0.3979322910308838,60.330448150634766,0.0611328125,151.01993235945702,0.008560726,-0.0024171084973204416,670,-0.8479128394275903
755,69,894.59,187,-11.908675760000001,141312,0.0003,0.2,0.42688775062561035,65.98584747314453,0.044775390625,168.77946275174617,0.0058976253,-0.00462657976167975,680,-0.8216890757903457
752,70,897.33,190,-10.75474426,143360,0.0003,0.2,0.5817360877990723,71.09283447265625,0.042138671875,134.43051063120365,0.00550284,-0.0026727985401521436,690,-0.8328701701015234
751,71,895.66,193,-8.547972430000002,145408,0.0003,0.2,0.6502391993999481,8.139679908752441,0.108544921875,87.66367157697678,0.013131424,-0.007276162572452449,700,-0.7903694713488221
750,72,902.5,196,-6.3678619,147456,0.0003,0.2,0.4555007815361023,8.259721755981445,0.06767578125,89.20433677062393,0.008104527,-0.002111891855020076,710,-0.8208613432943821
748,73,897.52,199,-5.501165470000002,149504,0.0003,0.2,0.6174193620681763,3.742039918899536,0.116552734375,66.72299279123544,0.013035526,-0.006607939352397807,720,-0.8558974407613278
745,74,894.18,203,-3.5617884700000024,151552,0.0003,0.2,0.3990035653114319,45.23381805419922,0.03603515625,132.59556839168073,0.004788328,-0.0018319998656807003,730,-0.7806925404816866
746,75,896.56,205,-1.8545419600000015,153600,0.0003,0.2,0.567824125289917,37.494041442871094,0.0734375,80.26869933754206,0.005792392,-0.0037840256620256694,740,-0.8550185875967145
745,76,892.47,208,1.386913100000001,155648,0.0003,0.2,0.5544037222862244,447.77386474609375,0.080419921875,69.71370849609374,0.0063158744,-0.0018318647176783997,750,-0.8907998852431774
744,77,889.18,211,3.0172107700000015,157696,0.0003,0.2,0.36008232831954956,7.725308418273926,0.055712890625,114.43241385817528,0.005850706,-0.005925202128128149,760,-0.8414806976914406
744,78,881.28,214,3.1614833200000017,159744,0.0003,0.2,0.36484211683273315,52.52132034301758,0.04111328125,88.25644263476133,0.004013536,-0.0004883660323685036,770,-0.838034201785922
