time/iterations,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/loss,train/clip_fraction,train/approx_kl,train/learning_rate,train/explained_variance,train/n_updates,train/entropy_loss,train/value_loss,train/clip_range
43,801,109,88064,605.92,-58.03440267999999,-0.008270175224606647,29.799137115478516,0.129052734375,0.010252111,0.0003,0.6727153062820435,420,-0.8649691101163626,135.51660693138837,0.2
44,793,113,90112,616.4,-53.199699499999994,-0.002940071325429017,2.0123400688171387,0.08857421875,0.008828467,0.0003,0.8482093513011932,430,-0.999279404617846,45.50632689334452,0.2
45,790,116,92160,639.7,-49.96767179,-0.003170932470675325,105.40412139892578,0.0591796875,0.0052759894,0.0003,0.7222607433795929,440,-0.852977522648871,74.43309953436255,0.2
46,789,119,94208,649.7,-50.76174355,-0.004178057261015056,81.14299011230469,0.131982421875,0.009811228,0.0003,0.7236290872097015,450,-0.8205549834296108,115.01629665344953,0.2
47,781,123,96256,666.61,-47.24825421,-0.003525419854122447,5.554765224456787,0.04453125,0.0076270504,0.0003,0.7284915149211884,460,-0.8888444727286696,102.7787664860487,0.2
48,771,127,98304,680.41,-45.26938639,-0.005048476433148608,3.945272207260132,0.11064453125,0.010581134,0.0003,0.858906015753746,470,-0.9674355663359165,47.9924557492137,0.2
49,767,130,100352,686.14,-43.98882488,-0.0006800714021665044,71.8260269165039,0.004150390625,0.0019400206,0.0003,0.743442714214325,480,-0.957503953576088,137.31672848165036,0.2
50,764,133,102400,702.21,-42.938087180000004,0.00011158651104778983,1.978577733039856,0.0982421875,0.0051064044,0.0003,0.8739116340875626,490,-0.9941241504624486,35.445184093900025,0.2
51,762,137,104448,709.04,-41.18696087,-0.002470578491920605,23.98956871032715,0.02626953125,0.008303559,0.0003,0.7153469324111938,500,-0.9826527932658792,110.4057913377881,0.2
52,763,139,106496,708.56,-38.777380029999996,-0.0023535264721431305,2.7724666595458984,0.0556640625,0.0032097052,0.0003,0.7563913315534592,510,-0.9787579720839858,88.06341232173145,0.2
53,760,142,108544,719.41,-33.81588903,-0.0017041676735971123,19.0705509185791,0.01796875,0.0074725584,0.0003,0.7599722594022751,520,-0.8422165440395475,151.0932142496109,0.2
54,752,146,110592,727.93,-33.32194851,-0.0020197443478537024,3.8021140098571777,0.086572265625,0.009483684,0.0003,0.7970130741596222,530,-0.8876970304176212,70.29832302667201,0.2
55,744,151,112640,736.31,-31.606008230000008,-0.007110175779962447,1.3758553266525269,0.11943359375,0.011050735,0.0003,0.8902211636304855,540,-0.9804096272215247,40.20263487063348,0.2
56,742,154,114688,736.38,-31.61870976,-0.004147539538826095,1.179840087890625,0.121240234375,0.00814152,0.0003,0.9106562063097954,550,-0.9691429957747459,30.550909050926567,0.2
57,736,158,116736,744.36,-28.430080120000003,-0.0023116475211281797,0.9543120265007019,0.027099609375,0.0055876,0.0003,0.6860283613204956,560,-0.8984110044315458,105.94054208062589,0.2
58,732,162,118784,751.95,-29.76013809,-0.005048834150147741,0.7357356548309326,0.07490234375,0.006744785,0.0003,0.8915499001741409,570,-0.9537618011236191,27.309793422557412,0.2
59,726,166,120832,766.51,-26.3755108,-0.004065811711188872,1.2881745100021362,0.0943359375,0.009170035,0.0003,0.876283548772335,580,-0.9048168484121561,46.955207626521585,0.2
60,726,169,122880,778.48,-22.884183430000004,-0.0038193588545254896,326.6294250488281,0.096484375,0.0065062307,0.0003,0.8946626484394073,590,-0.9704581774771214,36.40385843645781,0.2
61,724,172,124928,793.67,-23.962158030000005,-0.004649475900805555,2.9123361110687256,0.0857421875,0.010916283,0.0003,0.7232083678245544,600,-0.9117767570540309,92.74766068123282,0.2
62,723,175,126976,801.56,-18.39067715,-0.003592320870666299,1.764580488204956,0.10322265625,0.006945343,0.0003,0.8996375352144241,610,-0.9460529606789351,44.606305425427855,0.2
63,722,178,129024,814.28,-19.272123689999997,0.0013132637643138878,196.0714874267578,0.076513671875,0.0067372685,0.0003,0.9212566614151001,620,-0.9479908399283886,33.25969877820462,0.2
64,722,181,131072,814.28,-19.393462919999997,-0.005748627163848141,345.5403747558594,0.136572265625,0.010975358,0.0003,0.9034032002091408,630,-0.9667790470644831,34.649588177725676,0.2
65,719,185,133120,821.12,-17.501132379999998,0.0005458962299599079,0.7441017627716064,0.046337890625,0.008549288,0.0003,0.8641454875469208,640,-0.9477208033204079,45.37897269688547,0.2
66,717,188,135168,824.39,-17.47044466,-0.004519655658805277,1.4214940071105957,0.120556640625,0.008828654,0.0003,0.8791567906737328,650,-0.965632870234549,44.81670875251293,0.2
67,714,192,137216,824.39,-16.662949769999997,-0.0019060848258959594,15.237326622009277,0.062646484375,0.008457828,0.0003,0.7515103965997696,660,-0.9225244088098407,100.69364522397518,0.2
