time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/clip_range,train/clip_fraction,train/loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/entropy_loss,train/value_loss,train/approx_kl,train/explained_variance
986,93,92160,-78.91248773,404.95,45,0.2,0.01689453125,80.19561767578125,-0.003327894453104818,440,0.0003,-0.8898394733667374,251.93695833683014,0.003885863,0.3264917731285095
976,96,94208,-68.47531293,418.94,46,0.2,0.04287109375,70.70040130615234,-0.004446699593245285,450,0.0003,-0.8834385683760047,213.1000727623701,0.004383633,0.47161877155303955
971,99,96256,-60.987598259999984,433.11,47,0.2,0.030712890625,32.05476379394531,-0.0027513181645190342,460,0.0003,-0.9285069586709142,198.31676228046416,0.0063173333,0.5702249109745026
967,101,98304,-54.77674903,447.57,48,0.2,0.080859375,31.275150299072266,-0.008642308866910753,470,0.0003,-0.8687452202662825,261.88631355166433,0.008622842,0.2680100202560425
963,104,100352,-47.397434999999994,459.37,49,0.2,0.00869140625,66.7909164428711,-0.0007695931984926574,480,0.0003,-0.910779038630426,218.7537002325058,0.0018912833,0.2966352701187134
958,106,102400,-38.38396338999999,471.59,50,0.2,0.094873046875,23.816850662231445,-0.004515859153252677,490,0.0003,-0.9101074129343033,123.34304394721985,0.010949087,0.4154468774795532
958,108,104448,-29.021122409999997,473.7,51,0.2,0.06748046875,70.0618667602539,-0.007243200728407828,500,0.0003,-0.9047233495861292,138.37945957779885,0.0064923586,0.4552915692329407
956,111,106496,-21.066213239999996,478.87,52,0.2,0.043408203125,10.581938743591309,-0.00624151933225221,510,0.0003,-0.8593256762251258,286.3233786225319,0.008485839,0.30434685945510864
954,113,108544,-12.869131189999996,474.38,53,0.2,0.02763671875,31.924148559570312,-0.004265054630013765,520,0.0003,-0.755032691732049,157.0191701591015,0.0053258114,0.4068503975868225
952,116,110592,-2.3496533099999994,488.66,54,0.2,0.04375,19.589754104614258,-0.0030165892814693505,530,0.0003,-0.8666043700650334,107.70683079957962,0.004324568,0.5308186113834381
951,118,112640,4.782197419999999,498.06,55,0.2,0.04970703125,36.76313781738281,-0.003699205671728123,540,0.0003,-0.7713594460859895,162.6628376185894,0.0061438894,0.3370373249053955
951,120,114688,11.79438546,498.27,56,0.2,0.112939453125,117.30355834960938,-0.0098304711329547,550,0.0003,-0.8138229446485639,232.95313264727594,0.013821387,0.06287133693695068
951,122,116736,16.26828467,487.58,57,0.2,0.04619140625,32.014774322509766,-0.005127511729369871,560,0.0003,-0.8417749226093292,316.298838108778,0.004266549,0.17236590385437012
950,124,118784,23.685201109999998,481.34,58,0.2,0.01474609375,54.25826644897461,-0.004609191117197042,570,0.0003,-0.7858437053859234,334.1629156589508,0.0036408477,0.17468976974487305
951,126,120832,30.41343551,480.86,59,0.2,0.023974609375,301.96099853515625,-0.0037311067717382684,580,0.0003,-0.7100380266085267,267.64103466272354,0.0024986244,0.2656996250152588
952,129,122880,38.73741543,488.75,60,0.2,0.034130859375,54.81660842895508,-0.003908530546686962,590,0.0003,-0.7529905419796705,141.12834944725037,0.003619493,0.45036768913269043
952,131,124928,48.90584203,487.64,61,0.2,0.0548828125,194.6358184814453,-0.006698401928588282,600,0.0003,-0.7160177098587155,234.38611533641816,0.007329165,0.41256964206695557
951,133,126976,57.07929874000001,489.15,62,0.2,0.05224609375,20.939218521118164,-0.0028654168630964706,610,0.0003,-0.6680636154487729,157.12370213270188,0.0059389994,0.4767802357673645
949,135,129024,67.23121706,484.72,63,0.2,0.056298828125,189.60694885253906,-0.0031077260413439945,620,0.0003,-0.7801149092614651,191.81235427856444,0.005980369,0.3862189054489136
947,138,131072,70.32094255000001,466.28,64,0.2,0.0263671875,31.690824508666992,-0.0007932243825052865,630,0.0003,-0.7657803932204843,167.847747695446,0.0046303114,0.5164642930030823
946,140,133120,73.54505747,452.05,65,0.2,0.054150390625,424.2058410644531,-0.004057021349581191,640,0.0003,-0.8351255364716053,103.10285836011171,0.0062798653,0.47285252809524536
945,142,135168,75.54073517000002,448.86,66,0.2,0.13291015625,22.886613845825195,-0.005109000787342666,650,0.0003,-0.81945207901299,134.2476842880249,0.008709677,0.4479529857635498
945,145,137216,75.43167550000001,440.01,67,0.2,0.086865234375,290.9377136230469,-0.004643670824589208,660,0.0003,-0.8219387568533421,124.71532812565565,0.008172546,0.553636223077774
945,147,139264,73.15981522,435.99,68,0.2,0.076123046875,318.2910461425781,-0.005692354011262069,670,0.0003,-0.8751246297731996,227.01401731520892,0.0034775175,0.2980634570121765
