time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/clip_range,train/loss,train/approx_kl,train/learning_rate,train/n_updates,train/value_loss,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/explained_variance
988,351.88,63488,31,64,-103.711128,0.2,14.993395805358887,0.0071663815,0.0003,300,60.24871751666069,-0.9658955294638872,0.07294921875,-0.006642716805072268,0.7599158883094788
975,368.1,65536,32,67,-100.39144128,0.2,48.257816314697266,0.010297529,0.0003,310,116.77165520787239,-1.0658189155161382,0.09443359375,-0.0051816556675476026,0.5641904473304749
963,381.05,67584,33,70,-98.20980662,0.2,9.519126892089844,0.009343192,0.0003,320,71.8514945358038,-0.965029812976718,0.0955078125,-0.0084337991058419,0.7577545344829559
959,399.02,69632,34,72,-94.07965777999999,0.2,137.13526916503906,0.00875279,0.0003,330,66.31146149635315,-1.0564031962305307,0.115771484375,-0.00876047340570949,0.6357936561107635
941,414.63,71680,35,76,-90.73501292999998,0.2,40.5226936340332,0.010245004,0.0003,340,156.7739245980978,-0.991209882684052,0.0939453125,-0.006852233456447721,0.7399026453495026
929,427.06,73728,36,79,-87.85043677999998,0.2,15.3926362991333,0.007244385,0.0003,350,113.20658123791218,-1.0629487438127398,0.042578125,-0.002373178469861159,0.6364794075489044
919,435.73,75776,37,82,-87.88716524999998,0.2,5.44835901260376,0.0072608804,0.0003,360,81.94118239283561,-0.9888234747573733,0.06142578125,-0.0038322629494359716,0.7726519107818604
915,456.02,77824,38,85,-85.18790642,0.2,8.316625595092773,0.009339262,0.0003,370,47.445050306618214,-0.8925109703093768,0.0998046875,-0.007323373360850383,0.8035266697406769
904,471.86,79872,39,88,-80.64630805,0.2,55.62710952758789,0.008170675,0.0003,380,146.3337468802929,-1.0266036864370107,0.08642578125,-0.004705018938693684,0.5122380554676056
893,484.7,81920,40,91,-80.77353597999999,0.2,260.8045654296875,0.0119700385,0.0003,390,53.181315046548846,-1.087020879611373,0.207373046875,-0.00999690352618927,0.7766253650188446
879,501.58,83968,41,95,-77.96046195,0.2,20.44757843017578,0.011103207,0.0003,400,95.92901423126459,-1.0250621432438494,0.07529296875,-0.005192553217784735,0.7204514443874359
865,521.52,86016,42,99,-73.69254212,0.2,5.702811241149902,0.009002676,0.0003,410,47.33282806798816,-0.9834210336208343,0.064453125,-0.003674080940254498,0.8346977978944778
864,534.05,88064,43,101,-69.63326883999999,0.2,40.364925384521484,0.011490367,0.0003,420,68.33881116956472,-1.0573254842311144,0.1357421875,-0.007173763545870316,0.6910240352153778
854,549.6,90112,44,105,-66.89916809999998,0.2,7.299392223358154,0.008426383,0.0003,430,70.86976930499077,-0.9160603269934654,0.05654296875,-0.005320312351977918,0.6719451248645782
851,564.69,92160,45,108,-59.34543580999999,0.2,1.7149161100387573,0.010634422,0.0003,440,43.97414862252772,-1.0422928392887116,0.1650390625,-0.007126698397041764,0.7728438079357147
843,580.24,94208,46,111,-57.48227819000001,0.2,25.019670486450195,0.006299685,0.0003,450,90.43089877516032,-0.8318737866356969,0.07978515625,-0.003794248950725887,0.5128321051597595
