rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/iterations,time/fps,rollout/ep_len_mean,train/loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/explained_variance,train/value_loss,train/entropy_loss,train/learning_rate
-105.55677811,51200,52,25,973,308.7,136.65489196777344,0.01137054,240,-0.012451202195734368,0.2,0.1064453125,0.6652164459228516,74.02025142908096,-1.0224767666310073,0.0003
-103.23772844,53248,55,26,951,326.46,44.855621337890625,0.007205683,250,-0.007741360932413954,0.2,0.0685546875,0.5569306313991547,161.08130275011064,-0.9771189576014876,0.0003
-103.48111617999999,55296,59,27,935,339.53,25.13447380065918,0.011483002,260,-0.009206593909766525,0.2,0.097900390625,0.6056453287601471,96.63456083536148,-0.9773556813597679,0.0003
-99.79753104,57344,63,28,905,356.98,37.10506820678711,0.005255392,270,-0.006534339629433816,0.2,0.04169921875,0.342357337474823,201.55306254625322,-1.004775275848806,0.0003
-94.52577401999999,59392,67,29,877,374.7,10.995800971984863,0.012681181,280,-0.010063035563507582,0.2,0.123974609375,0.7160798907279968,41.85734161734581,-1.0442728508263825,0.0003
-93.27948957999999,61440,72,30,852,392.52,15.72520923614502,0.009137804,290,-0.007815198971366044,0.2,0.130029296875,0.4560931921005249,46.1174453407526,-1.0448072724044324,0.0003
-89.87125530999998,63488,76,31,830,417.56,7.464685916900635,0.009374751,300,-0.008422541605250444,0.2,0.15458984375,0.43616610765457153,34.36456601917744,-1.0534642569720745,0.0003
-89.14675890999999,65536,79,32,823,427.28,10.045333862304688,0.0068692546,310,-0.006631180374097312,0.2,0.085546875,0.41308462619781494,69.05857450962067,-1.050976063683629,0.0003
-87.59671069,67584,82,33,818,444.9,9.965880393981934,0.007158621,320,-0.00309886861286941,0.2,0.0515625,0.5986685752868652,115.09177921712399,-0.919971763715148,0.0003
-82.97776194,69632,87,34,793,471.13,7.295861721038818,0.0049611796,330,-0.00481390796994674,0.2,0.032177734375,0.7688884735107422,66.37843278497458,-0.9624654065817595,0.0003
-78.98420753,71680,92,35,776,488.29,3.8181326389312744,0.008833406,340,-0.006348698849615175,0.2,0.086083984375,0.7112428247928619,34.341803915798664,-1.0442499756813048,0.0003
-78.77970173,73728,96,36,765,504.6,131.10922241210938,0.005896185,350,-0.00579350473562954,0.2,0.077294921875,0.7432695031166077,26.795384528487922,-0.9974549492821098,0.0003
-76.16570609,75776,99,37,762,521.24,4.225937843322754,0.0064252308,360,-0.004933755916863447,0.2,0.074365234375,0.6586350798606873,66.94742182195186,-1.012313174456358,0.0003
-73.04030071,77824,103,38,754,537.54,3.358802556991577,0.0077316156,370,-0.004917863781156484,0.2,0.062939453125,0.9073053300380707,26.55752686858177,-0.9793832803145051,0.0003
-70.76439705,79872,107,39,744,555.01,11.235841751098633,0.006838656,380,-0.006363945694465656,0.2,0.04501953125,0.506798267364502,93.82878148406743,-0.9099142968654632,0.0003
-68.25417683999999,81920,111,40,737,572.56,1.826078176498413,0.004895095,390,-0.002451134428702062,0.2,0.06728515625,0.8369707763195038,28.47397624105215,-0.9512278603389859,0.0003
-64.91085061,83968,113,41,737,590.22,5.725903034210205,0.0068943533,400,-0.00546928025141824,0.2,0.098583984375,0.7501610815525055,38.16394044086337,-0.9682708358392119,0.0003
-61.93735549000001,86016,116,42,735,610.93,2.2433316707611084,0.0062498692,410,-0.0034146787111239973,0.2,0.061474609375,0.7645375728607178,33.11051167994738,-0.9536430047824979,0.0003
-58.00316619,88064,119,43,734,623.69,132.10475158691406,0.0039742934,420,-0.002408006844416377,0.2,0.075732421875,0.36397963762283325,173.91443360745907,-0.8669738737866283,0.0003
-54.222547000000006,90112,123,44,731,640.54,11.849702835083008,0.009882826,430,-0.005632761032393319,0.2,0.050146484375,0.20701205730438232,150.8862450271845,-0.8982340367510915,0.0003
-51.29939065000001,92160,127,45,721,657.6,32.24684143066406,0.0094213495,440,-0.004257103553391062,0.2,0.080224609375,0.5107724666595459,89.94303272068501,-0.8885535653680563,0.0003
-44.31521737000002,94208,132,46,711,679.28,1.9087705612182617,0.010289511,450,-0.005762636837607716,0.2,0.11669921875,0.7126469910144806,29.10740124732256,-0.9053913418203592,0.0003
-40.74685673999999,96256,135,47,709,687.42,47.29178237915039,0.0096572675,460,-0.0025665775006928015,0.2,0.05068359375,0.23959630727767944,127.70322525426745,-0.8294625870883465,0.0003
-37.893872110000004,98304,138,48,707,693.47,57.9558219909668,0.005509987,470,-0.0017783168717869558,0.2,0.04951171875,0.1212889552116394,158.9128318697214,-0.870717322640121,0.0003
-33.21655772,100352,141,49,708,699.25,39.1591796875,0.008286368,480,-0.003150983074010583,0.2,0.04931640625,0.30460959672927856,95.13821182698011,-0.7628822362050414,0.0003
-29.840975550000003,102400,144,50,706,714.8,35.215641021728516,0.0048604156,490,-0.0029481843437679347,0.2,0.048193359375,0.16788750886917114,191.54272933602334,-0.7677005466073752,0.0003
-27.507801160000003,104448,148,51,705,721.53,16.219627380371094,0.004042412,500,-0.003398620633743121,0.2,0.035107421875,0.1948014497756958,161.95993428081275,-0.8514178067445755,0.0003
-23.02179643000001,106496,150,52,706,732.89,80.34117889404297,0.00661607,510,-0.005009473583777435,0.2,0.031787109375,0.3768930435180664,182.8616996586323,-0.7675286365672946,0.0003
-17.412255050000002,108544,153,53,707,749.84,18.628799438476562,0.004985728,520,-0.003724164897721494,0.2,0.037939453125,0.5511140525341034,109.92055591344834,-0.7372448237612843,0.0003
-11.908561579999999,110592,156,54,705,757.16,33.60189437866211,0.010389479,530,-0.0018344063704716974,0.2,0.054541015625,0.3729327917098999,115.73025977164507,-0.8223348746076227,0.0003
-8.848661379999996,112640,160,55,701,756.2,10.940492630004883,0.00629085,540,-0.0025239608927222434,0.2,0.0384765625,0.38416528701782227,142.43928971886635,-0.850437868759036,0.0003
-3.9402490899999982,114688,163,56,701,764.62,27.52764892578125,0.004088987,550,-0.002652213762485189,0.2,0.03427734375,0.3575979471206665,115.28835744410753,-0.8617712669074535,0.0003
0.6095568100000015,116736,167,57,698,779.87,65.90181732177734,0.00590048,560,-0.0015398558345623315,0.2,0.055029296875,0.3765268325805664,96.57261799871921,-0.7888822497799992,0.0003
4.65524361,118784,170,58,696,790.68,60.349674224853516,0.0061220983,570,-0.0021219503403699493,0.2,0.052099609375,0.42446768283843994,93.67786539644003,-0.7793755412101746,0.0003
9.951746710000002,120832,174,59,694,797.18,23.2587833404541,0.006804194,580,-0.0026420001220685664,0.2,0.075146484375,0.4032922387123108,162.9551845625043,-0.8439462885260582,0.0003
13.723143420000001,122880,176,60,695,787.91,11.197513580322266,0.0063622845,590,-0.003052478135941783,0.2,0.05439453125,0.37788861989974976,98.28880107998847,-0.7381692247465252,0.0003
19.762014730000004,124928,179,61,695,797.87,58.9549560546875,0.0026871827,600,-0.0011126110955956392,0.2,0.022509765625,0.3332180380821228,219.70487989485264,-0.7977298540994525,0.0003
22.50272976000001,126976,182,62,695,800.4,32.63689422607422,0.008241748,610,-0.0029106532725563738,0.2,0.088623046875,0.4500550627708435,109.2499053195119,-0.8488483456894755,0.0003
24.10572155000001,129024,185,63,696,801.6,28.694692611694336,0.0068344735,620,-0.002086925015464658,0.2,0.045361328125,0.3029235601425171,250.17362008094787,-0.8045874139294028,0.0003
28.131841480000002,131072,187,64,697,799.36,4.881508827209473,0.005634571,630,-0.0010402785355836386,0.2,0.08173828125,0.4216238260269165,57.61512632220983,-0.6992285031825304,0.0003
30.858184189999996,133120,190,65,699,788.52,131.36436462402344,0.00521559,640,-0.001927520970639307,0.2,0.030029296875,0.3644881844520569,215.82090604305267,-0.7914331907406449,0.0003
35.216480530000005,135168,192,66,701,781.91,336.9347839355469,0.0050836466,650,-0.0033866603043861687,0.2,0.0744140625,0.46134668588638306,238.53904993236065,-0.7345285430550575,0.0003
32.708063859999996,137216,195,67,702,772.52,13.382075309753418,0.00754055,660,-0.0028285347478231417,0.2,0.055419921875,0.5591671764850616,110.10305522084236,-0.7840179206803441,0.0003
34.77148416,139264,198,68,702,757.41,20.894380569458008,0.0021386095,670,-0.0021913174510700627,0.2,0.05654296875,0.3755267858505249,145.37309827506542,-0.7944793563336134,0.0003
37.15508803,141312,200,69,703,754.71,74.4869613647461,0.0064167413,680,-0.0011371925138519146,0.2,0.0412109375,0.41721588373184204,186.1457067385316,-0.7702316049486398,0.0003
40.11426352,143360,203,70,704,737.42,28.38743782043457,0.005389481,690,-0.0016673599537170957,0.2,0.04443359375,0.5308537185192108,143.82813247740268,-0.7348867917433382,0.0003
43.26209193,145408,206,71,705,718.68,24.877336502075195,0.006269716,700,-0.004139633960403444,0.2,0.033203125,0.5223914384841919,170.83920189738274,-0.7725453324615955,0.0003
42.000699479999994,147456,208,72,706,699.35,24.80169105529785,0.00895381,710,-0.0027351574892236384,0.2,0.097412109375,0.430292010307312,164.2471356511116,-0.8391166133806109,0.0003
44.519189069999996,149504,211,73,706,679.95,138.4384002685547,0.004291566,720,-0.006464958411379484,0.2,0.024462890625,0.4304908514022827,215.33435820937157,-0.8138888055458665,0.0003
48.58065223,151552,214,74,705,663.56,20.121143341064453,0.0058476725,730,-0.00458040752891975,0.2,0.05888671875,0.4703208804130554,193.6010121136904,-0.7417874582111835,0.0003
46.024146599999995,153600,217,75,706,655.75,108.6529312133789,0.0116227465,740,-0.007521069307404105,0.2,0.094091796875,0.36595529317855835,211.86515236198903,-0.7783268224447966,0.0003
46.57396552000001,155648,220,76,704,651.82,11.68515682220459,0.0048103365,750,-0.0009138454624917358,0.2,0.051708984375,0.5948832929134369,135.93434236347676,-0.8085914447903633,0.0003
48.13121502,157696,224,77,703,641.37,8.516672134399414,0.006667394,760,-0.0009587460168404505,0.2,0.080029296875,0.5888303220272064,64.2768202714622,-0.6727713443338871,0.0003
44.24660799,159744,226,78,705,634.66,26.533864974975586,0.009513208,770,-0.0013860742328688502,0.2,0.070947265625,0.43832331895828247,93.9904045328498,-0.8166549609974026,0.0003
43.367016250000006,161792,229,79,704,628.02,160.89041137695312,0.0047142035,780,-0.009579678018053529,0.2,0.063427734375,0.5759083926677704,226.4936882674694,-0.7291020728647709,0.0003
47.70825157000001,163840,233,80,703,629.15,15.10783576965332,0.00534859,790,-0.00413837648156914,0.2,0.061572265625,0.5996009409427643,113.35094666332006,-0.7670541120693087,0.0003
50.10394119999999,165888,235,81,705,624.98,364.1330871582031,0.006868393,800,-0.0029065920269204073,0.2,0.079345703125,0.7285547256469727,81.29287776052952,-0.7280660500749946,0.0003
50.55816696000001,167936,237,82,705,616.99,70.21990966796875,0.005751781,810,-0.0027642125554848463,0.2,0.0486328125,0.5665496587753296,146.4304329827428,-0.7288013568148017,0.0003
51.46827479,169984,240,83,707,608.17,12.124844551086426,0.005201237,820,-0.003765084758924786,0.2,0.063720703125,0.6233678460121155,93.61359682530164,-0.8263773182407022,0.0003
50.81107364,172032,243,84,707,604.33,15.322492599487305,0.0035350593,830,-0.001973793547949754,0.2,0.0408203125,0.3892713785171509,104.90866954028607,-0.6979173678904772,0.0003
49.31605459,174080,245,85,708,596.88,17.926259994506836,0.003559456,840,-0.001352141971437959,0.2,0.02197265625,0.38542866706848145,95.98724964112043,-0.6769335811957717,0.0003
50.54978211999999,176128,248,86,707,589.86,12.851937294006348,0.0042979848,850,-0.0018092082314979051,0.2,0.034228515625,0.5006503462791443,162.35916609764098,-0.712785866111517,0.0003
52.73755678999999,178176,251,87,708,589.19,25.414409637451172,0.003953298,860,-0.0008890248893294484,0.2,0.0466796875,0.6559689939022064,127.7518616437912,-0.6341049595735967,0.0003
53.159393009999995,180224,254,88,708,586.05,13.981111526489258,0.006463854,870,-0.0034699115727562456,0.2,0.0919921875,0.5559397339820862,81.04916014671326,-0.7857445333153009,0.0003
52.691400130000005,182272,256,89,709,583.84,5.605727195739746,0.0034083123,880,-0.002737631037598476,0.2,0.03271484375,0.46982431411743164,206.0252121642232,-0.7451108237728477,0.0003
54.50353823,184320,258,90,711,585.06,20.402006149291992,0.006331319,890,-0.0009622067038435489,0.2,0.040966796875,0.6915997564792633,86.02367170155048,-0.7401889432221651,0.0003
56.71193272000001,186368,261,91,713,586.4,13.656248092651367,0.014605713,900,-0.004730434795055772,0.2,0.079638671875,0.6838991940021515,104.36045053973794,-0.6425968192517757,0.0003
56.239246939999994,188416,264,92,713,583.1,12.18882942199707,0.0072878143,910,-0.0004624825931387022,0.2,0.049560546875,0.6982258856296539,90.3558256700635,-0.7021155713126064,0.0003
60.72438351000001,190464,268,93,708,588.99,6.517615795135498,0.0058564497,920,-0.0016429735485871788,0.2,0.05048828125,0.7102139890193939,73.49333067834377,-0.6393995618447661,0.0003
61.69450172,192512,271,94,709,588.9,4.731370449066162,0.006999531,930,-0.0030789904536504763,0.2,0.088720703125,0.505584716796875,73.05574677288533,-0.7321769973263145,0.0003
64.38249211,194560,274,95,709,590.33,9.649884223937988,0.0080489535,940,-0.003132960991206346,0.2,0.07548828125,0.6939508020877838,83.49315652400256,-0.7540024144574999,0.0003
66.89854641,196608,276,96,710,588.06,18.907194137573242,0.005676411,950,-0.003726614618790336,0.2,0.064111328125,0.5346719324588776,113.5960347622633,-0.7303751904517413,0.0003
66.85633422,198656,279,97,710,586.25,21.083919525146484,0.005073713,960,-0.004394083539955318,0.2,0.08447265625,0.6949663758277893,58.778804554790256,-0.7265140749514103,0.0003
70.21498261999999,200704,282,98,711,581.04,15.45014476776123,0.0046579116,970,-0.001981215158593841,0.2,0.03916015625,0.49879080057144165,196.6443772688508,-0.7409537721425294,0.0003
