time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,train/clip_range,train/loss,train/n_updates,train/explained_variance,train/entropy_loss,train/value_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/policy_gradient_loss
61,-12.835810040000005,167,124928,795.46,746,0.2,3.0559701919555664,600,0.7401044070720673,-0.70123845115304,69.985121422261,0.004444455,0.0003,0.041943359375,-0.0027626067254459485
62,-9.824091440000004,170,126976,806.96,746,0.2,0.8560965657234192,610,0.9085805639624596,-0.9459942262619734,32.25041010826826,0.009396166,0.0003,0.104443359375,-0.003363779835126479
63,-7.26306585,173,129024,804.46,744,0.2,290.54071044921875,620,0.8632235527038574,-0.7109665675088763,77.90851494073868,0.006565949,0.0003,0.055224609375,-0.0030131364954286257
64,-8.379528770000002,176,131072,805.35,741,0.2,2.8248112201690674,630,0.7381294071674347,-0.8586511742323637,104.80552027225494,0.0030385093,0.0003,0.0251953125,-0.001796958164413809
65,-7.106112450000001,179,133120,811.49,741,0.2,232.38539123535156,640,0.7216978669166565,-0.9094841478392481,82.07311681695282,0.004964552,0.0003,0.0322265625,-0.0014681956414278829
66,-3.45806741,183,135168,822.35,738,0.2,1.7062311172485352,650,0.8075180500745773,-0.9073610667139291,56.10744974371046,0.0041639498,0.0003,0.1123046875,-0.00027254064407316035
67,-0.4043426800000003,186,137216,820.57,737,0.2,0.6516637802124023,660,0.8571587800979614,-0.8095793338492513,37.47534640915692,0.0070674587,0.0003,0.0857421875,-0.0022787344132666476
68,0.10822652999999985,189,139264,820.57,734,0.2,6.149260520935059,670,0.6066124439239502,-0.6989103408530355,108.87913663908839,0.005010723,0.0003,0.03564453125,-0.0016387185640269308
69,-1.0793440900000002,192,141312,801.92,734,0.2,1.7338595390319824,680,0.7319779694080353,-0.8891927648335696,49.37658677902073,0.007455642,0.0003,0.114599609375,0.0013922461585025303
70,0.03928142000000065,194,143360,774.64,737,0.2,14.326354026794434,690,0.5247802734375,-0.8502688858658075,158.28523965105416,0.009633585,0.0003,0.060302734375,-0.0015876321731411736
71,0.9008397599999997,197,145408,774.07,737,0.2,88.71699523925781,700,0.6264894306659698,-0.8030619263648987,222.8721230953932,0.004361199,0.0003,0.0166015625,-0.0011918843814783032
72,3.7891510400000006,199,147456,762.79,737,0.2,2.1145522594451904,710,0.8898425623774529,-0.7078687291592359,67.3036114193499,0.026713012,0.0003,0.164892578125,-0.004706935507419985
73,1.67363433,202,149504,759.35,736,0.2,16.899171829223633,720,0.5887910723686218,-0.8062106937170028,127.91405897289515,0.00880231,0.0003,0.09296875,-0.001170650224230485
74,4.1738625900000015,206,151552,756.32,735,0.2,4.021735668182373,730,0.7810294777154922,-0.8820488136261702,49.05595612544566,0.009551935,0.0003,0.083203125,-0.002433234828276909
75,3.5109045299999995,209,153600,756.32,733,0.2,16.54714012145996,740,0.6894833445549011,-0.6491557113826275,194.73860278129578,0.0032234755,0.0003,0.0255859375,-0.001298030338875833
76,3.7810046100000023,212,155648,749.08,732,0.2,354.311767578125,750,0.9323690012097359,-0.8253371242433787,37.160443940758704,0.008397618,0.0003,0.0705078125,0.0008440908452030272
77,2.8426781200000004,214,157696,742.93,733,0.2,5.069960117340088,760,0.7626716196537018,-0.7777703110128641,123.9221527762711,0.0021866104,0.0003,0.029150390625,-0.0016586098241532453
78,1.4520224300000022,218,159744,735.68,732,0.2,9.652898788452148,770,0.8160454630851746,-0.8035469504073263,80.04894315004348,0.0036157083,0.0003,0.0546875,-0.0029276692988787546
79,4.239870449999999,221,161792,737.7,731,0.2,9.767815589904785,780,0.8091623485088348,-0.7829063532873988,86.87998823486268,0.0023721457,0.0003,0.04091796875,-0.0014010690349095967
