rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/std,train/clip_range,train/learning_rate,train/entropy_loss,train/loss,train/value_loss,train/explained_variance
-2.351447220000001,564,835.13,163840,290,80,0.002075993716425728,790,0.005992422,0.090185546875,0.7003920674324036,0.2,0.0003,-2.137479731440544,470.7891845703125,76.78066654801368,0.5223966836929321
-1.0290450900000006,563,840.16,165888,294,81,-0.0032394141882832626,800,0.0060047777,0.0603515625,0.6977943181991577,0.2,0.0003,-2.1195756502449514,367.52349853515625,97.81379153132438,0.49108803272247314
-1.3842568099999994,560,845.74,167936,299,82,-0.0027993515868729446,810,0.01031426,0.09482421875,0.6825834512710571,0.2,0.0003,-2.0902339205145837,0.7820382118225098,29.204517092928292,0.6197184026241302
2.0752993600000003,555,855.23,169984,305,83,-0.0005078385031083599,820,0.004861316,0.05546875,0.6840396523475647,0.2,0.0003,-2.074616102129221,2.6948795318603516,36.910250494629146,0.32321697473526
2.833325879999998,554,850.05,172032,310,84,-0.002750239984015934,830,0.008495662,0.07841796875,0.6792467832565308,0.2,0.0003,-2.0701493211090565,11.900141716003418,44.97482747063041,0.5622633397579193
2.3054413699999987,550,850.05,174080,315,85,-0.005177798317163251,840,0.0073443344,0.0859375,0.6791297197341919,0.2,0.0003,-2.0611502841114997,11.313714981079102,84.5630656927824,0.406794011592865
2.2741543799999984,551,850.05,176128,319,86,0.00020178379490971566,850,0.004631779,0.060546875,0.6766997575759888,0.2,0.0003,-2.0563125535845757,1.3088716268539429,45.42338884025812,0.49200892448425293
3.8917502799999983,547,853.19,178176,325,87,-0.0003928228688891977,860,0.007956484,0.07080078125,0.6765021681785583,0.2,0.0003,-2.0541281417012214,8.786243438720703,39.77483557499945,0.4554981589317322
2.0689848099999972,547,847.4,180224,329,88,-0.0030933597532566636,870,0.0071425573,0.08544921875,0.6810907125473022,0.2,0.0003,-2.059824062883854,3.472417116165161,40.19039002433419,0.6122020781040192
5.2862781499999985,548,845.12,182272,332,89,0.00028722623465000653,880,0.0040307725,0.041650390625,0.6811803579330444,0.2,0.0003,-2.0681123971939086,11.282038688659668,105.54626522287727,0.3562363386154175
10.520633199999999,547,851.7,184320,336,90,-0.0036921829552738926,890,0.0069250623,0.069091796875,0.6735049486160278,0.2,0.0003,-2.0581773325800894,249.68760681152344,56.771179632097486,0.5091003477573395
9.9350261,546,851.7,186368,340,91,-0.0035488680194248447,900,0.007050843,0.071044921875,0.673494815826416,0.2,0.0003,-2.0466871447861195,10.410096168518066,79.47027256414295,0.582696259021759
10.067747059999999,546,851.7,188416,344,92,-0.004587690009066137,910,0.0057742195,0.065966796875,0.6636604070663452,0.2,0.0003,-2.028834644705057,3.3561835289001465,50.42151053324342,0.6188382804393768
12.40629097,545,855.44,190464,348,93,-0.0024225309243774973,920,0.008218803,0.080810546875,0.6594270467758179,0.2,0.0003,-2.0102625340223312,2.8972620964050293,34.91829115599394,0.6640204787254333
10.924564939999996,544,857.44,192512,353,94,-0.0021818019085912965,930,0.005529121,0.059619140625,0.656689465045929,0.2,0.0003,-2.0037076614797114,1.7702699899673462,46.33353724442422,0.7412383258342743
12.344059599999996,542,858.45,194560,358,95,-0.006722918419109191,940,0.00726738,0.09228515625,0.6527595520019531,0.2,0.0003,-1.9932329162955285,1.491385817527771,32.290064188838,0.5856476128101349
14.53422505,543,841.26,196608,361,96,-0.003841093074879609,950,0.007325165,0.0833984375,0.647026002407074,0.2,0.0003,-1.9749261297285556,3.5548322200775146,24.935649870336057,0.7447511553764343
16.9385619,544,830.56,198656,365,97,-0.002920699494279688,960,0.0046183323,0.024365234375,0.6446288824081421,0.2,0.0003,-1.9628469496965408,16.369457244873047,182.06305667459964,0.29144424200057983
17.323592979999997,543,814.2,200704,369,98,-0.004819921615126077,970,0.008877829,0.08525390625,0.6456333994865417,0.2,0.0003,-1.9599058836698533,91.67646026611328,129.43125677108765,0.3549243211746216
17.41666636,542,814.2,202752,373,99,-0.004188225808320567,980,0.0066454895,0.064208984375,0.6471936702728271,0.2,0.0003,-1.9638763844966889,56.58877182006836,130.3039556697011,0.28475451469421387
14.95830912,543,808.78,204800,377,100,-0.0028934616824699334,990,0.008214837,0.10107421875,0.64667147397995,0.2,0.0003,-1.967016614973545,4.177037715911865,42.23154053911567,0.5647615194320679
14.75611389,544,803.15,206848,380,101,-0.002547452921862714,1000,0.005390942,0.04931640625,0.6465607285499573,0.2,0.0003,-1.9651469469070435,5.4598774909973145,130.2454664066434,0.2690192461013794
15.74923055,543,803.15,208896,384,102,-0.0033932648555492053,1010,0.0071799937,0.086376953125,0.6430346965789795,0.2,0.0003,-1.9605837747454644,2.170177698135376,66.26214810013771,0.7433885037899017
15.801972359999997,543,798.89,210944,388,103,-0.0027179964265087618,1020,0.011950428,0.112109375,0.636874794960022,0.2,0.0003,-1.9428431402891875,1.1567208766937256,42.66306183971464,0.7638759613037109
19.158435989999997,543,808.6,212992,391,104,-0.0037804446641530377,1030,0.0033480313,0.04931640625,0.6342422962188721,0.2,0.0003,-1.9305226739495993,3.4713783264160156,105.8996055111289,0.5966671109199524
15.9441147,544,808.8,215040,394,105,-0.000872631501260912,1040,0.0067446274,0.05048828125,0.6328977346420288,0.2,0.0003,-1.9215518187731504,149.7428741455078,71.33617382869124,0.6495243906974792
14.596280709999997,543,816.46,217088,399,106,-0.004677683244517538,1050,0.006530924,0.07138671875,0.6344553232192993,0.2,0.0003,-1.920908311381936,2.882798910140991,73.80784339010715,0.6661214232444763
17.31722313,543,818.63,219136,403,107,-0.001646642223931849,1060,0.012472572,0.1091796875,0.6413453817367554,0.2,0.0003,-1.9362339932471513,2.7547807693481445,37.26776723116636,0.8351684808731079
16.648657,544,820.92,221184,406,108,-0.0017505903539131395,1070,0.008642602,0.06943359375,0.6404175758361816,0.2,0.0003,-1.9458184208720923,5.4844183921813965,64.07531719729305,0.7124665677547455
16.96005703,544,829.16,223232,410,109,-0.0011369330226443709,1080,0.006883573,0.08662109375,0.6435694694519043,0.2,0.0003,-1.9509263444691896,3.2103159427642822,70.78619683384895,0.6884344220161438
16.846862639999998,543,827.99,225280,414,110,-0.0015025943095679395,1090,0.009620879,0.105126953125,0.6487060785293579,0.2,0.0003,-1.9651493843644858,1.3256443738937378,34.89112420622259,0.8368254005908966
17.657336479999998,543,834.16,227328,417,111,-0.002518483966923668,1100,0.003130755,0.0287109375,0.6446919441223145,0.2,0.0003,-1.9629525516182185,77.25922393798828,100.35690439417958,0.6626455783843994
17.61477237,543,841.07,229376,421,112,-0.002921813616558211,1110,0.004605853,0.05556640625,0.6482833623886108,0.2,0.0003,-1.9634726416319608,3.3750407695770264,58.46698016822338,0.7661426514387131
17.0132426,544,840.39,231424,425,113,-0.005370910005876794,1120,0.008153386,0.096923828125,0.6492650508880615,0.2,0.0003,-1.970497528091073,0.9192241430282593,29.973370641097425,0.8554367870092392
18.82139972,542,843.1,233472,430,114,-0.0008180797740351409,1130,0.0070868004,0.097119140625,0.6461737155914307,0.2,0.0003,-1.9645291529595852,13.759496688842773,49.0339499771595,0.7884295582771301
20.02504755,542,847.9,235520,433,115,-0.0016102002446132246,1140,0.0051172553,0.078662109375,0.6379381418228149,0.2,0.0003,-1.9446457587182522,2.661714553833008,36.889145478606224,0.8436294943094254
16.509243570000002,542,856.0,237568,437,116,0.00014390349315362982,1150,0.00896376,0.096240234375,0.6356527209281921,0.2,0.0003,-1.92977483458817,1.0059311389923096,34.692348280362786,0.8608601987361908
16.36580889,542,853.95,239616,441,117,-0.0022552569149411283,1160,0.0054351115,0.053759765625,0.635761022567749,0.2,0.0003,-1.9225810084491968,0.9322279095649719,31.921437208354472,0.8356635570526123
16.30126247,542,853.95,241664,445,118,-0.0020284903708670753,1170,0.0063460623,0.0580078125,0.631672739982605,0.2,0.0003,-1.9170766800642014,29.419036865234375,57.0196161352098,0.7813038229942322
19.840063900000004,540,856.37,243712,451,119,-0.002956686064135283,1180,0.009605983,0.11845703125,0.6185494661331177,0.2,0.0003,-1.8883596047759057,1.256835699081421,32.39661245271564,0.8619232624769211
