time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,train/entropy_loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/value_loss,train/clip_fraction,train/loss,train/learning_rate
81920,543.21,94,-48.13667785,869,40,-0.8351355649530887,0.007970225,390,-0.006554075467647635,0.2,0.36066174507141113,131.9960455596447,0.06171875,71.82926940917969,0.0003
83968,551.92,96,-40.95849355,868,41,-0.8111441437155008,0.008339641,400,-0.0039350663144432476,0.2,0.2947673201560974,192.09210330843925,0.059326171875,216.8189697265625,0.0003
86016,562.83,99,-31.743127710000007,863,42,-0.836300196684897,0.00473121,410,-0.004871492915845011,0.2,0.33567649126052856,206.42321525514126,0.03193359375,286.1710510253906,0.0003
88064,576.75,101,-20.334976920000003,864,43,-0.89986919965595,0.0043244706,420,-0.003380285891762469,0.2,0.34267759323120117,143.6357403218746,0.025341796875,34.1512336730957,0.0003
90112,587.39,104,-14.963309240000001,863,44,-0.895713953115046,0.008246111,430,-0.004066022241750034,0.2,0.35506367683410645,189.48275653123855,0.095166015625,42.13985824584961,0.0003
92160,598.74,106,-4.776985579999999,866,45,-0.8781551579013467,0.003941278,440,-0.002554062240960775,0.2,0.48595577478408813,202.23747687339784,0.032177734375,213.1389617919922,0.0003
94208,592.96,108,1.6967451300000005,868,46,-0.7782627195119858,0.003761164,450,-0.0017803117050789296,0.2,0.412464439868927,157.72989726662635,0.01904296875,377.6820373535156,0.0003
96256,598.71,110,7.541880420000001,868,47,-0.8163236217573285,0.0032280618,460,-0.003097659323248081,0.2,0.27883660793304443,305.32100493311884,0.020263671875,148.4522247314453,0.0003
98304,596.9,113,13.620215660000001,867,48,-0.9297838483005763,0.002916548,470,-0.00505105622796691,0.2,0.5872219204902649,179.26060572564603,0.084716796875,59.72760009765625,0.0003
100352,581.55,115,18.00020687,866,49,-0.8471254600211978,0.0039667552,480,-0.0018806709838827373,0.2,0.5241066217422485,233.33154467344283,0.0197265625,31.401235580444336,0.0003
102400,581.25,118,24.756014359999998,866,50,-0.8649894200265408,0.003134246,490,-0.0015307458146708087,0.2,0.6428632438182831,102.68276679515839,0.02080078125,19.178436279296875,0.0003
104448,575.31,120,27.533540909999996,866,51,-0.805526265129447,0.0054847565,500,-0.005286552007601131,0.2,0.5001057982444763,247.56380365490912,0.035791015625,99.631591796875,0.0003
106496,565.89,122,29.507693979999996,866,52,-0.8197563651949167,0.0066217594,510,-0.004224886123120086,0.2,0.5469882488250732,145.6215701043606,0.0515625,57.575462341308594,0.0003
108544,569.38,125,34.42223816,865,53,-0.9219636343419552,0.0071054217,520,-0.0012583326068124733,0.2,0.6497597396373749,155.3510251224041,0.085888671875,327.8460388183594,0.0003
110592,562.97,127,40.36723978999999,867,54,-0.9149055087938904,0.004622648,530,-0.0031597567613061983,0.2,0.6275262832641602,216.96119754314424,0.053857421875,99.28409576416016,0.0003
112640,554.02,129,46.876985270000006,867,55,-0.8396828295662999,0.0031046805,540,-0.001496880225749919,0.2,0.48433250188827515,226.3892347097397,0.031396484375,471.21002197265625,0.0003
114688,534.04,132,51.403314630000004,868,56,-0.8286541627719999,0.005931019,550,-0.0029445868298353163,0.2,0.49261391162872314,127.0967665836215,0.066650390625,18.25790786743164,0.0003
116736,511.97,134,53.73590466,870,57,-0.7865798059850931,0.0056012385,560,-0.004645034554414451,0.2,0.48706334829330444,183.46356039345264,0.042822265625,18.648948669433594,0.0003
118784,490.68,136,57.76081626,872,58,-0.8393070632591844,0.00413388,570,-0.0006649785529589281,0.2,0.21149373054504395,262.7081129729748,0.02548828125,60.93523025512695,0.0003
120832,480.12,138,63.85854278999998,874,59,-0.8353937532752752,0.0066068424,580,-0.0027898466287297197,0.2,0.4761747717857361,114.54380865395069,0.051318359375,13.509842872619629,0.0003
122880,456.83,140,64.66108564,875,60,-0.8404038099572062,0.0046229735,590,-0.002505466085131047,0.2,0.561621755361557,132.0380079895258,0.05322265625,538.28466796875,0.0003
124928,444.84,142,65.24091963,877,61,-0.7928665312007069,0.0038601137,600,-0.005363709660741733,0.2,0.5798737704753876,194.25854559242725,0.030419921875,12.005054473876953,0.0003
126976,436.09,144,62.80822291,879,62,-0.7344816075637937,0.002626464,610,-0.002470666622321005,0.2,0.34888529777526855,200.4760488629341,0.021484375,57.4037971496582,0.0003
129024,423.41,146,56.34222992,882,63,-0.7364306250587106,0.002770197,620,-0.0007781513544614427,0.2,0.305488646030426,203.90620305538178,0.00673828125,15.284481048583984,0.0003
131072,420.3,148,56.61628335,884,64,-0.8040607234463095,0.0026761396,630,-0.004393052509112749,0.2,0.30077147483825684,397.92022652626036,0.018994140625,204.80885314941406,0.0003
133120,417.86,150,54.19731917999999,885,65,-0.7371751796454191,0.004446713,640,-0.0033313160492980387,0.2,0.4897773265838623,226.0686281442642,0.02607421875,129.9888458251953,0.0003
135168,413.2,152,54.38025393,888,66,-0.7045454939827323,0.0036710398,650,-0.004043586630723439,0.2,0.4420672059059143,192.5292805016041,0.04462890625,19.487062454223633,0.0003
137216,406.23,154,52.378423569999995,890,67,-0.8222546061500907,0.010176185,660,-0.00738140979410673,0.2,0.5558399260044098,260.8864842891693,0.081591796875,154.13401794433594,0.0003
139264,400.04,156,50.25862265999999,891,68,-0.7020622733980417,0.006958217,670,-0.0056172355078160765,0.2,0.41790443658828735,286.51268262267115,0.0779296875,45.832454681396484,0.0003
141312,392.69,158,52.0736405,892,69,-0.7947025815024972,0.0045893854,680,-0.0016716495032596868,0.2,0.518374115228653,270.2023054420948,0.027685546875,196.41175842285156,0.0003
143360,378.23,160,43.803369190000005,893,70,-0.7872981619089842,0.0035083417,690,-0.0006396761586074717,0.2,0.3395686149597168,187.77069467902183,0.058154296875,19.671327590942383,0.0003
145408,371.28,162,43.32744862,894,71,-0.8381674025207758,0.0036086394,700,-0.0014992375668953172,0.2,0.40541553497314453,366.72804003357885,0.023681640625,171.52923583984375,0.0003
147456,366.68,164,41.363433549999996,896,72,-0.695375500805676,0.0035223295,710,-0.0035603624801296974,0.2,0.6703539490699768,324.9061702132225,0.028369140625,136.0979766845703,0.0003
149504,362.19,166,37.40291072,897,73,-0.7718888042494655,0.005092107,720,-0.0031681735476013274,0.2,0.46362096071243286,287.5134835600853,0.033056640625,224.5338592529297,0.0003
151552,358.4,168,37.49430701,898,74,-0.7586230617016554,0.005575845,730,-0.00567747943860013,0.2,0.48154568672180176,258.7869495153427,0.09951171875,160.84866333007812,0.0003
153600,353.27,170,35.47149396,900,75,-0.8065438928082586,0.007063876,740,-0.0021578047490038443,0.2,0.5751560926437378,236.41167811751365,0.056005859375,17.21582794189453,0.0003
155648,350.93,172,33.08509979,901,76,-0.7341795668005944,0.0030884827,750,-0.0028203120498801583,0.2,0.4707223176956177,265.8976115822792,0.019189453125,62.67324447631836,0.0003
157696,353.82,175,33.350081089999996,901,77,-0.7553651412948966,0.006274879,760,-0.004710507800336927,0.2,0.572934478521347,203.03351445496082,0.07529296875,68.68997192382812,0.0003
159744,354.66,177,33.49421084000001,902,78,-0.6865992547944189,0.005648805,770,-0.0030418035152251833,0.2,0.6803228557109833,187.14822140932083,0.044287109375,33.48170852661133,0.0003
161792,359.5,179,35.39037265,902,79,-0.8030034117400646,0.0051816683,780,-0.0020022834913106637,0.2,0.5238300561904907,178.9517478376627,0.0345703125,31.89740562438965,0.0003
163840,362.98,181,37.64053252000001,904,80,-0.8592347638681531,0.008678422,790,-0.0007257618392031873,0.2,0.49156033992767334,103.09872502982617,0.0716796875,10.489962577819824,0.0003
165888,369.16,183,37.48689048,903,81,-0.7337625604122877,0.0060939025,800,-0.0040883917492465114,0.2,0.5665093064308167,202.9069309145212,0.050390625,76.76994323730469,0.0003
167936,372.29,185,39.512819580000006,903,82,-0.8155290799215436,0.006254101,810,-0.0021326621528714894,0.2,0.6055145561695099,190.07095703482628,0.024755859375,49.00410842895508,0.0003
169984,373.35,188,37.38313864,901,83,-0.8303533697500824,0.008503886,820,-0.004909378554293653,0.2,0.6623470187187195,92.4523749411106,0.106494140625,10.25684642791748,0.0003
172032,382.93,190,41.574395329999994,901,84,-0.6186442233622074,0.012108335,830,-0.00545180609842646,0.2,0.39226609468460083,248.04698115587234,0.075634765625,181.41738891601562,0.0003
174080,388.54,193,42.86346214,900,85,-0.7631662053987384,0.006650878,840,-0.0026349077066697645,0.2,0.5457068681716919,124.35536942183971,0.0638671875,15.513964653015137,0.0003
176128,396.83,195,44.68489138999999,900,86,-0.7198837392032147,0.003885,850,-0.004016707491246052,0.2,0.6637820303440094,89.1368875682354,0.037353515625,26.17106056213379,0.0003
178176,400.88,198,46.091471899999995,899,87,-0.7627024894580245,0.008772977,860,-0.004293694485750166,0.2,0.6837099194526672,124.53830629885196,0.088720703125,17.781726837158203,0.0003
180224,407.91,200,42.58580296,899,88,-0.7444387976080179,0.0064124116,870,-0.004002338749342016,0.2,0.5928374528884888,139.48096258342267,0.0681640625,292.57562255859375,0.0003
182272,412.42,202,42.842288880000005,900,89,-0.7542408796027302,0.0040882477,880,-0.0026274079937138595,0.2,0.6585412621498108,163.95930973887442,0.07509765625,132.28253173828125,0.0003
184320,418.55,204,46.073421120000006,901,90,-0.7397836405783892,0.0028933762,890,-0.00379875860089669,0.2,0.44759446382522583,238.59610171616077,0.0435546875,28.392223358154297,0.0003
186368,420.12,206,43.64788841000001,901,91,-0.8320850877091288,0.0067269867,900,-0.0027330598008120433,0.2,0.5071600675582886,232.69167044758797,0.073388671875,22.402694702148438,0.0003
188416,427.81,209,48.08631152,900,92,-0.8290533661842346,0.005053088,910,-0.004340074666106375,0.2,0.5698496699333191,214.03716079294682,0.049755859375,13.658875465393066,0.0003
190464,432.87,211,44.26069047,901,93,-0.7447945395484566,0.0073857894,920,-0.004430742809927324,0.2,0.3103025555610657,146.5250341296196,0.0625,9.644804954528809,0.0003
192512,434.0,213,44.85905100000001,901,94,-0.7419169262051583,0.004702934,930,-0.0024394578693318182,0.2,0.6438114643096924,264.4038204610348,0.030224609375,130.35696411132812,0.0003
194560,437.26,215,47.93615080000001,901,95,-0.7748262772336603,0.0038488645,940,-0.0037886561316554435,0.2,0.5622930228710175,271.82131440639495,0.029052734375,84.36956024169922,0.0003
196608,439.22,217,44.97667952000002,902,96,-0.7501648526638747,0.003784016,950,-0.0014047944787307642,0.2,0.6807235777378082,99.63882739692926,0.048779296875,19.938579559326172,0.0003
198656,443.52,220,44.999290159999994,902,97,-0.7662611059844494,0.002834939,960,-0.002847908533294685,0.2,0.6059384346008301,240.69001139998437,0.018212890625,29.060510635375977,0.0003
200704,448.13,222,45.884751879999996,902,98,-0.7491937331855297,0.007998628,970,-0.005617800243635429,0.2,0.6899862289428711,191.74947102069854,0.088818359375,403.2252197265625,0.0003
202752,448.52,224,42.93005176,902,99,-0.7829680774360895,0.0036331657,980,-0.0026775887537951347,0.2,0.43613195419311523,218.69827322661877,0.021923828125,65.39251708984375,0.0003
