time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/iterations,train/clip_fraction,train/loss,train/explained_variance,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/n_updates,train/entropy_loss
80,-92.36787934,438.17,967,77824,38,0.1408203125,25.51088523864746,0.13586056232452393,44.12764654159546,0.0093913255,-0.008242934855661587,0.0003,0.2,370,-1.0440368939191103
85,-88.07509023,453.65,938,79872,39,0.110498046875,8.536567687988281,0.09613382816314697,33.0389971703291,0.010322746,-0.006380140772671438,0.0003,0.2,380,-0.9823711767792702
89,-88.47394628,470.56,920,81920,40,0.0794921875,19.211820602416992,0.061903178691864014,25.386499658226967,0.0104321055,-0.0060460098808107435,0.0003,0.2,390,-0.9886773563921452
93,-84.03795345999998,486.88,901,83968,41,0.12109375,8.517451286315918,0.08521246910095215,25.989225140213968,0.009003622,-0.006185864983126521,0.0003,0.2,400,-0.986813279055059
96,-80.27255424,502.28,888,86016,42,0.080224609375,22.127731323242188,0.1621590256690979,39.44198217988014,0.001982442,-0.003353525555576198,0.0003,0.2,410,-0.9947430294007062
100,-77.21796893000001,517.18,873,88064,43,0.080078125,13.432108879089355,0.3199616074562073,40.87692337632179,0.007330826,-0.004558574939437676,0.0003,0.2,420,-0.9336865950375796
105,-76.32448823,532.4,855,90112,44,0.072021484375,6.470733642578125,0.059078872203826904,13.440155597031117,0.0075865723,-0.0035983064619358627,0.0003,0.2,430,-0.9731480646878481
109,-73.14896944,549.2,841,92160,45,0.0517578125,3.5444095134735107,0.005987584590911865,12.373001715540886,0.0041686874,-0.004463193369156215,0.0003,0.2,440,-0.9036795292049646
113,-72.48125354,557.39,833,94208,46,0.076220703125,4.813844680786133,0.01318347454071045,17.16825944185257,0.0053655,-0.003988544209278189,0.0003,0.2,450,-0.896664734184742
116,-70.33515734,569.2,823,96256,47,0.043115234375,10.891501426696777,0.4010225534439087,31.645317587256432,0.002740209,-0.0018610639628604986,0.0003,0.2,460,-0.8621547792106867
120,-69.80070397,577.23,818,98304,48,0.0466796875,4.167725563049316,0.3890381455421448,47.1924410879612,0.0028270776,-0.003424206152703846,0.0003,0.2,470,-0.9502674927935004
124,-64.30013146999998,598.85,806,100352,49,0.055078125,57.31309127807617,0.2408096194267273,13.490783703327178,0.0056874757,-0.0021693191403755916,0.0003,0.2,480,-0.8926170837134123
127,-60.79935576999999,615.07,803,102400,50,0.049462890625,3.5715930461883545,0.30184710025787354,26.275308054685592,0.0049129594,-0.0034439480616129,0.0003,0.2,490,-0.8470877550542355
131,-59.48934539999999,631.61,792,104448,51,0.071484375,3.5566012859344482,0.6250257790088654,28.413208962231874,0.006805337,-0.004905973326822277,0.0003,0.2,500,-0.9016534142196179
